Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,97901,130.267,481.196,97901,130.267,481.196
Outside,,0,right,all,116131,141.057,446.932,116131,141.057,446.932
root,root,997,left,all,2790663,139.14,664.356,2790663,139.14,664.356
root,root,997,right,all,2321212,132.257,587.676,2321212,132.257,587.676
Basic cell groups and regions,grey,8,left,all,2558577,140.356,667.706,2558577,140.356,667.706
Basic cell groups and regions,grey,8,right,all,2144408,132.983,589.298,2144408,132.983,589.298
Cerebrum,CH,567,left,all,1722674,144.229,636.409,1722674,144.229,636.409
Cerebrum,CH,567,right,all,1484852,135.918,548.915,1484852,135.918,548.915
Cerebral cortex,CTX,688,left,all,1477752,150.014,625.82,1477752,150.014,625.82
Cerebral cortex,CTX,688,right,all,1295423,141.13,542.744,1295423,141.13,542.744
Cortical plate,CTXpl,695,left,all,1439107,150.71,627.342,1439107,150.71,627.342
Cortical plate,CTXpl,695,right,all,1252427,142.079,544.346,1252427,142.079,544.346
Isocortex,Isocortex,315,left,all,930728,152.564,624.732,930728,152.564,624.732
Isocortex,Isocortex,315,right,all,734249,143.909,538.268,734249,143.909,538.268
Frontal pole/ cerebral cortex,FRP,184,left,all,11302,136.357,538.506,11302,136.357,538.506
Frontal pole/ cerebral cortex,FRP,184,right,all,7669,143.347,498.13,7669,143.347,498.13
Frontal pole/ layer 1,FRP1,68,left,all,2444,127.696,520.434,2444,127.696,520.434
Frontal pole/ layer 1,FRP1,68,right,all,1753,139.231,491.918,1753,139.231,491.918
Frontal pole/ layer 2/3,FRP2/3,667,left,all,3029,124.265,518.252,3029,124.265,518.252
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2059,136.548,478.377,2059,136.548,478.377
Frontal pole/ layer 5,FRP5,526157192,left,all,4998,152.958,561.41,4998,152.958,561.41
Frontal pole/ layer 5,FRP5,526157192,right,all,3090,158.766,521.46,3090,158.766,521.46
Frontal pole/ layer 6a,FRP6a,526157196,left,all,830,106.084,527.743,830,106.084,527.743
Frontal pole/ layer 6a,FRP6a,526157196,right,all,767,108.893,471.365,767,108.893,471.365
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,86.42,510,1,86.42,510
Frontal pole/ layer 6b,FRP6b,526322264,right,all,0,0,0,0,0,0
Somatomotor areas,MO,500,left,all,184521,151.119,604.798,184521,151.119,604.798
Somatomotor areas,MO,500,right,all,151114,151.7,536,151114,151.7,536
Primary motor area,MOp,985,left,all,86930,161.257,649.553,86930,161.257,649.553
Primary motor area,MOp,985,right,all,72906,154.051,553.557,72906,154.051,553.557
Primary motor area/ Layer 1,MOp1,320,left,all,5757,164.438,547.994,5757,164.438,547.994
Primary motor area/ Layer 1,MOp1,320,right,all,5349,128.308,457.377,5349,128.308,457.377
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,25981,142.331,602.58,25981,142.331,602.58
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,25321,150.07,515.3,25321,150.07,515.3
Primary motor area/ Layer 5,MOp5,648,left,all,30770,184.633,680.401,30770,184.633,680.401
Primary motor area/ Layer 5,MOp5,648,right,all,24242,176.783,592.681,24242,176.783,592.681
Primary motor area/ Layer 6a,MOp6a,844,left,all,23157,153.266,684.346,23157,153.266,684.346
Primary motor area/ Layer 6a,MOp6a,844,right,all,17160,138.081,582.805,17160,138.081,582.805
Primary motor area/ Layer 6b,MOp6b,882,left,all,1265,113.158,689.226,1265,113.158,689.226
Primary motor area/ Layer 6b,MOp6b,882,right,all,834,107.85,592.966,834,107.85,592.966
Secondary motor area,MOs,993,left,all,97591,142.088,564.932,97591,142.088,564.932
Secondary motor area,MOs,993,right,all,78208,149.509,519.633,78208,149.509,519.633
Secondary motor area/ layer 1,MOs1,656,left,all,8479,148.896,523.814,8479,148.896,523.814
Secondary motor area/ layer 1,MOs1,656,right,all,6595,127.565,446.134,6595,127.565,446.134
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,28045,121.936,525.76,28045,121.936,525.76
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,24319,139.168,474.74,24319,139.168,474.74
Secondary motor area/ layer 5,MOs5,767,left,all,42979,155.651,583.872,42979,155.651,583.872
Secondary motor area/ layer 5,MOs5,767,right,all,31163,171.489,549.558,31163,171.489,549.558
Secondary motor area/ layer 6a,MOs6a,1021,left,all,17769,138.013,599.211,17769,138.013,599.211
Secondary motor area/ layer 6a,MOs6a,1021,right,all,15926,131.83,559.042,15926,131.83,559.042
Secondary motor area/ layer 6b,MOs6b,1085,left,all,319,132.367,640.605,319,132.367,640.605
Secondary motor area/ layer 6b,MOs6b,1085,right,all,205,114.161,599.249,205,114.161,599.249
Somatosensory areas,SS,453,left,all,292550,162.316,692.347,292550,162.316,692.347
Somatosensory areas,SS,453,right,all,210436,151.095,571.681,210436,151.095,571.681
Primary somatosensory area,SSp,322,left,all,193772,165.519,707.138,193772,165.519,707.138
Primary somatosensory area,SSp,322,right,all,138066,153.965,580.605,138066,153.965,580.605
Primary somatosensory area/ nose,SSp-n,353,left,all,31956,166.215,746.788,31956,166.215,746.788
