Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,9436,342.613,1303.71,9436,342.613,1303.71
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,7662,178.823,850.375,7662,178.823,850.375
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,675,224.942,1088.29,675,224.942,1088.29
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,419,92.5823,717.21,419,92.5823,717.21
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,36068,261.094,1074.45,36068,261.094,1074.45
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,55248,230.555,892.37,55248,230.555,892.37
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,4,187.09,491.75,4,187.09,491.75
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2838,175.334,719.264,2838,175.334,719.264
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,576,221.276,869.597,576,221.276,869.597
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,9798,194.642,832.8,9798,194.642,832.8
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,3195,236.495,955.577,3195,236.495,955.577
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,13771,219.346,888.271,13771,219.346,888.271
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,11061,241.18,1048.05,11061,241.18,1048.05
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,13560,284.07,977.534,13560,284.07,977.534
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,18935,277.938,1118.35,18935,277.938,1118.35
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,14001,228.277,896.949,14001,228.277,896.949
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,2297,262.467,1057.46,2297,262.467,1057.46
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1280,206.456,823.964,1280,206.456,823.964
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,10267,214.102,956.769,10267,214.102,956.769
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,12907,215.969,926.738,12907,215.969,926.738
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,27,257.5,785.926,27,257.5,785.926
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,375,189.082,764.395,375,189.082,764.395
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,1018,199.027,811.684,1018,199.027,811.684
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,4699,178.782,840.224,4699,178.782,840.224
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,8325,207.553,958.566,8325,207.553,958.566
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,7143,240.9,988.22,7143,240.9,988.22
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,924,289.715,1100.43,924,289.715,1100.43
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,663,224.443,975.068,663,224.443,975.068
Primary somatosensory area/ mouth,SSp-m,345,left,all,72613,241.359,1008.09,72613,241.359,1008.09
Primary somatosensory area/ mouth,SSp-m,345,right,all,80990,208.846,808.728,80990,208.846,808.728
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,6140,188.6,774.736,6140,188.6,774.736
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,9497,172.056,686.413,9497,172.056,686.413
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,19005,212.079,957.019,19005,212.079,957.019
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,23205,188.737,810.248,23205,188.737,810.248
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,11832,237.083,1046.29,11832,237.083,1046.29
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,13377,276.685,902.556,13377,276.685,902.556
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,14498,316.76,1139.16,14498,316.76,1139.16
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,16507,258.809,879.954,16507,258.809,879.954
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,19930,234.471,1013.3,19930,234.471,1013.3
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,17503,162.072,738.703,17503,162.072,738.703
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,1208,220.774,964.173,1208,220.774,964.173
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,901,100.618,721.156,901,100.618,721.156
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,25072,246.537,1021.13,25072,246.537,1021.13
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,32708,200.499,856.37,32708,200.499,856.37
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,0,0,0,0,0,0
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,1276,149.716,634.962,1276,149.716,634.962
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,324,193.103,762.932,324,193.103,762.932
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,5993,176.257,761.99,5993,176.257,761.99
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,1785,190.156,804.873,1785,190.156,804.873
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,5436,192.551,848.767,5436,192.551,848.767
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,8090,209.144,920.951,8090,209.144,920.951
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,8788,238.733,940.131,8788,238.733,940.131
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,13734,276.941,1110.44,13734,276.941,1110.44
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,10552,193.136,870.378,10552,193.136,870.378
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,1139,249.085,1068.14,1139,249.085,1068.14
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,663,192.957,864.777,663,192.957,864.777
Primary somatosensory area/ trunk,SSp-tr,361,left,all,339,243.337,806.941,339,243.337,806.941
Primary somatosensory area/ trunk,SSp-tr,361,right,all,3165,193.663,735.706,3165,193.663,735.706
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,283,166.986,631.611,283,166.986,631.611
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,161,272.589,816.261,161,272.589,816.261
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,2294,197.939,740.232,2294,197.939,740.232
