Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,69894,228.658,733.493,69894,228.658,733.493
Outside,,0,right,all,75304,222.8,677.771,75304,222.8,677.771
root,root,997,left,all,1699285,244.521,956.425,1699285,244.521,956.425
root,root,997,right,all,1411757,234.808,850.068,1411757,234.808,850.068
Basic cell groups and regions,grey,8,left,all,1561561,245.967,961.885,1561561,245.967,961.885
Basic cell groups and regions,grey,8,right,all,1279677,236.355,855.271,1279677,236.355,855.271
Cerebrum,CH,567,left,all,1106871,244.188,918.816,1106871,244.188,918.816
Cerebrum,CH,567,right,all,904649,232.192,801.569,904649,232.192,801.569
Cerebral cortex,CTX,688,left,all,1004686,249.127,919.494,1004686,249.127,919.494
Cerebral cortex,CTX,688,right,all,824822,235.492,800.189,824822,235.492,800.189
Cortical plate,CTXpl,695,left,all,965269,249.947,918.66,965269,249.947,918.66
Cortical plate,CTXpl,695,right,all,786901,236.682,801.065,786901,236.682,801.065
Isocortex,Isocortex,315,left,all,586307,247.62,903.138,586307,247.62,903.138
Isocortex,Isocortex,315,right,all,441128,233.841,784.756,441128,233.841,784.756
Frontal pole/ cerebral cortex,FRP,184,left,all,4656,206.33,730.845,4656,206.33,730.845
Frontal pole/ cerebral cortex,FRP,184,right,all,5129,207.447,679.813,5129,207.447,679.813
Frontal pole/ layer 1,FRP1,68,left,all,852,202.121,656.317,852,202.121,656.317
Frontal pole/ layer 1,FRP1,68,right,all,1342,203.276,634.748,1342,203.276,634.748
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1078,182.283,652.647,1078,182.283,652.647
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1317,191.275,621.841,1317,191.275,621.841
Frontal pole/ layer 5,FRP5,526157192,left,all,2213,221.107,782.749,2213,221.107,782.749
Frontal pole/ layer 5,FRP5,526157192,right,all,2046,225.901,737.419,2046,225.901,737.419
Frontal pole/ layer 6a,FRP6a,526157196,left,all,513,200.102,795.037,513,200.102,795.037
Frontal pole/ layer 6a,FRP6a,526157196,right,all,423,181.878,724.508,423,181.878,724.508
Frontal pole/ layer 6b,FRP6b,526322264,left,all,0,0,0,0,0,0
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,162.25,740,1,162.25,740
Somatomotor areas,MO,500,left,all,116740,253.584,926.202,116740,253.584,926.202
Somatomotor areas,MO,500,right,all,86114,248.68,814.72,86114,248.68,814.72
Primary motor area,MOp,985,left,all,60252,265.272,962.829,60252,265.272,962.829
Primary motor area,MOp,985,right,all,40487,259.834,834.164,40487,259.834,834.164
Primary motor area/ Layer 1,MOp1,320,left,all,2810,222.778,790.351,2810,222.778,790.351
Primary motor area/ Layer 1,MOp1,320,right,all,2157,209.809,700.328,2157,209.809,700.328
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,18748,248.467,931.151,18748,248.467,931.151
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,11324,245.805,790.099,11324,245.805,790.099
Primary motor area/ Layer 5,MOp5,648,left,all,23153,301.324,1040.94,23153,301.324,1040.94
Primary motor area/ Layer 5,MOp5,648,right,all,13533,290.048,893.43,13533,290.048,893.43
Primary motor area/ Layer 6a,MOp6a,844,left,all,15064,240.681,917.746,15064,240.681,917.746
Primary motor area/ Layer 6a,MOp6a,844,right,all,12905,250.496,835.995,12905,250.496,835.995
Primary motor area/ Layer 6b,MOp6b,882,left,all,477,202.704,856.182,477,202.704,856.182
Primary motor area/ Layer 6b,MOp6b,882,right,all,568,221.803,767.252,568,221.803,767.252
Secondary motor area,MOs,993,left,all,56488,241.117,887.134,56488,241.117,887.134
Secondary motor area,MOs,993,right,all,45627,238.782,797.467,45627,238.782,797.467
Secondary motor area/ layer 1,MOs1,656,left,all,3202,209.077,716.948,3202,209.077,716.948
Secondary motor area/ layer 1,MOs1,656,right,all,4190,200.954,649.111,4190,200.954,649.111
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,13884,212.728,801.056,13884,212.728,801.056
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,10801,209.984,700.11,10801,209.984,700.11
Secondary motor area/ layer 5,MOs5,767,left,all,25504,263.85,942.133,25504,263.85,942.133
Secondary motor area/ layer 5,MOs5,767,right,all,19455,261.129,854.609,19455,261.129,854.609
Secondary motor area/ layer 6a,MOs6a,1021,left,all,13690,235.698,913.22,13690,235.698,913.22
Secondary motor area/ layer 6a,MOs6a,1021,right,all,10941,242.635,849.031,10941,242.635,849.031
Secondary motor area/ layer 6b,MOs6b,1085,left,all,208,198.521,792.25,208,198.521,792.25
Secondary motor area/ layer 6b,MOs6b,1085,right,all,240,208.163,786.258,240,208.163,786.258
Somatosensory areas,SS,453,left,all,170576,255.564,909.273,170576,255.564,909.273
Somatosensory areas,SS,453,right,all,112322,248.184,782.058,112322,248.184,782.058
Primary somatosensory area,SSp,322,left,all,104574,256.147,911.56,104574,256.147,911.56
Primary somatosensory area,SSp,322,right,all,61637,250.311,798.553,61637,250.311,798.553
Primary somatosensory area/ nose,SSp-n,353,left,all,13991,236.692,832.547,13991,236.692,832.547
Primary somatosensory area/ nose,SSp-n,353,right,all,10054,243.021,755.401,10054,243.021,755.401
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,1455,198.552,687.697,1455,198.552,687.697
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,649,208.143,645.499,649,208.143,645.499
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,2985,216.16,783.395,2985,216.16,783.395
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,1687,218.843,706.521,1687,218.843,706.521
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,2245,241.981,885.473,2245,241.981,885.473
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,1828,231.266,760.777,1828,231.266,760.777
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,3525,293.519,933.147,3525,293.519,933.147
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,2409,275.959,823.037,2409,275.959,823.037
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,3548,210.871,802.03,3548,210.871,802.03
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,3355,247.201,755.441,3355,247.201,755.441
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,233,220.434,799.584,233,220.434,799.584
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,126,175.923,603.762,126,175.923,603.762
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,25427,264.792,909.057,25427,264.792,909.057
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,11218,230.065,745.01,11218,230.065,745.01
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,695,211.139,635.304,695,211.139,635.304
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,50,173.222,581.56,50,173.222,581.56
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,2681,225.007,773.317,2681,225.007,773.317
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,331,188.752,597.033,331,188.752,597.033
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,4329,235.679,865.611,4329,235.679,865.611
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,1130,206.073,660.261,1130,206.073,660.261
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,7384,283.218,950.682,7384,283.218,950.682
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,2791,223.04,724.506,2791,223.04,724.506
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,9253,279.534,952.961,9253,279.534,952.961
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,6132,240.544,776.675,6132,240.544,776.675
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,1085,262.507,935.471,1085,262.507,935.471
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,784,228.756,765.395,784,228.756,765.395
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,3127,230.65,792.794,3127,230.65,792.794
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,1870,214.797,696.836,1870,214.797,696.836
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,1,143.1,580,1,143.1,580
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,400,186.063,667.655,400,186.063,667.655
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,221,205.714,667.57,221,205.714,667.57
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,2417,234.873,803.579,2417,234.873,803.579
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,1393,214.184,694.626,1393,214.184,694.626
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,309,255.623,871.113,309,255.623,871.113
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,256,225.977,734.125,256,225.977,734.125
Primary somatosensory area/ mouth,SSp-m,345,left,all,44966,262.515,965.971,44966,262.515,965.971
Primary somatosensory area/ mouth,SSp-m,345,right,all,27988,269.903,852.434,27988,269.903,852.434
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,4243,231.161,796.627,4243,231.161,796.627
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,2273,216.779,708.378,2273,216.779,708.378
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,12179,240.108,953.117,12179,240.108,953.117
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,6781,242.404,811.387,6781,242.404,811.387
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,7037,295.865,1074.72,7037,295.865,1074.72
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,3925,279.209,915.269,3925,279.209,915.269
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,11153,314.965,1058.57,11153,314.965,1058.57
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,6567,340.865,968.914,6567,340.865,968.914
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,10089,223.437,876.135,10089,223.437,876.135
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,7951,246.245,805.344,7951,246.245,805.344
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,265,189.078,903.223,265,189.078,903.223
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,491,255.234,788.585,491,255.234,788.585
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,12707,252.081,877.066,12707,252.081,877.066
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,8215,237.107,787.284,8215,237.107,787.284
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,85,238.96,720.729,85,238.96,720.729
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,1,122.45,549,1,122.45,549
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,1206,247.661,847.557,1206,247.661,847.557
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,252,241.774,740.302,252,241.774,740.302
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,1639,237.996,878.484,1639,237.996,878.484
