Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,104020,4235.04,710.207,104020,4235.04,710.207
Outside,,0,right,all,110419,3937.88,668.65,110419,3937.88,668.65
root,root,997,left,all,5124076,3996.93,920.556,5124076,3996.93,920.556
root,root,997,right,all,4853204,3845.19,877.997,4853204,3845.19,877.997
Basic cell groups and regions,grey,8,left,all,4617881,4101.9,931.316,4617881,4101.9,931.316
Basic cell groups and regions,grey,8,right,all,4360035,3945.4,887.876,4360035,3945.4,887.876
Cerebrum,CH,567,left,all,2939030,4318.05,900.165,2939030,4318.05,900.165
Cerebrum,CH,567,right,all,2743266,4204.8,851.116,2743266,4204.8,851.116
Cerebral cortex,CTX,688,left,all,2332587,4778.6,902.245,2332587,4778.6,902.245
Cerebral cortex,CTX,688,right,all,2149987,4673.59,853.841,2149987,4673.59,853.841
Cortical plate,CTXpl,695,left,all,2236061,4804.61,903.092,2236061,4804.61,903.092
Cortical plate,CTXpl,695,right,all,2057129,4697.79,855.578,2057129,4697.79,855.578
Isocortex,Isocortex,315,left,all,1296747,5145.84,897.026,1296747,5145.84,897.026
Isocortex,Isocortex,315,right,all,1164264,5049.87,857.249,1164264,5049.87,857.249
Frontal pole/ cerebral cortex,FRP,184,left,all,12468,4340.49,770.695,12468,4340.49,770.695
Frontal pole/ cerebral cortex,FRP,184,right,all,11657,5501.37,808.251,11657,5501.37,808.251
Frontal pole/ layer 1,FRP1,68,left,all,2813,3983.28,714.263,2813,3983.28,714.263
Frontal pole/ layer 1,FRP1,68,right,all,2915,4958.73,775.648,2915,4958.73,775.648
Frontal pole/ layer 2/3,FRP2/3,667,left,all,3578,4172.97,788.957,3578,4172.97,788.957
Frontal pole/ layer 2/3,FRP2/3,667,right,all,3252,5315.25,798.722,3252,5315.25,798.722
Frontal pole/ layer 5,FRP5,526157192,left,all,4704,4826.33,797.044,4704,4826.33,797.044
Frontal pole/ layer 5,FRP5,526157192,right,all,4290,6280.7,847.976,4290,6280.7,847.976
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1368,3852.85,748.66,1368,3852.85,748.66
Frontal pole/ layer 6a,FRP6a,526157196,right,all,1193,4557.09,772.276,1193,4557.09,772.276
Frontal pole/ layer 6b,FRP6b,526322264,left,all,5,1520.62,691.2,5,1520.62,691.2
Frontal pole/ layer 6b,FRP6b,526322264,right,all,7,1246.53,597.857,7,1246.53,597.857
Somatomotor areas,MO,500,left,all,261166,5545.85,906.297,261166,5545.85,906.297
Somatomotor areas,MO,500,right,all,229450,5531.37,888.641,229450,5531.37,888.641
Primary motor area,MOp,985,left,all,128024,5793.07,961.441,128024,5793.07,961.441
Primary motor area,MOp,985,right,all,111115,5690.48,929.84,111115,5690.48,929.84
Primary motor area/ Layer 1,MOp1,320,left,all,7943,3762.73,748.144,7943,3762.73,748.144
Primary motor area/ Layer 1,MOp1,320,right,all,7255,4050.01,742.208,7255,4050.01,742.208
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,40157,5583.76,940.681,40157,5583.76,940.681
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,34845,5556.46,910.693,34845,5556.46,910.693
Primary motor area/ Layer 5,MOp5,648,left,all,39309,7879.09,1098.7,39309,7879.09,1098.7
Primary motor area/ Layer 5,MOp5,648,right,all,33555,7257.25,1038.99,33555,7257.25,1038.99
Primary motor area/ Layer 6a,MOp6a,844,left,all,38062,4498.56,893.961,38062,4498.56,893.961
Primary motor area/ Layer 6a,MOp6a,844,right,all,33113,4823.59,890.652,33113,4823.59,890.652
Primary motor area/ Layer 6b,MOp6b,882,left,all,2553,2582.75,844.246,2553,2582.75,844.246
Primary motor area/ Layer 6b,MOp6b,882,right,all,2347,2581.6,786.549,2347,2581.6,786.549
Secondary motor area,MOs,993,left,all,133142,5308.14,853.272,133142,5308.14,853.272
Secondary motor area,MOs,993,right,all,118335,5381.98,849.957,118335,5381.98,849.957
Secondary motor area/ layer 1,MOs1,656,left,all,15108,3636.93,674.297,15108,3636.93,674.297
Secondary motor area/ layer 1,MOs1,656,right,all,12638,3741.84,667.641,12638,3741.84,667.641
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,40377,4743.64,798.094,40377,4743.64,798.094
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,35870,4767.43,775.177,35870,4767.43,775.177
Secondary motor area/ layer 5,MOs5,767,left,all,47653,6647.54,947.938,47653,6647.54,947.938
Secondary motor area/ layer 5,MOs5,767,right,all,43047,6622.91,946.534,43047,6622.91,946.534
Secondary motor area/ layer 6a,MOs6a,1021,left,all,29173,4839.14,870.519,29173,4839.14,870.519
Secondary motor area/ layer 6a,MOs6a,1021,right,all,26024,5052.67,885.204,26024,5052.67,885.204
Secondary motor area/ layer 6b,MOs6b,1085,left,all,831,2777.46,754.091,831,2777.46,754.091
Secondary motor area/ layer 6b,MOs6b,1085,right,all,756,2634.85,733.343,756,2634.85,733.343
Somatosensory areas,SS,453,left,all,396010,5248.56,933.352,396010,5248.56,933.352
Somatosensory areas,SS,453,right,all,339465,5241.65,887.734,339465,5241.65,887.734
Primary somatosensory area,SSp,322,left,all,267665,5276.14,938.282,267665,5276.14,938.282
Primary somatosensory area,SSp,322,right,all,227976,5184.92,893.249,227976,5184.92,893.249
Primary somatosensory area/ nose,SSp-n,353,left,all,38217,4817.59,898.303,38217,4817.59,898.303
Primary somatosensory area/ nose,SSp-n,353,right,all,34503,5250.44,878.328,34503,5250.44,878.328
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,4898,4327.37,745.703,4898,4327.37,745.703
