Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,85421,9019.39,634.221,85421,9019.39,634.221
Outside,,0,right,all,91510,8517.09,581.635,91510,8517.09,581.635
root,root,997,left,all,3424208,6112.7,509.071,3424208,6112.7,509.071
root,root,997,right,all,2497359,6047.03,474.439,2497359,6047.03,474.439
Basic cell groups and regions,grey,8,left,all,3025598,6207.22,515.239,3025598,6207.22,515.239
Basic cell groups and regions,grey,8,right,all,2201714,6189.27,480.753,2201714,6189.27,480.753
Cerebrum,CH,567,left,all,1659407,6379.28,490.163,1659407,6379.28,490.163
Cerebrum,CH,567,right,all,1158870,6562.83,455.114,1158870,6562.83,455.114
Cerebral cortex,CTX,688,left,all,1323099,6756.46,494.542,1323099,6756.46,494.542
Cerebral cortex,CTX,688,right,all,933483,7077.69,464.278,933483,7077.69,464.278
Cortical plate,CTXpl,695,left,all,1283236,6818.25,497.953,1283236,6818.25,497.953
Cortical plate,CTXpl,695,right,all,905711,7153.13,468.281,905711,7153.13,468.281
Isocortex,Isocortex,315,left,all,769956,7061.68,513.055,769956,7061.68,513.055
Isocortex,Isocortex,315,right,all,516054,7891.82,496.553,516054,7891.82,496.553
Frontal pole/ cerebral cortex,FRP,184,left,all,5962,7358.39,564.486,5962,7358.39,564.486
Frontal pole/ cerebral cortex,FRP,184,right,all,3746,8135.82,500.32,3746,8135.82,500.32
Frontal pole/ layer 1,FRP1,68,left,all,2334,11955.4,837.639,2334,11955.4,837.639
Frontal pole/ layer 1,FRP1,68,right,all,1963,11618.6,631.858,1963,11618.6,631.858
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1076,4063.27,429.672,1076,4063.27,429.672
Frontal pole/ layer 2/3,FRP2/3,667,right,all,513,4247,404.904,513,4247,404.904
Frontal pole/ layer 5,FRP5,526157192,left,all,1888,4654.92,373.843,1888,4654.92,373.843
Frontal pole/ layer 5,FRP5,526157192,right,all,1001,4333.1,338.104,1001,4333.1,338.104
Frontal pole/ layer 6a,FRP6a,526157196,left,all,663,4227.19,364.943,663,4227.19,364.943
Frontal pole/ layer 6a,FRP6a,526157196,right,all,267,4296.59,326.33,267,4296.59,326.33
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,3524.67,314,1,3524.67,314
Frontal pole/ layer 6b,FRP6b,526322264,right,all,2,3018.64,285.5,2,3018.64,285.5
Somatomotor areas,MO,500,left,all,146467,7120.23,530.949,146467,7120.23,530.949
Somatomotor areas,MO,500,right,all,89170,8662.23,534.472,89170,8662.23,534.472
Primary motor area,MOp,985,left,all,71421,7270.95,511.186,71421,7270.95,511.186
Primary motor area,MOp,985,right,all,41567,8427.82,500.138,41567,8427.82,500.138
Primary motor area/ Layer 1,MOp1,320,left,all,10644,15550.2,915.48,10644,15550.2,915.48
Primary motor area/ Layer 1,MOp1,320,right,all,9082,18099.5,806.858,9082,18099.5,806.858
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,19702,5774.01,488.293,19702,5774.01,488.293
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,10134,7631.82,513.492,10134,7631.82,513.492
Primary motor area/ Layer 5,MOp5,648,left,all,22793,6124.15,427.596,22793,6124.15,427.596
Primary motor area/ Layer 5,MOp5,648,right,all,12820,4990.21,376.312,12820,4990.21,376.312
Primary motor area/ Layer 6a,MOp6a,844,left,all,16921,5520.23,405.772,16921,5520.23,405.772
Primary motor area/ Layer 6a,MOp6a,844,right,all,8863,4715.32,361.598,8863,4715.32,361.598
Primary motor area/ Layer 6b,MOp6b,882,left,all,1361,5163.39,391.187,1361,5163.39,391.187
Primary motor area/ Layer 6b,MOp6b,882,right,all,668,4240.36,341.979,668,4240.36,341.979
Secondary motor area,MOs,993,left,all,75046,6976.79,549.757,75046,6976.79,549.757
Secondary motor area,MOs,993,right,all,47603,8866.92,564.454,47603,8866.92,564.454
Secondary motor area/ layer 1,MOs1,656,left,all,15391,12571.2,999.141,15391,12571.2,999.141
Secondary motor area/ layer 1,MOs1,656,right,all,13066,16692.3,885.243,13066,16692.3,885.243
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,17452,6591.47,540.1,17452,6591.47,540.1
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,11625,7877.43,590.719,11625,7877.43,590.719
Secondary motor area/ layer 5,MOs5,767,left,all,28809,5237.37,396.196,28809,5237.37,396.196
Secondary motor area/ layer 5,MOs5,767,right,all,15849,5058.82,374.675,15849,5058.82,374.675
Secondary motor area/ layer 6a,MOs6a,1021,left,all,12933,4783.01,375.984,12933,4783.01,375.984
Secondary motor area/ layer 6a,MOs6a,1021,right,all,6836,4580.66,353.987,6836,4580.66,353.987
Secondary motor area/ layer 6b,MOs6b,1085,left,all,461,5031.25,383.668,461,5031.25,383.668
Secondary motor area/ layer 6b,MOs6b,1085,right,all,227,4073.65,343.22,227,4073.65,343.22
Somatosensory areas,SS,453,left,all,251472,7328.8,526.393,251472,7328.8,526.393
Somatosensory areas,SS,453,right,all,157656,8440.37,503.037,157656,8440.37,503.037
Primary somatosensory area,SSp,322,left,all,181175,7404.97,545.357,181175,7404.97,545.357
Primary somatosensory area,SSp,322,right,all,105492,8767.39,530.63,105492,8767.39,530.63
Primary somatosensory area/ nose,SSp-n,353,left,all,29273,6857.38,553.731,29273,6857.38,553.731
Primary somatosensory area/ nose,SSp-n,353,right,all,14130,8558.64,511.867,14130,8558.64,511.867
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,5353,10778.8,924.679,5353,10778.8,924.679
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,3640,17777.8,858.174,3640,17777.8,858.174
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,4602,5258.46,458.619,4602,5258.46,458.619
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,2150,5113.63,391.651,2150,5113.63,391.651
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,5072,6295.7,501.877,5072,6295.7,501.877
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,2545,5793.93,420.667,2545,5793.93,420.667
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,7465,6773.77,484.193,7465,6773.77,484.193
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,3319,5482.3,393.523,3319,5482.3,393.523
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,6459,5404.72,442.629,6459,5404.72,442.629
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,2322,4979.09,361.432,2322,4979.09,361.432
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,322,4442.11,403.795,322,4442.11,403.795
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,154,4709.73,330.734,154,4709.73,330.734
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,39151,7483.5,529.078,39151,7483.5,529.078
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,24438,9341.02,548.048,24438,9341.02,548.048
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,4100,14759.5,954.288,4100,14759.5,954.288
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2664,18859,882.479,2664,18859,882.479
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,8936,8720.12,656.709,8936,8720.12,656.709
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,6698,14157.6,795.362,6698,14157.6,795.362
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,7807,5448.86,427.863,7807,5448.86,427.863
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,4155,5543.34,395.826,4155,5543.34,395.826
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,11098,6458.32,429.64,11098,6458.32,429.64
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,6051,5603.35,381.466,6051,5603.35,381.466
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,6591,5657.17,394.225,6591,5657.17,394.225
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,4506,5452.09,364.138,4506,5452.09,364.138
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,619,4926.58,365.423,619,4926.58,365.423
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,364,4677.06,333.036,364,4677.06,333.036
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,11519,6925.65,553.789,11519,6925.65,553.789
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,7725,8927.7,570.606,7725,8927.7,570.606
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,3792,9791.32,835.654,3792,9791.32,835.654
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,2541,14987.5,919.013,2541,14987.5,919.013
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,1576,5484.78,452.914,1576,5484.78,452.914
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,1004,8601.54,542.474,1004,8601.54,542.474
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,3602,5841.34,421.694,3602,5841.34,421.694
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,2393,5412.86,373.499,2393,5412.86,373.499
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,2410,5091.54,385.148,2410,5091.54,385.148
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,1733,5230.14,355.954,1733,5230.14,355.954
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,139,4983.33,355.036,139,4983.33,355.036
