Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,73725,161.663,552.742,73725,161.663,552.742
Outside,,0,right,all,67500,151.274,459.689,67500,151.274,459.689
root,root,997,left,all,3355770,114.492,486.621,3355770,114.492,486.621
root,root,997,right,all,2752134,114.265,450.044,2752134,114.265,450.044
Basic cell groups and regions,grey,8,left,all,3075107,115.799,487.4,3075107,115.799,487.4
Basic cell groups and regions,grey,8,right,all,2481243,115.896,452.56,2481243,115.896,452.56
Cerebrum,CH,567,left,all,2006400,115.939,455.638,2006400,115.939,455.638
Cerebrum,CH,567,right,all,1541715,119.189,426.689,1541715,119.189,426.689
Cerebral cortex,CTX,688,left,all,1710291,119.89,453.16,1710291,119.89,453.16
Cerebral cortex,CTX,688,right,all,1283995,125.729,429.419,1283995,125.729,429.419
Cortical plate,CTXpl,695,left,all,1638895,120.768,455.644,1638895,120.768,455.644
Cortical plate,CTXpl,695,right,all,1242853,126.735,432.562,1242853,126.735,432.562
Isocortex,Isocortex,315,left,all,1076978,122.175,463.822,1076978,122.175,463.822
Isocortex,Isocortex,315,right,all,783163,131.962,448.277,783163,131.962,448.277
Frontal pole/ cerebral cortex,FRP,184,left,all,7023,123.075,401.258,7023,123.075,401.258
Frontal pole/ cerebral cortex,FRP,184,right,all,6011,123.403,379.99,6011,123.403,379.99
Frontal pole/ layer 1,FRP1,68,left,all,2020,190.281,574.348,2020,190.281,574.348
Frontal pole/ layer 1,FRP1,68,right,all,1835,184.51,530.011,1835,184.51,530.011
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1397,84.7111,327.105,1397,84.7111,327.105
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1036,86.5932,297.409,1036,86.5932,297.409
Frontal pole/ layer 5,FRP5,526157192,left,all,2768,102.064,333.768,2768,102.064,333.768
Frontal pole/ layer 5,FRP5,526157192,right,all,2611,102.606,322.689,2611,102.606,322.689
Frontal pole/ layer 6a,FRP6a,526157196,left,all,831,94.1578,330.11,831,94.1578,330.11
Frontal pole/ layer 6a,FRP6a,526157196,right,all,529,86.1708,304.146,529,86.1708,304.146
Frontal pole/ layer 6b,FRP6b,526322264,left,all,7,127.446,384.857,7,127.446,384.857
Frontal pole/ layer 6b,FRP6b,526322264,right,all,0,0,0,0,0,0
Somatomotor areas,MO,500,left,all,219781,123.609,458.761,219781,123.609,458.761
Somatomotor areas,MO,500,right,all,164739,136.124,462.455,164739,136.124,462.455
Primary motor area,MOp,985,left,all,103627,124.738,472.083,103627,124.738,472.083
Primary motor area,MOp,985,right,all,70696,133.616,456.484,70696,133.616,456.484
Primary motor area/ Layer 1,MOp1,320,left,all,13300,208.87,694.988,13300,208.87,694.988
Primary motor area/ Layer 1,MOp1,320,right,all,14355,240.521,711.729,14355,240.521,711.729
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,31666,99.5812,423.974,31666,99.5812,423.974
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,17830,95.1077,374.998,17830,95.1077,374.998
Primary motor area/ Layer 5,MOp5,648,left,all,37339,131.442,463.703,37339,131.442,463.703
Primary motor area/ Layer 5,MOp5,648,right,all,22774,123.007,416.633,22774,123.007,416.633
Primary motor area/ Layer 6a,MOp6a,844,left,all,20550,98.2103,417.604,20550,98.2103,417.604
Primary motor area/ Layer 6a,MOp6a,844,right,all,15169,95.8845,373.337,15169,95.8845,373.337
Primary motor area/ Layer 6b,MOp6b,882,left,all,772,89.179,460.746,772,89.179,460.746
Primary motor area/ Layer 6b,MOp6b,882,right,all,568,73.6343,382.002,568,73.6343,382.002
Secondary motor area,MOs,993,left,all,116154,122.6,446.875,116154,122.6,446.875
Secondary motor area,MOs,993,right,all,94043,138.01,466.943,94043,138.01,466.943
Secondary motor area/ layer 1,MOs1,656,left,all,21995,179.219,662.056,21995,179.219,662.056
Secondary motor area/ layer 1,MOs1,656,right,all,24930,219.378,700.977,24930,219.378,700.977
