Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,80719,2837.3,463.899,80719,2837.3,463.899
Outside,,0,right,all,98229,2375.97,366.59,98229,2375.97,366.59
root,root,997,left,all,3215614,2851.53,574.615,3215614,2851.53,574.615
root,root,997,right,all,2541025,2718.02,502.071,2541025,2718.02,502.071
Basic cell groups and regions,grey,8,left,all,2970409,2869.23,576.047,2970409,2869.23,576.047
Basic cell groups and regions,grey,8,right,all,2344796,2737.93,502.921,2344796,2737.93,502.921
Cerebrum,CH,567,left,all,1995780,2815.67,554.279,1995780,2815.67,554.279
Cerebrum,CH,567,right,all,1572808,2710,476.898,1572808,2710,476.898
Cerebral cortex,CTX,688,left,all,1742092,2923.85,554.93,1742092,2923.85,554.93
Cerebral cortex,CTX,688,right,all,1383013,2808.07,474.934,1383013,2808.07,474.934
Cortical plate,CTXpl,695,left,all,1688693,2944.07,555.277,1688693,2944.07,555.277
Cortical plate,CTXpl,695,right,all,1336110,2833.72,475.452,1336110,2833.72,475.452
Isocortex,Isocortex,315,left,all,1157356,2991.41,558.96,1157356,2991.41,558.96
Isocortex,Isocortex,315,right,all,887595,2851.03,476.044,887595,2851.03,476.044
Frontal pole/ cerebral cortex,FRP,184,left,all,10063,2558.47,459.069,10063,2558.47,459.069
Frontal pole/ cerebral cortex,FRP,184,right,all,9261,2742.5,434.22,9261,2742.5,434.22
Frontal pole/ layer 1,FRP1,68,left,all,1590,2147.12,400.883,1590,2147.12,400.883
Frontal pole/ layer 1,FRP1,68,right,all,1815,2922.53,434.342,1815,2922.53,434.342
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2639,2202.59,445.814,2639,2202.59,445.814
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2510,2270.99,404.623,2510,2270.99,404.623
Frontal pole/ layer 5,FRP5,526157192,left,all,4689,2876.01,478.492,4689,2876.01,478.492
Frontal pole/ layer 5,FRP5,526157192,right,all,4094,3007.8,449.527,4094,3007.8,449.527
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1143,2644.86,490.768,1143,2644.86,490.768
