Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,148017,207.748,702.957,148017,207.748,702.957
Outside,,0,right,all,211384,189.087,635.616,211384,189.087,635.616
root,root,997,left,all,3385078,128.503,649.504,3385078,128.503,649.504
root,root,997,right,all,2589756,122.409,598.707,2589756,122.409,598.707
Basic cell groups and regions,grey,8,left,all,3053114,129.162,652.948,3053114,129.162,652.948
Basic cell groups and regions,grey,8,right,all,2304783,123.028,601.738,2304783,123.028,601.738
Cerebrum,CH,567,left,all,1996670,132.742,617.67,1996670,132.742,617.67
Cerebrum,CH,567,right,all,1406004,128.24,560.696,1406004,128.24,560.696
Cerebral cortex,CTX,688,left,all,1679186,137.191,612.104,1679186,137.191,612.104
Cerebral cortex,CTX,688,right,all,1142082,133.324,555.025,1142082,133.324,555.025
Cortical plate,CTXpl,695,left,all,1622053,137.8,615.728,1622053,137.8,615.728
Cortical plate,CTXpl,695,right,all,1098022,133.839,558.237,1098022,133.839,558.237
Isocortex,Isocortex,315,left,all,1063095,131.635,602.682,1063095,131.635,602.682
Isocortex,Isocortex,315,right,all,696965,129.094,546.176,696965,129.094,546.176
Frontal pole/ cerebral cortex,FRP,184,left,all,7943,130.855,547.816,7943,130.855,547.816
Frontal pole/ cerebral cortex,FRP,184,right,all,4515,110.499,486.645,4515,110.499,486.645
Frontal pole/ layer 1,FRP1,68,left,all,1858,151.444,585.613,1858,151.444,585.613
Frontal pole/ layer 1,FRP1,68,right,all,599,101.292,440.998,599,101.292,440.998
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1425,101.248,499.115,1425,101.248,499.115
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1010,91.906,442.789,1010,91.906,442.789
Frontal pole/ layer 5,FRP5,526157192,left,all,3456,138.967,549.311,3456,138.967,549.311
Frontal pole/ layer 5,FRP5,526157192,right,all,2183,120.711,505.467,2183,120.711,505.467
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1192,110.849,542.765,1192,110.849,542.765
Frontal pole/ layer 6a,FRP6a,526157196,right,all,719,112.94,528.809,719,112.94,528.809
Frontal pole/ layer 6b,FRP6b,526322264,left,all,12,109.581,550.167,12,109.581,550.167
Frontal pole/ layer 6b,FRP6b,526322264,right,all,4,171.938,544.75,4,171.938,544.75
Somatomotor areas,MO,500,left,all,203863,134.772,602.985,203863,134.772,602.985
Somatomotor areas,MO,500,right,all,130433,141.586,569.119,130433,141.586,569.119
Primary motor area,MOp,985,left,all,94096,128.308,598.575,94096,128.308,598.575
Primary motor area,MOp,985,right,all,61103,125.3,531.285,61103,125.3,531.285
