Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,76515,270.977,761.673,76515,270.977,761.673
Outside,,0,right,all,121634,269.522,717.114,121634,269.522,717.114
root,root,997,left,all,2533937,266.995,968.706,2533937,266.995,968.706
root,root,997,right,all,2054813,260.58,888.907,2054813,260.58,888.907
Basic cell groups and regions,grey,8,left,all,2327417,268.368,972.037,2327417,268.368,972.037
Basic cell groups and regions,grey,8,right,all,1890893,262.281,892.415,1890893,262.281,892.415
Cerebrum,CH,567,left,all,1461845,262.582,920.579,1461845,262.582,920.579
Cerebrum,CH,567,right,all,1133374,255.012,821.796,1133374,255.012,821.796
Cerebral cortex,CTX,688,left,all,1292482,267.304,923.353,1292482,267.304,923.353
Cerebral cortex,CTX,688,right,all,1010614,259.909,823.846,1010614,259.909,823.846
Cortical plate,CTXpl,695,left,all,1236752,268.194,925.892,1236752,268.194,925.892
Cortical plate,CTXpl,695,right,all,981136,260.913,826.675,981136,260.913,826.675
Isocortex,Isocortex,315,left,all,678541,260.61,910.626,678541,260.61,910.626
Isocortex,Isocortex,315,right,all,639858,259.052,818.719,639858,259.052,818.719
Frontal pole/ cerebral cortex,FRP,184,left,all,7619,257.643,871.778,7619,257.643,871.778
Frontal pole/ cerebral cortex,FRP,184,right,all,7742,321.976,891.274,7742,321.976,891.274
Frontal pole/ layer 1,FRP1,68,left,all,1286,253.83,746.379,1286,253.83,746.379
Frontal pole/ layer 1,FRP1,68,right,all,767,268.637,745.008,767,268.637,745.008
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2242,256.468,883.17,2242,256.468,883.17
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2233,283.614,828.268,2233,283.614,828.268
Frontal pole/ layer 5,FRP5,526157192,left,all,3273,271.191,931.971,3273,271.191,931.971
Frontal pole/ layer 5,FRP5,526157192,right,all,3937,370.9,976.646,3937,370.9,976.646
