Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,2962,7883.85,649.361,2962,7883.85,649.361
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,4273,6314.89,653.177,4273,6314.89,653.177
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,2700,6286.87,582.16,2700,6286.87,582.16
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,229,5766.32,701.454,229,5766.32,701.454
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,66,4628.79,575.924,66,4628.79,575.924
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,40826,8074.03,689.88,40826,8074.03,689.88
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,26226,7840.75,653.463,26226,7840.75,653.463
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,2955,6587.53,581.504,2955,6587.53,581.504
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2348,6249.49,560.665,2348,6249.49,560.665
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,9007,6662.03,648.219,9007,6662.03,648.219
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,5877,6893.97,621.432,5877,6893.97,621.432
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,12452,10765.4,762.509,12452,10765.4,762.509
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,7812,9745.95,718.151,7812,9745.95,718.151
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,10594,7278.19,679.156,10594,7278.19,679.156
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,6558,7524.11,654.152,6558,7524.11,654.152
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,5485,6708.09,671.753,5485,6708.09,671.753
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,3468,6904.31,624.827,3468,6904.31,624.827
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,333,6634.53,702.39,333,6634.53,702.39
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,163,6253.54,626.417,163,6253.54,626.417
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,9084,8787.66,669.609,9084,8787.66,669.609
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,6796,8009.31,647.916,6796,8009.31,647.916
