Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,99242,3825.8,600.033,99242,3825.8,600.033
Outside,,0,right,all,130647,3272.52,529.782,130647,3272.52,529.782
root,root,997,left,all,3043615,3879.86,827.567,3043615,3879.86,827.567
root,root,997,right,all,2767004,3608.61,740.49,2767004,3608.61,740.49
Basic cell groups and regions,grey,8,left,all,2722463,3968.79,836.44,2722463,3968.79,836.44
Basic cell groups and regions,grey,8,right,all,2477308,3681.05,749.128,2477308,3681.05,749.128
Cerebrum,CH,567,left,all,1742606,4234.37,805.072,1742606,4234.37,805.072
Cerebrum,CH,567,right,all,1489224,3857.88,704.805,1489224,3857.88,704.805
Cerebral cortex,CTX,688,left,all,1373911,4715.32,796.802,1373911,4715.32,796.802
Cerebral cortex,CTX,688,right,all,1142419,4324.95,700.991,1142419,4324.95,700.991
Cortical plate,CTXpl,695,left,all,1325592,4720.21,795.421,1325592,4720.21,795.421
Cortical plate,CTXpl,695,right,all,1097349,4336.19,701.734,1097349,4336.19,701.734
Isocortex,Isocortex,315,left,all,760094,5024.55,786.123,760094,5024.55,786.123
Isocortex,Isocortex,315,right,all,596655,4373.92,683.62,596655,4373.92,683.62
Frontal pole/ cerebral cortex,FRP,184,left,all,7058,4531.28,668.367,7058,4531.28,668.367
Frontal pole/ cerebral cortex,FRP,184,right,all,5976,4113.46,625.393,5976,4113.46,625.393
Frontal pole/ layer 1,FRP1,68,left,all,1533,4277.79,637.734,1533,4277.79,637.734
Frontal pole/ layer 1,FRP1,68,right,all,1460,4735.95,665.966,1460,4735.95,665.966
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2174,4090.27,647.668,2174,4090.27,647.668
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1817,3465.6,600.599,1817,3465.6,600.599
Frontal pole/ layer 5,FRP5,526157192,left,all,2643,5273.13,695.491,2643,5273.13,695.491
Frontal pole/ layer 5,FRP5,526157192,right,all,2086,4521.65,623.337,2086,4521.65,623.337
Frontal pole/ layer 6a,FRP6a,526157196,left,all,706,3665.81,697.03,706,3665.81,697.03
Frontal pole/ layer 6a,FRP6a,526157196,right,all,608,3159.32,608.862,608,3159.32,608.862
Frontal pole/ layer 6b,FRP6b,526322264,left,all,2,3362.1,684,2,3362.1,684
