Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,35487,5625.93,458.316,35487,5625.93,458.316
Outside,,0,right,all,38940,5332.24,436.059,38940,5332.24,436.059
root,root,997,left,all,1744257,6056.84,584.741,1744257,6056.84,584.741
root,root,997,right,all,1302277,5631.02,535.65,1302277,5631.02,535.65
Basic cell groups and regions,grey,8,left,all,1648987,6092.06,585.929,1648987,6092.06,585.929
Basic cell groups and regions,grey,8,right,all,1231386,5664.89,536.75,1231386,5664.89,536.75
Cerebrum,CH,567,left,all,1101490,5771.22,550.197,1101490,5771.22,550.197
Cerebrum,CH,567,right,all,807194,5447.61,500.306,807194,5447.61,500.306
Cerebral cortex,CTX,688,left,all,1028407,5854.26,552.149,1028407,5854.26,552.149
Cerebral cortex,CTX,688,right,all,756167,5517.9,502.041,756167,5517.9,502.041
Cortical plate,CTXpl,695,left,all,988981,5878.65,554.554,988981,5878.65,554.554
Cortical plate,CTXpl,695,right,all,731684,5542.98,503.646,731684,5542.98,503.646
Isocortex,Isocortex,315,left,all,670754,5687.03,547.521,670754,5687.03,547.521
Isocortex,Isocortex,315,right,all,468902,5297.05,496.49,468902,5297.05,496.49
Frontal pole/ cerebral cortex,FRP,184,left,all,5367,4800.32,444.929,5367,4800.32,444.929
Frontal pole/ cerebral cortex,FRP,184,right,all,3182,4588.63,390.462,3182,4588.63,390.462
Frontal pole/ layer 1,FRP1,68,left,all,900,4470.97,393.09,900,4470.97,393.09
Frontal pole/ layer 1,FRP1,68,right,all,1129,4350.32,363.732,1129,4350.32,363.732
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1102,4023.76,396.778,1102,4023.76,396.778
Frontal pole/ layer 2/3,FRP2/3,667,right,all,540,4233.61,363.985,540,4233.61,363.985
Frontal pole/ layer 5,FRP5,526157192,left,all,2883,5337.18,482.684,2883,5337.18,482.684
Frontal pole/ layer 5,FRP5,526157192,right,all,1263,5009.27,423.507,1263,5009.27,423.507
Frontal pole/ layer 6a,FRP6a,526157196,left,all,481,3975.8,426.071,481,3975.8,426.071
Frontal pole/ layer 6a,FRP6a,526157196,right,all,250,4306.61,401.428,250,4306.61,401.428
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,5800.89,384,1,5800.89,384
Frontal pole/ layer 6b,FRP6b,526322264,right,all,0,0,0,0,0,0
Somatomotor areas,MO,500,left,all,123056,5569.54,529.333,123056,5569.54,529.333
Somatomotor areas,MO,500,right,all,90475,5396.37,481.009,90475,5396.37,481.009
Primary motor area,MOp,985,left,all,58021,5825.07,560.952,58021,5825.07,560.952
Primary motor area,MOp,985,right,all,42928,5547.22,494.115,42928,5547.22,494.115
Primary motor area/ Layer 1,MOp1,320,left,all,2888,4591.68,435.869,2888,4591.68,435.869
Primary motor area/ Layer 1,MOp1,320,right,all,3284,4561.43,412.04,3284,4561.43,412.04
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,21177,5650.22,544.928,21177,5650.22,544.928
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,15729,5402.35,480.656,15729,5402.35,480.656
Primary motor area/ Layer 5,MOp5,648,left,all,23739,6586.38,607.578,23739,6586.38,607.578
Primary motor area/ Layer 5,MOp5,648,right,all,15660,6340.5,540.871,15660,6340.5,540.871
Primary motor area/ Layer 6a,MOp6a,844,left,all,9891,4750.76,519.988,9891,4750.76,519.988
Primary motor area/ Layer 6a,MOp6a,844,right,all,8201,4715.52,463.994,8201,4715.52,463.994
Primary motor area/ Layer 6b,MOp6b,882,left,all,326,5267.83,557.558,326,5267.83,557.558
Primary motor area/ Layer 6b,MOp6b,882,right,all,54,3955.49,421.185,54,3955.49,421.185
Secondary motor area,MOs,993,left,all,65035,5341.57,501.124,65035,5341.57,501.124
Secondary motor area,MOs,993,right,all,47547,5260.17,469.175,47547,5260.17,469.175
Secondary motor area/ layer 1,MOs1,656,left,all,5911,4725.29,426.681,5911,4725.29,426.681
Secondary motor area/ layer 1,MOs1,656,right,all,6744,4550.67,394.145,6744,4550.67,394.145
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,18941,4888.72,470.529,18941,4888.72,470.529
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,13897,4980.47,447.129,13897,4980.47,447.129
Secondary motor area/ layer 5,MOs5,767,left,all,29373,6009.15,535.667,29373,6009.15,535.667
Secondary motor area/ layer 5,MOs5,767,right,all,20292,5944.26,513.898,20292,5944.26,513.898
Secondary motor area/ layer 6a,MOs6a,1021,left,all,10756,4661.31,501.496,10756,4661.31,501.496
Secondary motor area/ layer 6a,MOs6a,1021,right,all,6578,4475.55,454.925,6578,4475.55,454.925
Secondary motor area/ layer 6b,MOs6b,1085,left,all,54,4009.34,516.907,54,4009.34,516.907
Secondary motor area/ layer 6b,MOs6b,1085,right,all,36,3919.71,430.194,36,3919.71,430.194
Somatosensory areas,SS,453,left,all,219046,6123.68,594.909,219046,6123.68,594.909
Somatosensory areas,SS,453,right,all,134138,5648.12,531.835,134138,5648.12,531.835
Primary somatosensory area,SSp,322,left,all,153514,6301.55,609.599,153514,6301.55,609.599
Primary somatosensory area,SSp,322,right,all,88717,5791.22,530.173,88717,5791.22,530.173
Primary somatosensory area/ nose,SSp-n,353,left,all,27492,6592.26,647.599,27492,6592.26,647.599
Primary somatosensory area/ nose,SSp-n,353,right,all,11841,5669.16,545.498,11841,5669.16,545.498
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,2432,5979.63,518.885,2432,5979.63,518.885
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,1067,4499.94,431.943,1067,4499.94,431.943
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,6458,5709.93,607.824,6458,5709.93,607.824
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,2207,5430.94,535.356,2207,5430.94,535.356
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,6644,7475.3,725.429,6644,7475.3,725.429
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,2396,6336.5,589.592,2396,6336.5,589.592
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,7707,7645.22,702.647,7707,7645.22,702.647
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,3365,6575.07,600.221,3365,6575.07,600.221
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,4133,5008.78,560.074,4133,5008.78,560.074
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,2736,4660.7,494.464,2736,4660.7,494.464
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,118,4476.99,565.331,118,4476.99,565.331
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,70,4028.78,450.929,70,4028.78,450.929
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,35273,6090.68,576.109,35273,6090.68,576.109
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,27536,5921.82,570.074,27536,5921.82,570.074
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,2701,4627.31,454.692,2701,4627.31,454.692
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2056,4355.81,445.731,2056,4355.81,445.731
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,8310,5109.96,544.963,8310,5109.96,544.963
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,5768,5062.2,529.072,5768,5062.2,529.072
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,9179,7118.05,639.976,9179,7118.05,639.976
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,7289,6891.53,628.614,7289,6891.53,628.614
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,9357,6943.97,621.783,9357,6943.97,621.783
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,7786,6582.31,615.186,7786,6582.31,615.186
