Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,91243,316.396,1021.24,91243,316.396,1021.24
Outside,,0,right,all,137502,322.964,959.484,137502,322.964,959.484
root,root,997,left,all,3923754,194.265,980.995,3923754,194.265,980.995
root,root,997,right,all,4059725,200.58,925.048,4059725,200.58,925.048
Basic cell groups and regions,grey,8,left,all,3479704,195.495,980.037,3479704,195.495,980.037
Basic cell groups and regions,grey,8,right,all,3565793,201.718,923.948,3565793,201.718,923.948
Cerebrum,CH,567,left,all,1930647,201.547,877.885,1930647,201.547,877.885
Cerebrum,CH,567,right,all,1842343,214.204,821.806,1842343,214.204,821.806
Cerebral cortex,CTX,688,left,all,1633429,208.482,864.548,1633429,208.482,864.548
Cerebral cortex,CTX,688,right,all,1463426,225.483,807.477,1463426,225.483,807.477
Cortical plate,CTXpl,695,left,all,1590310,209.424,866.638,1590310,209.424,866.638
Cortical plate,CTXpl,695,right,all,1421490,227.253,813.36,1421490,227.253,813.36
Isocortex,Isocortex,315,left,all,1034897,199.896,839.41,1034897,199.896,839.41
Isocortex,Isocortex,315,right,all,872941,215.691,785.584,872941,215.691,785.584
Frontal pole/ cerebral cortex,FRP,184,left,all,5064,160.83,588.169,5064,160.83,588.169
Frontal pole/ cerebral cortex,FRP,184,right,all,5270,165.522,556.404,5270,165.522,556.404
Frontal pole/ layer 1,FRP1,68,left,all,1518,156.988,563.333,1518,156.988,563.333
Frontal pole/ layer 1,FRP1,68,right,all,982,154.489,509.742,982,154.489,509.742
Frontal pole/ layer 2/3,FRP2/3,667,left,all,903,142.253,544.042,903,142.253,544.042
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1020,146.271,488.692,1020,146.271,488.692
Frontal pole/ layer 5,FRP5,526157192,left,all,2104,172.722,601.96,2104,172.722,601.96
Frontal pole/ layer 5,FRP5,526157192,right,all,2657,178.673,581.272,2657,178.673,581.272
Frontal pole/ layer 6a,FRP6a,526157196,left,all,538,156.418,678.087,538,156.418,678.087
Frontal pole/ layer 6a,FRP6a,526157196,right,all,608,158.136,636.16,608,158.136,636.16
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,119.036,745,1,119.036,745
Frontal pole/ layer 6b,FRP6b,526322264,right,all,3,170.948,664.667,3,170.948,664.667
Somatomotor areas,MO,500,left,all,203145,196.092,826.128,203145,196.092,826.128
Somatomotor areas,MO,500,right,all,186583,211.3,779.544,186583,211.3,779.544
Primary motor area,MOp,985,left,all,108076,200.922,872.258,108076,200.922,872.258
Primary motor area,MOp,985,right,all,91737,222.177,815.105,91737,222.177,815.105
Primary motor area/ Layer 1,MOp1,320,left,all,11286,316.734,1013.09,11286,316.734,1013.09
Primary motor area/ Layer 1,MOp1,320,right,all,11235,465.185,1123.9,11235,465.185,1123.9
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,33479,179.082,809.178,33479,179.082,809.178
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,28754,191.618,749.647,28754,191.618,749.647
Primary motor area/ Layer 5,MOp5,648,left,all,36189,216.693,910.627,36189,216.693,910.627
Primary motor area/ Layer 5,MOp5,648,right,all,27778,209.454,819.472,27778,209.454,819.472
Primary motor area/ Layer 6a,MOp6a,844,left,all,24545,160.366,831.961,24545,160.366,831.961
Primary motor area/ Layer 6a,MOp6a,844,right,all,21242,162.96,734.135,21242,162.96,734.135
Primary motor area/ Layer 6b,MOp6b,882,left,all,2577,142.262,919.991,2577,142.262,919.991
Primary motor area/ Layer 6b,MOp6b,882,right,all,2728,134.125,819.297,2728,134.125,819.297
Secondary motor area,MOs,993,left,all,95069,190.601,773.687,95069,190.601,773.687
Secondary motor area,MOs,993,right,all,94846,200.779,745.149,94846,200.779,745.149
Secondary motor area/ layer 1,MOs1,656,left,all,14239,233.566,863.314,14239,233.566,863.314
