Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,139033,281.99,952.344,139033,281.99,952.344
Outside,,0,right,all,126267,277.489,938.441,126267,277.489,938.441
root,root,997,left,all,3032782,197.987,906.103,3032782,197.987,906.103
root,root,997,right,all,2706781,196.205,838.568,2706781,196.205,838.568
Basic cell groups and regions,grey,8,left,all,2715573,200.486,907.944,2715573,200.486,907.944
Basic cell groups and regions,grey,8,right,all,2410653,199.667,845.428,2410653,199.667,845.428
Cerebrum,CH,567,left,all,1545717,214.448,863.295,1545717,214.448,863.295
Cerebrum,CH,567,right,all,1289853,218.799,805.771,1289853,218.799,805.771
Cerebral cortex,CTX,688,left,all,1323036,222.648,863.889,1323036,222.648,863.889
Cerebral cortex,CTX,688,right,all,1075009,230.808,814.078,1075009,230.808,814.078
Cortical plate,CTXpl,695,left,all,1286202,223.865,869.029,1286202,223.865,869.029
Cortical plate,CTXpl,695,right,all,1050653,232.094,819.785,1050653,232.094,819.785
Isocortex,Isocortex,315,left,all,857785,235.142,898.969,857785,235.142,898.969
Isocortex,Isocortex,315,right,all,694778,248.927,863.837,694778,248.927,863.837
Frontal pole/ cerebral cortex,FRP,184,left,all,4252,166.835,594.499,4252,166.835,594.499
Frontal pole/ cerebral cortex,FRP,184,right,all,4566,161.499,573.981,4566,161.499,573.981
Frontal pole/ layer 1,FRP1,68,left,all,635,136.57,531.339,635,136.57,531.339
Frontal pole/ layer 1,FRP1,68,right,all,1240,137.155,499.143,1240,137.155,499.143
Frontal pole/ layer 2/3,FRP2/3,667,left,all,849,149.898,519.764,849,149.898,519.764
Frontal pole/ layer 2/3,FRP2/3,667,right,all,713,151.185,506.143,713,151.185,506.143
Frontal pole/ layer 5,FRP5,526157192,left,all,2180,183.813,622.123,2180,183.813,622.123
Frontal pole/ layer 5,FRP5,526157192,right,all,2071,181.984,631.581,2071,181.984,631.581
Frontal pole/ layer 6a,FRP6a,526157196,left,all,586,161.151,667.8,586,161.151,667.8
Frontal pole/ layer 6a,FRP6a,526157196,right,all,538,152.396,613.911,538,152.396,613.911
Frontal pole/ layer 6b,FRP6b,526322264,left,all,2,125.261,784,2,125.261,784
Frontal pole/ layer 6b,FRP6b,526322264,right,all,4,164.892,673,4,164.892,673
Somatomotor areas,MO,500,left,all,173085,235.375,899.32,173085,235.375,899.32
Somatomotor areas,MO,500,right,all,147000,250.076,883.974,147000,250.076,883.974
Primary motor area,MOp,985,left,all,83137,240.607,920.471,83137,240.607,920.471
Primary motor area,MOp,985,right,all,69004,251.597,870.887,69004,251.597,870.887
Primary motor area/ Layer 1,MOp1,320,left,all,14420,481.727,1579.2,14420,481.727,1579.2
Primary motor area/ Layer 1,MOp1,320,right,all,15434,477.934,1474.15,15434,477.934,1474.15
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,24550,186.2,777.443,24550,186.2,777.443
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,16520,179.427,693.311,16520,179.427,693.311
Primary motor area/ Layer 5,MOp5,648,left,all,28635,213.765,821.665,28635,213.765,821.665
Primary motor area/ Layer 5,MOp5,648,right,all,21730,207.872,739.576,21730,207.872,739.576
Primary motor area/ Layer 6a,MOp6a,844,left,all,14143,154.072,710.082,14143,154.072,710.082
Primary motor area/ Layer 6a,MOp6a,844,right,all,14202,165.77,635.557,14202,165.77,635.557
Primary motor area/ Layer 6b,MOp6b,882,left,all,1389,133.475,788.971,1389,133.475,788.971
Primary motor area/ Layer 6b,MOp6b,882,right,all,1118,133.523,708.447,1118,133.523,708.447
Secondary motor area,MOs,993,left,all,89948,230.539,879.772,89948,230.539,879.772
Secondary motor area,MOs,993,right,all,77996,248.731,895.553,77996,248.731,895.553
Secondary motor area/ layer 1,MOs1,656,left,all,20773,386.99,1423.55,20773,386.99,1423.55
Secondary motor area/ layer 1,MOs1,656,right,all,24195,415.906,1396.55,24195,415.906,1396.55
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,21335,165.412,670.557,21335,165.412,670.557
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,16471,161.129,638.188,16471,161.129,638.188
Secondary motor area/ layer 5,MOs5,767,left,all,36164,202.805,748.27,36164,202.805,748.27
Secondary motor area/ layer 5,MOs5,767,right,all,27493,185.852,699.534,27493,185.852,699.534
Secondary motor area/ layer 6a,MOs6a,1021,left,all,11436,157.385,699.918,11436,157.385,699.918
Secondary motor area/ layer 6a,MOs6a,1021,right,all,9682,160.323,641.366,9682,160.323,641.366
Secondary motor area/ layer 6b,MOs6b,1085,left,all,240,143.616,796.554,240,143.616,796.554
Secondary motor area/ layer 6b,MOs6b,1085,right,all,155,137.742,685.865,155,137.742,685.865
Somatosensory areas,SS,453,left,all,287348,245.64,974.18,287348,245.64,974.18
Somatosensory areas,SS,453,right,all,215909,258.665,906.831,215909,258.665,906.831
Primary somatosensory area,SSp,322,left,all,212749,241.611,996.331,212749,241.611,996.331
Primary somatosensory area,SSp,322,right,all,158946,259.025,939.186,158946,259.025,939.186
Primary somatosensory area/ nose,SSp-n,353,left,all,31277,246.134,1001.09,31277,246.134,1001.09
