Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,9189,180.805,755.92,9189,180.805,755.92
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,7480,144.765,629.622,7480,144.765,629.622
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,588,116.478,651.418,588,116.478,651.418
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,483,167.561,590.565,483,167.561,590.565
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,83200,222.799,959.964,83200,222.799,959.964
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,52672,168.096,737.551,52672,168.096,737.551
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,7921,261.731,870.771,7921,261.731,870.771
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,5140,147.974,631.295,5140,147.974,631.295
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,18570,190.658,941.208,18570,190.658,941.208
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,12941,142.51,753.552,12941,142.51,753.552
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,17928,243.277,1107.88,17928,243.277,1107.88
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,9721,197.127,830.276,9721,197.127,830.276
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,18692,272.954,1033.83,18692,272.954,1033.83
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,10528,211.705,811.062,10528,211.705,811.062
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,18184,176.21,823.151,18184,176.21,823.151
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,13089,149.885,649.529,13089,149.885,649.529
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,1905,134.107,702.803,1905,134.107,702.803
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1253,113.462,590.617,1253,113.462,590.617
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,22687,189.208,820.437,22687,189.208,820.437
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,17656,161.459,698.108,17656,161.459,698.108
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,1192,171.221,677.818,1192,171.221,677.818
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,1550,163.342,627.359,1550,163.342,627.359
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,6479,157.902,766.568,6479,157.902,766.568
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,5266,130.823,655.929,5266,130.823,655.929
