Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,5738,100.833,454.838,5738,100.833,454.838
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,332,116.973,476.798,332,116.973,476.798
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,404,118.046,415.062,404,118.046,415.062
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,59050,142.795,622.712,59050,142.795,622.712
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,40765,126.614,534.738,40765,126.614,534.738
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,2466,176.274,562.142,2466,176.274,562.142
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2412,130.172,481.698,2412,130.172,481.698
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,11061,129.401,605.534,11061,129.401,605.534
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,7185,118.677,524.68,7185,118.677,524.68
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,13512,137.698,664.416,13512,137.698,664.416
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,8208,124.171,561.474,8208,124.171,561.474
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,14894,172.767,669.871,14894,172.767,669.871
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,10046,149.087,577.542,10046,149.087,577.542
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,15936,125.911,569.82,15936,125.911,569.82
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,11805,114.876,502.132,11805,114.876,502.132
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,1181,106.496,551.911,1181,106.496,551.911
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1109,109.747,476.725,1109,109.747,476.725
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,13697,125.981,538.871,13697,125.981,538.871
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,11626,122.805,493.415,11626,122.805,493.415
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,149,127.371,497.611,149,127.371,497.611
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,85,144.699,502.071,85,144.699,502.071
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,1073,108.726,495.225,1073,108.726,495.225
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,715,116.642,462.933,715,116.642,462.933
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,4972,117.705,533.859,4972,117.705,533.859
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,4159,114.822,482.413,4159,114.822,482.413
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,6919,135.373,551.849,6919,135.373,551.849
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,6089,130.377,507.2,6089,130.377,507.2
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,584,116.516,518.503,584,116.516,518.503
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,578,104.885,463.784,578,104.885,463.784
Primary somatosensory area/ mouth,SSp-m,345,left,all,79453,147.467,664.229,79453,147.467,664.229
Primary somatosensory area/ mouth,SSp-m,345,right,all,52847,135.251,570.325,52847,135.251,570.325
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,7483,182.175,574.001,7483,182.175,574.001
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,5324,126.81,481.361,5324,126.81,481.361
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,21046,131.86,679.895,21046,131.86,679.895
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,13328,124.464,581.852,13328,124.464,581.852
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,12415,157.692,758.382,12415,157.692,758.382
