Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,105285,3396.73,456.796,105285,3396.73,456.796
Outside,,0,right,all,105237,2968.85,408.604,105237,2968.85,408.604
root,root,997,left,all,3942375,4368.97,601.042,3942375,4368.97,601.042
root,root,997,right,all,3672837,4047.15,550.726,3672837,4047.15,550.726
Basic cell groups and regions,grey,8,left,all,3602280,4429.77,602.305,3602280,4429.77,602.305
Basic cell groups and regions,grey,8,right,all,3352741,4098.13,551.502,3352741,4098.13,551.502
Cerebrum,CH,567,left,all,2400463,4228.01,558.451,2400463,4228.01,558.451
Cerebrum,CH,567,right,all,2230302,3983.09,509.83,2230302,3983.09,509.83
Cerebral cortex,CTX,688,left,all,2001372,4555.99,561.128,2001372,4555.99,561.128
Cerebral cortex,CTX,688,right,all,1835589,4350.53,515.448,1835589,4350.53,515.448
Cortical plate,CTXpl,695,left,all,1958920,4574.31,560.881,1958920,4574.31,560.881
Cortical plate,CTXpl,695,right,all,1753568,4401.09,516.087,1753568,4401.09,516.087
Isocortex,Isocortex,315,left,all,1308650,4746.71,560.298,1308650,4746.71,560.298
Isocortex,Isocortex,315,right,all,1017225,4508.49,517.825,1017225,4508.49,517.825
Frontal pole/ cerebral cortex,FRP,184,left,all,12231,4086.8,453.69,12231,4086.8,453.69
Frontal pole/ cerebral cortex,FRP,184,right,all,11000,3784.94,428.761,11000,3784.94,428.761
Frontal pole/ layer 1,FRP1,68,left,all,2672,3465.98,395.59,2672,3465.98,395.59
Frontal pole/ layer 1,FRP1,68,right,all,3282,2998.98,370.99,3282,2998.98,370.99
Frontal pole/ layer 2/3,FRP2/3,667,left,all,3433,3263.6,425.579,3433,3263.6,425.579
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2725,3559.86,404.928,2725,3559.86,404.928
Frontal pole/ layer 5,FRP5,526157192,left,all,4880,5036.13,493.461,4880,5036.13,493.461
Frontal pole/ layer 5,FRP5,526157192,right,all,3951,4627.64,478.914,3951,4627.64,478.914
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1245,3970.43,500.03,1245,3970.43,500.03
Frontal pole/ layer 6a,FRP6a,526157196,right,all,1041,3656.46,482.986,1041,3656.46,482.986
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,1158.83,433,1,1158.83,433
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,857.19,373,1,857.19,373
Somatomotor areas,MO,500,left,all,279628,5334.66,586.032,279628,5334.66,586.032
Somatomotor areas,MO,500,right,all,215304,5318.96,556.699,215304,5318.96,556.699
Primary motor area,MOp,985,left,all,134499,5456.16,610.181,134499,5456.16,610.181
Primary motor area,MOp,985,right,all,104607,5555,569.938,104607,5555,569.938
Primary motor area/ Layer 1,MOp1,320,left,all,9617,3595.84,500.07,9617,3595.84,500.07
Primary motor area/ Layer 1,MOp1,320,right,all,8471,3989.31,476.284,8471,3989.31,476.284
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,43396,5581.89,610.783,43396,5581.89,610.783
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,32818,5202.52,562.642,32818,5202.52,562.642
Primary motor area/ Layer 5,MOp5,648,left,all,45740,6988.55,656.886,45740,6988.55,656.886
Primary motor area/ Layer 5,MOp5,648,right,all,33628,7528.43,629.015,33628,7528.43,629.015
Primary motor area/ Layer 6a,MOp6a,844,left,all,33751,3897.39,579.463,33751,3897.39,579.463
Primary motor area/ Layer 6a,MOp6a,844,right,all,28077,4242.36,539.736,28077,4242.36,539.736
Primary motor area/ Layer 6b,MOp6b,882,left,all,1995,2926.24,576.747,1995,2926.24,576.747
Primary motor area/ Layer 6b,MOp6b,882,right,all,1613,2655.27,504.3,1613,2655.27,504.3
Secondary motor area,MOs,993,left,all,145129,5222.06,563.652,145129,5222.06,563.652
Secondary motor area,MOs,993,right,all,110697,5095.9,544.188,110697,5095.9,544.188
Secondary motor area/ layer 1,MOs1,656,left,all,18337,3687.73,469.651,18337,3687.73,469.651
Secondary motor area/ layer 1,MOs1,656,right,all,13350,3807.67,442.605,13350,3807.67,442.605
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,42757,4505.13,530.501,42757,4505.13,530.501
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,30893,4677.27,511.516,30893,4677.27,511.516
Secondary motor area/ layer 5,MOs5,767,left,all,56887,6649.24,619.12,56887,6649.24,619.12
Secondary motor area/ layer 5,MOs5,767,right,all,42494,6205.93,594.511,42494,6205.93,594.511
Secondary motor area/ layer 6a,MOs6a,1021,left,all,26574,4436.11,563.901,26574,4436.11,563.901
Secondary motor area/ layer 6a,MOs6a,1021,right,all,23449,4414.03,554.527,23449,4414.03,554.527
Secondary motor area/ layer 6b,MOs6b,1085,left,all,574,2586.08,527.24,574,2586.08,527.24
Secondary motor area/ layer 6b,MOs6b,1085,right,all,511,3041.84,513.994,511,3041.84,513.994
Somatosensory areas,SS,453,left,all,394306,4652.35,566.8,394306,4652.35,566.8
Somatosensory areas,SS,453,right,all,293619,4609.52,527.533,293619,4609.52,527.533
Primary somatosensory area,SSp,322,left,all,272314,4851.2,578.798,272314,4851.2,578.798
Primary somatosensory area,SSp,322,right,all,196055,4698.49,535.481,196055,4698.49,535.481
Primary somatosensory area/ nose,SSp-n,353,left,all,35858,4804.16,544.522,35858,4804.16,544.522
Primary somatosensory area/ nose,SSp-n,353,right,all,28897,4073.38,481.78,28897,4073.38,481.78
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,5236,3323.63,442.256,5236,3323.63,442.256
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,3868,2939.5,407.557,3868,2939.5,407.557
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,8405,4486.08,542.909,8405,4486.08,542.909
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,7474,3292.26,455.252,7474,3292.26,455.252
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,5953,9063.78,654.764,5953,9063.78,654.764
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,5286,4663.11,508.375,5286,4663.11,508.375
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,7304,4706.4,564.94,7304,4706.4,564.94
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,4585,6385.1,561.894,4585,6385.1,561.894
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,8380,3278.67,514.546,8380,3278.67,514.546
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,7440,3664.74,481.012,7440,3664.74,481.012
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,580,2331.16,535.566,580,2331.16,535.566
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,244,2220.16,412.828,244,2220.16,412.828
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,65001,4762.37,579.049,65001,4762.37,579.049
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,45526,4474.3,546.014,45526,4474.3,546.014
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,4294,3164.47,443.56,4294,3164.47,443.56
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,673,3284.15,436.306,673,3284.15,436.306
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,14138,3627.57,518.458,14138,3627.57,518.458
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,4219,3348.01,481.132,4219,3348.01,481.132
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,15835,5661.07,612.956,15835,5661.07,612.956
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,9389,3612.83,518.69,9389,3612.83,518.69
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,15338,5956.72,640.483,15338,5956.72,640.483
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,13480,5110.57,567.248,13480,5110.57,567.248
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,14003,4227.06,580.176,14003,4227.06,580.176
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,15992,4807.93,565.663,15992,4807.93,565.663
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,1393,3219.66,538.449,1393,3219.66,538.449
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1773,4321.25,548.082,1773,4321.25,548.082
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,18897,4584.52,555.099,18897,4584.52,555.099
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,13049,4748.6,531.934,13049,4748.6,531.934
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,377,2971.61,464.915,377,2971.61,464.915
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,1726,2801.57,464.367,1726,2801.57,464.367
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,168,2498.87,440.125,168,2498.87,440.125
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,7873,3936.39,530.115,7873,3936.39,530.115
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,3648,3033.7,454.621,3648,3033.7,454.621
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,8255,5606.56,598.7,8255,5606.56,598.7
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,8440,5448.57,561.141,8440,5448.57,561.141
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,666,5112.06,596.219,666,5112.06,596.219
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,793,5664.37,596.19,793,5664.37,596.19
Primary somatosensory area/ mouth,SSp-m,345,left,all,89171,5304.99,613.364,89171,5304.99,613.364
Primary somatosensory area/ mouth,SSp-m,345,right,all,65843,5095.72,556.391,65843,5095.72,556.391
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,10257,3844.13,494.03,10257,3844.13,494.03
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,9136,3474.75,470.61,9136,3474.75,470.61
