Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,59862,212.444,648.731,59862,212.444,648.731
Outside,,0,right,all,105789,188.691,583.226,105789,188.691,583.226
root,root,997,left,all,3369977,188.509,826.202,3369977,188.509,826.202
root,root,997,right,all,2826962,173.226,743.583,2826962,173.226,743.583
Basic cell groups and regions,grey,8,left,all,3100210,190.625,832.78,3100210,190.625,832.78
Basic cell groups and regions,grey,8,right,all,2596255,174.875,748.833,2596255,174.875,748.833
Cerebrum,CH,567,left,all,2030350,192.651,801.004,2030350,192.651,801.004
Cerebrum,CH,567,right,all,1640949,174.45,700.225,1640949,174.45,700.225
Cerebral cortex,CTX,688,left,all,1753830,199.311,808.329,1753830,199.311,808.329
Cerebral cortex,CTX,688,right,all,1411621,180.06,705.423,1411621,180.06,705.423
Cortical plate,CTXpl,695,left,all,1688528,200.281,811.205,1688528,200.281,811.205
Cortical plate,CTXpl,695,right,all,1355878,180.914,708.727,1355878,180.914,708.727
Isocortex,Isocortex,315,left,all,1127519,200.758,808.026,1127519,200.758,808.026
Isocortex,Isocortex,315,right,all,879703,179.812,704.785,879703,179.812,704.785
Frontal pole/ cerebral cortex,FRP,184,left,all,9995,218.138,776.372,9995,218.138,776.372
Frontal pole/ cerebral cortex,FRP,184,right,all,7737,209.233,732.1,7737,209.233,732.1
Frontal pole/ layer 1,FRP1,68,left,all,1770,178.163,571.76,1770,178.163,571.76
Frontal pole/ layer 1,FRP1,68,right,all,1087,169.387,534.798,1087,169.387,534.798
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1986,198.975,706.246,1986,198.975,706.246
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2195,190.147,663.816,2195,190.147,663.816
Frontal pole/ layer 5,FRP5,526157192,left,all,4584,240.278,855.211,4584,240.278,855.211
