Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,26135,4627.55,566.631,26135,4627.55,566.631
Outside,,0,right,all,38131,4452.45,551.556,38131,4452.45,551.556
root,root,997,left,all,2148700,4661.75,684.741,2148700,4661.75,684.741
root,root,997,right,all,1891579,4642.12,656.434,1891579,4642.12,656.434
Basic cell groups and regions,grey,8,left,all,2003040,4673.28,685.557,2003040,4673.28,685.557
Basic cell groups and regions,grey,8,right,all,1760114,4669.43,657.755,1760114,4669.43,657.755
Cerebrum,CH,567,left,all,1238644,4153.85,635.861,1238644,4153.85,635.861
Cerebrum,CH,567,right,all,1097168,4276.38,606.751,1097168,4276.38,606.751
Cerebral cortex,CTX,688,left,all,1058016,4372.44,630.238,1058016,4372.44,630.238
Cerebral cortex,CTX,688,right,all,922644,4525.35,598.596,922644,4525.35,598.596
Cortical plate,CTXpl,695,left,all,1022819,4417.3,632.524,1022819,4417.3,632.524
Cortical plate,CTXpl,695,right,all,889530,4566.64,599.909,889530,4566.64,599.909
Isocortex,Isocortex,315,left,all,637456,4266.53,619.198,637456,4266.53,619.198
Isocortex,Isocortex,315,right,all,527474,4270.49,581.314,527474,4270.49,581.314
Frontal pole/ cerebral cortex,FRP,184,left,all,5800,4050.69,594.093,5800,4050.69,594.093
Frontal pole/ cerebral cortex,FRP,184,right,all,4219,3711.36,558.395,4219,3711.36,558.395
Frontal pole/ layer 1,FRP1,68,left,all,459,3578.18,536.741,459,3578.18,536.741
Frontal pole/ layer 1,FRP1,68,right,all,425,4045.87,550.228,425,4045.87,550.228
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1705,3985.05,594.294,1705,3985.05,594.294
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1354,3482.55,559.038,1354,3482.55,559.038
Frontal pole/ layer 5,FRP5,526157192,left,all,2863,4422.74,608.034,2863,4422.74,608.034
Frontal pole/ layer 5,FRP5,526157192,right,all,2015,4024.19,570.643,2015,4024.19,570.643
Frontal pole/ layer 6a,FRP6a,526157196,left,all,772,3099.4,576.149,772,3099.4,576.149
Frontal pole/ layer 6a,FRP6a,526157196,right,all,423,2620.48,506.322,423,2620.48,506.322
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,2093.71,513,1,2093.71,513
Frontal pole/ layer 6b,FRP6b,526322264,right,all,2,3081.24,533,2,3081.24,533
Somatomotor areas,MO,500,left,all,125174,4604.65,593.362,125174,4604.65,593.362
Somatomotor areas,MO,500,right,all,90900,4074.27,549.984,90900,4074.27,549.984
Primary motor area,MOp,985,left,all,64152,5009.63,606.85,64152,5009.63,606.85
Primary motor area,MOp,985,right,all,45118,4258.81,561.56,45118,4258.81,561.56
Primary motor area/ Layer 1,MOp1,320,left,all,1967,3137.75,519.031,1967,3137.75,519.031
Primary motor area/ Layer 1,MOp1,320,right,all,2663,3061.8,468.05,2663,3061.8,468.05
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,16792,3885.5,548.201,16792,3885.5,548.201
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,11607,3729.8,515.384,11607,3729.8,515.384
