Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,80488,299.543,905.971,80488,299.543,905.971
Outside,,0,right,all,115224,288.82,914.058,115224,288.82,914.058
root,root,997,left,all,3066423,316.426,1282.51,3066423,316.426,1282.51
root,root,997,right,all,2637651,290.527,1176.55,2637651,290.527,1176.55
Basic cell groups and regions,grey,8,left,all,2810400,318.592,1288.07,2810400,318.592,1288.07
Basic cell groups and regions,grey,8,right,all,2416996,292.638,1181.15,2416996,292.638,1181.15
Cerebrum,CH,567,left,all,1860933,320.383,1198.56,1860933,320.383,1198.56
Cerebrum,CH,567,right,all,1606955,294.561,1084.27,1606955,294.561,1084.27
Cerebral cortex,CTX,688,left,all,1588998,332.39,1186.41,1588998,332.39,1186.41
Cerebral cortex,CTX,688,right,all,1400973,303.476,1077.5,1400973,303.476,1077.5
Cortical plate,CTXpl,695,left,all,1517313,332.148,1186.34,1517313,332.148,1186.34
Cortical plate,CTXpl,695,right,all,1346842,303.93,1077.42,1346842,303.93,1077.42
Isocortex,Isocortex,315,left,all,896074,328.372,1161.97,896074,328.372,1161.97
Isocortex,Isocortex,315,right,all,859605,303.687,1060.18,859605,303.687,1060.18
Frontal pole/ cerebral cortex,FRP,184,left,all,8934,295.758,985.883,8934,295.758,985.883
Frontal pole/ cerebral cortex,FRP,184,right,all,8732,298.512,918.508,8732,298.512,918.508
Frontal pole/ layer 1,FRP1,68,left,all,1747,280.951,903.748,1747,280.951,903.748
Frontal pole/ layer 1,FRP1,68,right,all,1843,304.686,901.68,1843,304.686,901.68
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2705,281.453,994.439,2705,281.453,994.439
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2522,267.779,866.118,2522,267.779,866.118
Frontal pole/ layer 5,FRP5,526157192,left,all,3640,320.155,1025.04,3640,320.155,1025.04
Frontal pole/ layer 5,FRP5,526157192,right,all,3592,323.639,960.587,3592,323.639,960.587
Frontal pole/ layer 6a,FRP6a,526157196,left,all,841,267.072,959.62,841,267.072,959.62
Frontal pole/ layer 6a,FRP6a,526157196,right,all,775,267.377,933.977,775,267.377,933.977
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,174.68,890,1,174.68,890
Frontal pole/ layer 6b,FRP6b,526322264,right,all,0,0,0,0,0,0
Somatomotor areas,MO,500,left,all,178398,342.634,1168.81,178398,342.634,1168.81
Somatomotor areas,MO,500,right,all,179622,333.274,1082.05,179622,333.274,1082.05
Primary motor area,MOp,985,left,all,88909,354.914,1224.18,88909,354.914,1224.18
Primary motor area,MOp,985,right,all,81597,337.502,1128.97,81597,337.502,1128.97
Primary motor area/ Layer 1,MOp1,320,left,all,4324,306.788,1024.66,4324,306.788,1024.66
Primary motor area/ Layer 1,MOp1,320,right,all,6618,298.972,958.281,6618,298.972,958.281
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,30679,344.881,1187.45,30679,344.881,1187.45
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,29771,338.218,1113.38,29771,338.218,1113.38
Primary motor area/ Layer 5,MOp5,648,left,all,31117,412.038,1342.49,31117,412.038,1342.49
Primary motor area/ Layer 5,MOp5,648,right,all,26145,388.278,1237.48,26145,388.278,1237.48
Primary motor area/ Layer 6a,MOp6a,844,left,all,22010,302.251,1150.49,22010,302.251,1150.49
Primary motor area/ Layer 6a,MOp6a,844,right,all,18211,282.89,1061.74,18211,282.89,1061.74
Primary motor area/ Layer 6b,MOp6b,882,left,all,779,223.304,1134.26,779,223.304,1134.26
Primary motor area/ Layer 6b,MOp6b,882,right,all,852,220.971,1106.72,852,220.971,1106.72
Secondary motor area,MOs,993,left,all,89489,330.435,1113.81,89489,330.435,1113.81
Secondary motor area,MOs,993,right,all,98025,329.754,1043,98025,329.754,1043
Secondary motor area/ layer 1,MOs1,656,left,all,7136,289.088,955.914,7136,289.088,955.914
Secondary motor area/ layer 1,MOs1,656,right,all,12951,288.086,881.198,12951,288.086,881.198
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,26068,299.894,1022.47,26068,299.894,1022.47
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,31182,317.804,971.515,31182,317.804,971.515
Secondary motor area/ layer 5,MOs5,767,left,all,35965,378.526,1211.41,35965,378.526,1211.41
Secondary motor area/ layer 5,MOs5,767,right,all,37408,376.207,1163.11,37408,376.207,1163.11
Secondary motor area/ layer 6a,MOs6a,1021,left,all,20087,299.697,1114.41,20087,299.697,1114.41
Secondary motor area/ layer 6a,MOs6a,1021,right,all,16293,280.449,1033.43,16293,280.449,1033.43
Secondary motor area/ layer 6b,MOs6b,1085,left,all,233,240.296,1051.05,233,240.296,1051.05
Secondary motor area/ layer 6b,MOs6b,1085,right,all,191,213.678,976.152,191,213.678,976.152
Somatosensory areas,SS,453,left,all,277774,335.031,1248.09,277774,335.031,1248.09
Somatosensory areas,SS,453,right,all,241695,299.245,1080.12,241695,299.245,1080.12
Primary somatosensory area,SSp,322,left,all,184352,334.94,1266.47,184352,334.94,1266.47
Primary somatosensory area,SSp,322,right,all,164840,307.067,1100.97,164840,307.067,1100.97
Primary somatosensory area/ nose,SSp-n,353,left,all,27855,324.226,1253.63,27855,324.226,1253.63
Primary somatosensory area/ nose,SSp-n,353,right,all,20138,282.071,1034.42,20138,282.071,1034.42
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,3282,308.702,1000.49,3282,308.702,1000.49
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,2912,268.098,929.849,2912,268.098,929.849
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,7265,295.914,1207.78,7265,295.914,1207.78
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,4182,261.917,1036.72,4182,261.917,1036.72
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,5252,368.887,1411.88,5252,368.887,1411.88
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,3257,319.833,1144.18,3257,319.833,1144.18
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,6041,402.124,1441.05,6041,402.124,1441.05
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,3920,346.171,1158.63,3920,346.171,1158.63
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,5858,250.577,1119.86,5858,250.577,1119.86
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,5718,239.812,942.149,5718,239.812,942.149
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,157,215.565,1151.97,157,215.565,1151.97
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,149,230.753,887.839,149,230.753,887.839
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,41431,318.143,1167.03,41431,318.143,1167.03
