Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,48621,4290.06,778.519,48621,4290.06,778.519
Outside,,0,right,all,61785,4176.36,727.331,61785,4176.36,727.331
root,root,997,left,all,2741147,5228.55,1040.36,2741147,5228.55,1040.36
root,root,997,right,all,2171100,4728.21,931.291,2171100,4728.21,931.291
Basic cell groups and regions,grey,8,left,all,2584013,5263.27,1045.53,2584013,5263.27,1045.53
Basic cell groups and regions,grey,8,right,all,2031908,4749.23,935.03,2031908,4749.23,935.03
Cerebrum,CH,567,left,all,1867035,5332.77,1031.92,1867035,5332.77,1031.92
Cerebrum,CH,567,right,all,1375912,4624.89,893.519,1375912,4624.89,893.519
Cerebral cortex,CTX,688,left,all,1599523,5614.79,1033.95,1599523,5614.79,1033.95
Cerebral cortex,CTX,688,right,all,1189131,4791.3,891.113,1189131,4791.3,891.113
Cortical plate,CTXpl,695,left,all,1539577,5637.6,1036.74,1539577,5637.6,1036.74
Cortical plate,CTXpl,695,right,all,1143677,4821.31,894.786,1143677,4821.31,894.786
Isocortex,Isocortex,315,left,all,1033374,5653.93,1031.08,1033374,5653.93,1031.08
Isocortex,Isocortex,315,right,all,750644,4709.31,880.947,750644,4709.31,880.947
Frontal pole/ cerebral cortex,FRP,184,left,all,7919,5656,983.476,7919,5656,983.476
Frontal pole/ cerebral cortex,FRP,184,right,all,7506,4903.55,871.888,7506,4903.55,871.888
Frontal pole/ layer 1,FRP1,68,left,all,1177,4893.15,852.929,1177,4893.15,852.929
Frontal pole/ layer 1,FRP1,68,right,all,1602,5203.74,875.149,1602,5203.74,875.149
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2362,5622.41,1004.17,2362,5622.41,1004.17
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1939,4340.77,854.108,1939,4340.77,854.108
Frontal pole/ layer 5,FRP5,526157192,left,all,3345,6404.46,1050.08,3345,6404.46,1050.08
Frontal pole/ layer 5,FRP5,526157192,right,all,3023,5462.04,911.466,3023,5462.04,911.466
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1025,4190.82,870.389,1025,4190.82,870.389
Frontal pole/ layer 6a,FRP6a,526157196,right,all,939,3753.68,776.097,939,3753.68,776.097
Frontal pole/ layer 6b,FRP6b,526322264,left,all,10,3198.05,773.4,10,3198.05,773.4
Frontal pole/ layer 6b,FRP6b,526322264,right,all,3,5479,723.667,3,5479,723.667
Somatomotor areas,MO,500,left,all,194566,5481.81,992.996,194566,5481.81,992.996
Somatomotor areas,MO,500,right,all,153989,4832.46,869.447,153989,4832.46,869.447
Primary motor area,MOp,985,left,all,95739,5716.68,1030.9,95739,5716.68,1030.9
Primary motor area,MOp,985,right,all,70802,4987.8,884.235,70802,4987.8,884.235
Primary motor area/ Layer 1,MOp1,320,left,all,5497,4475.11,940.288,5497,4475.11,940.288
Primary motor area/ Layer 1,MOp1,320,right,all,4774,4118.46,751.323,4774,4118.46,751.323
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,34670,5254.74,990.349,34670,5254.74,990.349
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,24650,4475.7,838.822,24650,4475.7,838.822
Primary motor area/ Layer 5,MOp5,648,left,all,32286,7108.81,1136.92,32286,7108.81,1136.92
Primary motor area/ Layer 5,MOp5,648,right,all,23077,6106.26,976.545,23077,6106.26,976.545
Primary motor area/ Layer 6a,MOp6a,844,left,all,22968,4788.68,967.131,22968,4788.68,967.131
Primary motor area/ Layer 6a,MOp6a,844,right,all,18012,4513.16,864.964,18012,4513.16,864.964
Primary motor area/ Layer 6b,MOp6b,882,left,all,318,3225.36,860.132,318,3225.36,860.132
Primary motor area/ Layer 6b,MOp6b,882,right,all,289,3300.28,783.256,289,3300.28,783.256
Secondary motor area,MOs,993,left,all,98827,5254.29,956.274,98827,5254.29,956.274
Secondary motor area,MOs,993,right,all,83187,4700.25,856.862,83187,4700.25,856.862
Secondary motor area/ layer 1,MOs1,656,left,all,6501,4085.28,811.727,6501,4085.28,811.727
Secondary motor area/ layer 1,MOs1,656,right,all,5675,4238.76,774.034,5675,4238.76,774.034
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,29138,5040.77,935.693,29138,5040.77,935.693
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,24765,4274.74,817.222,24765,4274.74,817.222
Secondary motor area/ layer 5,MOs5,767,left,all,41338,6063.48,1018.31,41338,6063.48,1018.31
Secondary motor area/ layer 5,MOs5,767,right,all,34536,5379.43,914.837,34536,5379.43,914.837
