Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,154217,241.282,834.221,154217,241.282,834.221
Outside,,0,right,all,130852,255.627,907.576,130852,255.627,907.576
root,root,997,left,all,3632268,200.891,1088.55,3632268,200.891,1088.55
root,root,997,right,all,2800700,183.364,998.471,2800700,183.364,998.471
Basic cell groups and regions,grey,8,left,all,3315420,202.083,1095.45,3315420,202.083,1095.45
Basic cell groups and regions,grey,8,right,all,2532445,184.364,1006.72,2532445,184.364,1006.72
Cerebrum,CH,567,left,all,2151869,203.348,1027.34,2151869,203.348,1027.34
Cerebrum,CH,567,right,all,1520067,186.187,924.363,1520067,186.187,924.363
Cerebral cortex,CTX,688,left,all,1853082,210.56,1030.02,1853082,210.56,1030.02
Cerebral cortex,CTX,688,right,all,1299041,192.52,928.61,1299041,192.52,928.61
Cortical plate,CTXpl,695,left,all,1763026,211.007,1031.43,1763026,211.007,1031.43
Cortical plate,CTXpl,695,right,all,1233793,192.568,929.633,1233793,192.568,929.633
Isocortex,Isocortex,315,left,all,1087226,206.579,1030.38,1087226,206.579,1030.38
Isocortex,Isocortex,315,right,all,723906,185.065,912.911,723906,185.065,912.911
Frontal pole/ cerebral cortex,FRP,184,left,all,8916,176.87,870.202,8916,176.87,870.202
Frontal pole/ cerebral cortex,FRP,184,right,all,6927,179.302,832.252,6927,179.302,832.252
Frontal pole/ layer 1,FRP1,68,left,all,1757,183.819,813.373,1757,183.819,813.373
Frontal pole/ layer 1,FRP1,68,right,all,1584,183.7,778.998,1584,183.7,778.998
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2517,164.748,847.511,2517,164.748,847.511
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1770,160.654,793.549,1770,160.654,793.549
Frontal pole/ layer 5,FRP5,526157192,left,all,3873,185.947,922.63,3873,185.947,922.63
Frontal pole/ layer 5,FRP5,526157192,right,all,2979,196.639,902.487,2979,196.639,902.487
Frontal pole/ layer 6a,FRP6a,526157196,left,all,766,154.688,810.221,766,154.688,810.221
Frontal pole/ layer 6a,FRP6a,526157196,right,all,590,135.208,735.863,590,135.208,735.863
Frontal pole/ layer 6b,FRP6b,526322264,left,all,3,222.92,822.667,3,222.92,822.667
Frontal pole/ layer 6b,FRP6b,526322264,right,all,4,281.487,957.5,4,281.487,957.5
Somatomotor areas,MO,500,left,all,224719,221.825,1041.55,224719,221.825,1041.55
Somatomotor areas,MO,500,right,all,153150,184.419,937.425,153150,184.419,937.425
Primary motor area,MOp,985,left,all,114876,231.017,1101.07,114876,231.017,1101.07
Primary motor area,MOp,985,right,all,68357,183.204,961.924,68357,183.204,961.924
Primary motor area/ Layer 1,MOp1,320,left,all,6171,203.295,912.383,6171,203.295,912.383
Primary motor area/ Layer 1,MOp1,320,right,all,6423,181.423,897.501,6423,181.423,897.501
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,42559,226.525,1075.18,42559,226.525,1075.18
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,21487,173.672,940.765,21487,173.672,940.765
Primary motor area/ Layer 5,MOp5,648,left,all,41333,271.265,1213.15,41333,271.265,1213.15
Primary motor area/ Layer 5,MOp5,648,right,all,22078,206.453,1046.49,22078,206.453,1046.49
Primary motor area/ Layer 6a,MOp6a,844,left,all,23557,180.459,1003.15,23557,180.459,1003.15
