Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 488.000000nm Em: 525.000000nm,count,strength,channel Ex: 488.000000nm Em: 525.000000nm
Outside,,0,left,all,189783,383.484,1716.66,189783,383.484,1716.66
Outside,,0,right,all,155401,396.658,1629.46,155401,396.658,1629.46
root,root,997,left,all,2056644,265.792,1463.61,2056644,265.792,1463.61
root,root,997,right,all,1903940,298.395,1422.31,1903940,298.395,1422.31
Basic cell groups and regions,grey,8,left,all,1758053,273.722,1495.71,1758053,273.722,1495.71
Basic cell groups and regions,grey,8,right,all,1603701,312.594,1464.54,1603701,312.594,1464.54
Cerebrum,CH,567,left,all,816147,329.773,1561.21,816147,329.773,1561.21
Cerebrum,CH,567,right,all,789998,401.353,1624.05,789998,401.353,1624.05
Cerebral cortex,CTX,688,left,all,651987,363.125,1635.67,651987,363.125,1635.67
Cerebral cortex,CTX,688,right,all,633617,454.265,1749.23,633617,454.265,1749.23
Cortical plate,CTXpl,695,left,all,638560,366.514,1649.28,638560,366.514,1649.28
Cortical plate,CTXpl,695,right,all,618446,460.64,1771.31,618446,460.64,1771.31
Isocortex,Isocortex,315,left,all,386786,422.466,1819.57,386786,422.466,1819.57
Isocortex,Isocortex,315,right,all,371878,565.197,2038.52,371878,565.197,2038.52
Frontal pole/ cerebral cortex,FRP,184,left,all,3338,358.352,1436.26,3338,358.352,1436.26
Frontal pole/ cerebral cortex,FRP,184,right,all,3342,452.232,1611.28,3342,452.232,1611.28
Frontal pole/ layer 1,FRP1,68,left,all,2084,458.377,1660.54,2084,458.377,1660.54
Frontal pole/ layer 1,FRP1,68,right,all,2454,552.54,1861.09,2454,552.54,1861.09
Frontal pole/ layer 2/3,FRP2/3,667,left,all,423,186.748,1155.81,423,186.748,1155.81
Frontal pole/ layer 2/3,FRP2/3,667,right,all,368,166.896,994.785,368,166.896,994.785
Frontal pole/ layer 5,FRP5,526157192,left,all,747,197.146,1027.9,747,197.146,1027.9
Frontal pole/ layer 5,FRP5,526157192,right,all,439,179.54,872.599,439,179.54,872.599
Frontal pole/ layer 6a,FRP6a,526157196,left,all,84,174.488,915.798,84,174.488,915.798
Frontal pole/ layer 6a,FRP6a,526157196,right,all,81,187.536,847.173,81,187.536,847.173
Frontal pole/ layer 6b,FRP6b,526322264,left,all,0,0,0,0,0,0
Frontal pole/ layer 6b,FRP6b,526322264,right,all,0,0,0,0,0,0
Somatomotor areas,MO,500,left,all,68196,487.487,2012.12,68196,487.487,2012.12
Somatomotor areas,MO,500,right,all,82436,585.918,2174.81,82436,585.918,2174.81
Primary motor area,MOp,985,left,all,34035,430.074,1847.74,34035,430.074,1847.74
Primary motor area,MOp,985,right,all,42103,561.976,2080.82,42103,561.976,2080.82
Primary motor area/ Layer 1,MOp1,320,left,all,10807,906.639,3190.13,10807,906.639,3190.13
Primary motor area/ Layer 1,MOp1,320,right,all,13640,1301.61,3976.55,13640,1301.61,3976.55
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,8365,211.862,1292.38,8365,211.862,1292.38
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,10905,203.665,1228.79,10905,203.665,1228.79
Primary motor area/ Layer 5,MOp5,648,left,all,9272,214.72,1225.97,9272,214.72,1225.97
Primary motor area/ Layer 5,MOp5,648,right,all,11635,212.737,1171.55,11635,212.737,1171.55
Primary motor area/ Layer 6a,MOp6a,844,left,all,4872,196.069,1107.76,4872,196.069,1107.76
Primary motor area/ Layer 6a,MOp6a,844,right,all,5600,205.878,1075.41,5600,205.878,1075.41
Primary motor area/ Layer 6b,MOp6b,882,left,all,719,168.505,1164.32,719,168.505,1164.32
Primary motor area/ Layer 6b,MOp6b,882,right,all,323,178.973,975.963,323,178.973,975.963
Secondary motor area,MOs,993,left,all,34161,544.689,2175.9,34161,544.689,2175.9
Secondary motor area,MOs,993,right,all,40333,610.911,2272.93,40333,610.911,2272.93
Secondary motor area/ layer 1,MOs1,656,left,all,18272,853.622,3126.83,18272,853.622,3126.83
Secondary motor area/ layer 1,MOs1,656,right,all,21013,997.29,3386.91,21013,997.29,3386.91
