Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,184923,246.462,743.87,184923,246.462,743.87
Outside,,0,right,all,161636,219.227,689.06,161636,219.227,689.06
root,root,997,left,all,2860158,223.825,880.026,2860158,223.825,880.026
root,root,997,right,all,2184025,204.318,802.814,2184025,204.318,802.814
Basic cell groups and regions,grey,8,left,all,2654541,226.335,887.112,2654541,226.335,887.112
Basic cell groups and regions,grey,8,right,all,2018239,206.124,809.124,2018239,206.124,809.124
Cerebrum,CH,567,left,all,1782493,229.124,842.092,1782493,229.124,842.092
Cerebrum,CH,567,right,all,1291470,205.105,743.441,1291470,205.105,743.441
Cerebral cortex,CTX,688,left,all,1602761,234.659,849.67,1602761,234.659,849.67
Cerebral cortex,CTX,688,right,all,1163183,209.192,747.11,1163183,209.192,747.11
Cortical plate,CTXpl,695,left,all,1540084,235.245,850.438,1540084,235.245,850.438
Cortical plate,CTXpl,695,right,all,1123065,209.558,748.648,1123065,209.558,748.648
Isocortex,Isocortex,315,left,all,999462,230.813,836.339,999462,230.813,836.339
Isocortex,Isocortex,315,right,all,746253,206.565,748.629,746253,206.565,748.629
Frontal pole/ cerebral cortex,FRP,184,left,all,7476,213.22,718.81,7476,213.22,718.81
Frontal pole/ cerebral cortex,FRP,184,right,all,7312,203.886,659.316,7312,203.886,659.316
Frontal pole/ layer 1,FRP1,68,left,all,1134,176.62,534.197,1134,176.62,534.197
Frontal pole/ layer 1,FRP1,68,right,all,2152,209.917,613.013,2152,209.917,613.013
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2251,213.973,712.498,2251,213.973,712.498
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2057,199.801,655.527,2057,199.801,655.527
Frontal pole/ layer 5,FRP5,526157192,left,all,3397,233.148,801.397,3397,233.148,801.397
Frontal pole/ layer 5,FRP5,526157192,right,all,2586,209.125,711.705,2586,209.125,711.705
Frontal pole/ layer 6a,FRP6a,526157196,left,all,693,173.092,636.843,693,173.092,636.843
Frontal pole/ layer 6a,FRP6a,526157196,right,all,516,168.878,605.12,516,168.878,605.12
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,138.522,533,1,138.522,533
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,145.301,583,1,145.301,583
Somatomotor areas,MO,500,left,all,198674,233.448,800.025,198674,233.448,800.025
Somatomotor areas,MO,500,right,all,156248,210.056,747.169,156248,210.056,747.169
Primary motor area,MOp,985,left,all,96879,244.644,846.749,96879,244.644,846.749
Primary motor area,MOp,985,right,all,68953,213.815,777.885,68953,213.815,777.885
