Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,189937,286.686,868.834,189937,286.686,868.834
Outside,,0,right,all,204456,262.958,813.759,204456,262.958,813.759
root,root,997,left,all,3549364,292.712,1158.89,3549364,292.712,1158.89
root,root,997,right,all,3074654,259.621,1018.83,3074654,259.621,1018.83
Basic cell groups and regions,grey,8,left,all,3300087,295.657,1164.64,3300087,295.657,1164.64
Basic cell groups and regions,grey,8,right,all,2869081,261.278,1025.35,2869081,261.278,1025.35
Cerebrum,CH,567,left,all,2323573,295.839,1116.22,2323573,295.839,1116.22
Cerebrum,CH,567,right,all,1986566,259.847,964.401,1986566,259.847,964.401
Cerebral cortex,CTX,688,left,all,1936925,309.89,1103.97,1936925,309.89,1103.97
Cerebral cortex,CTX,688,right,all,1674472,271.247,954.486,1674472,271.247,954.486
Cortical plate,CTXpl,695,left,all,1860582,311.199,1109.01,1860582,311.199,1109.01
Cortical plate,CTXpl,695,right,all,1612440,272.228,958.921,1612440,272.228,958.921
Isocortex,Isocortex,315,left,all,1250697,309.675,1091.15,1250697,309.675,1091.15
Isocortex,Isocortex,315,right,all,1027333,269.998,945.85,1027333,269.998,945.85
Frontal pole/ cerebral cortex,FRP,184,left,all,9819,348.697,1111.86,9819,348.697,1111.86
Frontal pole/ cerebral cortex,FRP,184,right,all,8836,298.95,960.844,8836,298.95,960.844
Frontal pole/ layer 1,FRP1,68,left,all,1375,278.889,921.813,1375,278.889,921.813
Frontal pole/ layer 1,FRP1,68,right,all,1259,236.78,778.182,1259,236.78,778.182
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2817,365.319,1131.92,2817,365.319,1131.92
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2714,299.288,966.748,2714,299.288,966.748
Frontal pole/ layer 5,FRP5,526157192,left,all,4259,396.373,1210.61,4259,396.373,1210.61
Frontal pole/ layer 5,FRP5,526157192,right,all,3867,336.285,1040.49,3867,336.285,1040.49
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1367,236.211,954.241,1367,236.211,954.241
Frontal pole/ layer 6a,FRP6a,526157196,right,all,991,231.838,866.088,991,231.838,866.088
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,226.45,809,1,226.45,809
Frontal pole/ layer 6b,FRP6b,526322264,right,all,5,196.484,934.6,5,196.484,934.6
Somatomotor areas,MO,500,left,all,248053,317.46,1077.36,248053,317.46,1077.36
Somatomotor areas,MO,500,right,all,206652,286.517,949.981,206652,286.517,949.981
Primary motor area,MOp,985,left,all,116943,304.408,1089.95,116943,304.408,1089.95
Primary motor area,MOp,985,right,all,94124,292.836,952.124,94124,292.836,952.124
Primary motor area/ Layer 1,MOp1,320,left,all,8737,254.269,938.405,8737,254.269,938.405
Primary motor area/ Layer 1,MOp1,320,right,all,9410,235.18,811.499,9410,235.18,811.499
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,44657,287.722,1071.65,44657,287.722,1071.65
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,35866,275.556,923.717,35866,275.556,923.717
Primary motor area/ Layer 5,MOp5,648,left,all,37834,377.714,1210.4,37834,377.714,1210.4
Primary motor area/ Layer 5,MOp5,648,right,all,25624,377.108,1109.02,25624,377.108,1109.02
Primary motor area/ Layer 6a,MOp6a,844,left,all,24540,245.65,994.065,24540,245.65,994.065
Primary motor area/ Layer 6a,MOp6a,844,right,all,22452,249.653,880.941,22452,249.653,880.941
Primary motor area/ Layer 6b,MOp6b,882,left,all,1175,178.18,1036.52,1175,178.18,1036.52
Primary motor area/ Layer 6b,MOp6b,882,right,all,772,257.124,848.484,772,257.124,848.484
Secondary motor area,MOs,993,left,all,131110,329.102,1066.14,131110,329.102,1066.14
Secondary motor area,MOs,993,right,all,112528,281.232,948.187,112528,281.232,948.187
Secondary motor area/ layer 1,MOs1,656,left,all,13514,246.472,857.894,13514,246.472,857.894
Secondary motor area/ layer 1,MOs1,656,right,all,12631,242.86,840.013,12631,242.86,840.013
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,45214,313.704,1038.77,45214,313.704,1038.77
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,40043,260.954,917.244,40043,260.954,917.244
Secondary motor area/ layer 5,MOs5,767,left,all,49635,403.784,1191.3,49635,403.784,1191.3
Secondary motor area/ layer 5,MOs5,767,right,all,39602,336.46,1046.61,39602,336.46,1046.61
Secondary motor area/ layer 6a,MOs6a,1021,left,all,22612,246.307,971.811,22612,246.307,971.811
Secondary motor area/ layer 6a,MOs6a,1021,right,all,20051,237.592,885.304,20051,237.592,885.304
Secondary motor area/ layer 6b,MOs6b,1085,left,all,135,167.479,857.252,135,167.479,857.252
