Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,100703,127.806,413.421,100703,127.806,413.421
Outside,,0,right,all,156827,121.926,394.563,156827,121.926,394.563
root,root,997,left,all,3350963,118.77,491.074,3350963,118.77,491.074
root,root,997,right,all,2756320,109.53,452.548,2756320,109.53,452.548
Basic cell groups and regions,grey,8,left,all,3124792,119.766,492.261,3124792,119.766,492.261
Basic cell groups and regions,grey,8,right,all,2568548,109.917,452.776,2568548,109.917,452.776
Cerebrum,CH,567,left,all,2212477,119.749,470.868,2212477,119.749,470.868
Cerebrum,CH,567,right,all,1766228,109.608,426.058,1766228,109.608,426.058
Cerebral cortex,CTX,688,left,all,1972406,123.619,471.849,1972406,123.619,471.849
Cerebral cortex,CTX,688,right,all,1585970,112.554,426.61,1585970,112.554,426.61
Cortical plate,CTXpl,695,left,all,1899853,123.933,472.037,1899853,123.933,472.037
Cortical plate,CTXpl,695,right,all,1541961,112.77,427.04,1541961,112.77,427.04
Isocortex,Isocortex,315,left,all,1283802,121.988,465.787,1283802,121.988,465.787
Isocortex,Isocortex,315,right,all,1017505,110.029,416.774,1017505,110.029,416.774
Frontal pole/ cerebral cortex,FRP,184,left,all,9110,109.383,422.983,9110,109.383,422.983
Frontal pole/ cerebral cortex,FRP,184,right,all,8764,101.905,369.176,8764,101.905,369.176
Frontal pole/ layer 1,FRP1,68,left,all,1447,109.035,353.014,1447,109.035,353.014
Frontal pole/ layer 1,FRP1,68,right,all,1703,106.634,331.765,1703,106.634,331.765
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2451,104.335,403.335,2451,104.335,403.335
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2714,102.853,367.45,2714,102.853,367.45
Frontal pole/ layer 5,FRP5,526157192,left,all,4240,115.871,464.315,4240,115.871,464.315
Frontal pole/ layer 5,FRP5,526157192,right,all,3564,103.458,388.448,3564,103.458,388.448
Frontal pole/ layer 6a,FRP6a,526157196,left,all,969,94.3198,396.429,969,94.3198,396.429
Frontal pole/ layer 6a,FRP6a,526157196,right,all,782,80.9005,368.648,782,80.9005,368.648
Frontal pole/ layer 6b,FRP6b,526322264,left,all,3,98.01,384.333,3,98.01,384.333
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,365.34,492,1,365.34,492
Somatomotor areas,MO,500,left,all,234906,125.398,461.247,234906,125.398,461.247
Somatomotor areas,MO,500,right,all,202811,113.428,428.389,202811,113.428,428.389
Primary motor area,MOp,985,left,all,114853,132.702,487.558,114853,132.702,487.558
Primary motor area,MOp,985,right,all,87889,116.146,441.77,87889,116.146,441.77
Primary motor area/ Layer 1,MOp1,320,left,all,8906,119.669,411.942,8906,119.669,411.942
Primary motor area/ Layer 1,MOp1,320,right,all,7275,103.441,369.162,7275,103.441,369.162
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,46035,126.957,468.919,46035,126.957,468.919
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,33519,108.117,419.207,33519,108.117,419.207
Primary motor area/ Layer 5,MOp5,648,left,all,37920,159.792,545.173,37920,159.792,545.173
Primary motor area/ Layer 5,MOp5,648,right,all,28779,140.121,497.127,28779,140.121,497.127
Primary motor area/ Layer 6a,MOp6a,844,left,all,21041,104.102,455.719,21041,104.102,455.719
Primary motor area/ Layer 6a,MOp6a,844,right,all,17557,99.3138,424.503,17557,99.3138,424.503
Primary motor area/ Layer 6b,MOp6b,882,left,all,951,85.389,505.012,951,85.389,505.012
Primary motor area/ Layer 6b,MOp6b,882,right,all,759,72.7534,434.588,759,72.7534,434.588
Secondary motor area,MOs,993,left,all,120053,118.41,436.075,120053,118.41,436.075
Secondary motor area,MOs,993,right,all,114922,111.35,418.155,114922,111.35,418.155
Secondary motor area/ layer 1,MOs1,656,left,all,14222,117.441,396.419,14222,117.441,396.419
Secondary motor area/ layer 1,MOs1,656,right,all,15133,109.566,372.789,15133,109.566,372.789
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,39518,104.512,408.11,39518,104.512,408.11
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,40115,102.497,390.613,40115,102.497,390.613
Secondary motor area/ layer 5,MOs5,767,left,all,47183,137.366,473.195,47183,137.366,473.195
Secondary motor area/ layer 5,MOs5,767,right,all,43572,127.888,461.982,43572,127.888,461.982
Secondary motor area/ layer 6a,MOs6a,1021,left,all,19008,101.202,432.01,19008,101.202,432.01
Secondary motor area/ layer 6a,MOs6a,1021,right,all,15993,90.4129,410.979,15993,90.4129,410.979
Secondary motor area/ layer 6b,MOs6b,1085,left,all,122,83.2734,394.648,122,83.2734,394.648
Secondary motor area/ layer 6b,MOs6b,1085,right,all,109,78.5372,386.046,109,78.5372,386.046
Somatosensory areas,SS,453,left,all,372098,127.468,501.299,372098,127.468,501.299
Somatosensory areas,SS,453,right,all,263277,113.013,427.025,263277,113.013,427.025
Primary somatosensory area,SSp,322,left,all,267759,130.53,512.264,267759,130.53,512.264
Primary somatosensory area,SSp,322,right,all,187359,115.212,438.457,187359,115.212,438.457
Primary somatosensory area/ nose,SSp-n,353,left,all,32665,121.399,516.167,32665,121.399,516.167
Primary somatosensory area/ nose,SSp-n,353,right,all,24060,113.977,431.293,24060,113.977,431.293
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,4044,132.821,433.342,4044,132.821,433.342
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,3271,96.3154,343.289,3271,96.3154,343.289
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,7281,109.862,500.323,7281,109.862,500.323
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,5293,105.656,433.936,5293,105.656,433.936
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,5917,132.16,583.741,5917,132.16,583.741
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,4113,136.322,490.156,4113,136.322,490.156
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,7745,143.788,576.178,7745,143.788,576.178
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,4578,144.376,485.262,4578,144.376,485.262
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,7433,96.3651,463.583,7433,96.3651,463.583
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,6607,94.527,400.341,6607,94.527,400.341
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,245,67.5325,420.388,245,67.5325,420.388
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,198,110.122,376.783,198,110.122,376.783
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,66163,130.501,491.944,66163,130.501,491.944
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,44991,111.151,427.521,44991,111.151,427.521
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,8208,115.366,407.717,8208,115.366,407.717
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,5167,89.9096,334.641,5167,89.9096,334.641
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,16029,114.309,470.22,16029,114.309,470.22
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,11101,102.897,422.949,11101,102.897,422.949
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,13543,160.355,566.234,13543,160.355,566.234
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,8468,136.435,484.534,8468,136.435,484.534
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,13640,159.01,550.553,13640,159.01,550.553
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,8741,133.674,480.027,8741,133.674,480.027
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,13812,104.362,441.53,13812,104.362,441.53
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,10331,91.4478,391.819,10331,91.4478,391.819
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,931,78.5203,417.088,931,78.5203,417.088
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1183,106.055,391.829,1183,106.055,391.829
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,16487,117.829,446.071,16487,117.829,446.071
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,14513,107.603,395.413,14513,107.603,395.413
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,1657,130.551,418.256,1657,130.551,418.256
