Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,69831,229.895,678.869,69831,229.895,678.869
Outside,,0,right,all,102370,221.938,642.281,102370,221.938,642.281
root,root,997,left,all,2572047,217.068,819.6,2572047,217.068,819.6
root,root,997,right,all,1840854,198.538,746.652,1840854,198.538,746.652
Basic cell groups and regions,grey,8,left,all,2371736,218.704,824.276,2371736,218.704,824.276
Basic cell groups and regions,grey,8,right,all,1677328,199.62,751.213,1677328,199.62,751.213
Cerebrum,CH,567,left,all,1583824,217.771,771.699,1583824,217.771,771.699
Cerebrum,CH,567,right,all,1066495,198.124,689.626,1066495,198.124,689.626
Cerebral cortex,CTX,688,left,all,1399164,224.122,781.166,1399164,224.122,781.166
Cerebral cortex,CTX,688,right,all,959888,202.619,697.542,959888,202.619,697.542
Cortical plate,CTXpl,695,left,all,1330249,224.95,783.2,1330249,224.95,783.2
Cortical plate,CTXpl,695,right,all,929980,203.232,700.354,929980,203.232,700.354
Isocortex,Isocortex,315,left,all,879868,223.866,782.889,879868,223.866,782.889
Isocortex,Isocortex,315,right,all,565203,196.412,685.354,565203,196.412,685.354
Frontal pole/ cerebral cortex,FRP,184,left,all,5753,201.618,658.323,5753,201.618,658.323
Frontal pole/ cerebral cortex,FRP,184,right,all,4916,183.645,597.94,4916,183.645,597.94
Frontal pole/ layer 1,FRP1,68,left,all,1151,183.137,568.081,1151,183.137,568.081
Frontal pole/ layer 1,FRP1,68,right,all,1105,172.297,517.814,1105,172.297,517.814
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1126,163.591,575.158,1126,163.591,575.158
Frontal pole/ layer 2/3,FRP2/3,667,right,all,906,163.342,541.178,906,163.342,541.178
Frontal pole/ layer 5,FRP5,526157192,left,all,2680,226.356,722.355,2680,226.356,722.355
Frontal pole/ layer 5,FRP5,526157192,right,all,2371,200.791,653.796,2371,200.791,653.796
Frontal pole/ layer 6a,FRP6a,526157196,left,all,795,198.849,690.976,795,198.849,690.976
Frontal pole/ layer 6a,FRP6a,526157196,right,all,531,165.686,610.87,531,165.686,610.87
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,195.7,604,1,195.7,604
Frontal pole/ layer 6b,FRP6b,526322264,right,all,3,123.267,819,3,123.267,819
Somatomotor areas,MO,500,left,all,187300,235.555,811.868,187300,235.555,811.868
Somatomotor areas,MO,500,right,all,126130,210.963,724.984,126130,210.963,724.984
Primary motor area,MOp,985,left,all,95126,237.31,829.262,95126,237.31,829.262
Primary motor area,MOp,985,right,all,57976,203.98,720.715,57976,203.98,720.715
Primary motor area/ Layer 1,MOp1,320,left,all,5525,275.199,821.917,5525,275.199,821.917
Primary motor area/ Layer 1,MOp1,320,right,all,2902,211.108,701.86,2902,211.108,701.86
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,28904,212.555,813.979,28904,212.555,813.979
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,17520,182.295,695.603,17520,182.295,695.603
Primary motor area/ Layer 5,MOp5,648,left,all,38383,268.982,889.031,38383,268.982,889.031
Primary motor area/ Layer 5,MOp5,648,right,all,20966,231.219,778.533,20966,231.219,778.533
Primary motor area/ Layer 6a,MOp6a,844,left,all,21510,206.358,747.61,21510,206.358,747.61
Primary motor area/ Layer 6a,MOp6a,844,right,all,16329,191.599,678.289,16329,191.599,678.289
Primary motor area/ Layer 6b,MOp6b,882,left,all,804,182.897,760.282,804,182.897,760.282
Primary motor area/ Layer 6b,MOp6b,882,right,all,259,166.548,625.135,259,166.548,625.135
Secondary motor area,MOs,993,left,all,92174,233.744,793.916,92174,233.744,793.916
Secondary motor area,MOs,993,right,all,68154,216.903,728.616,68154,216.903,728.616
Secondary motor area/ layer 1,MOs1,656,left,all,7259,260.933,770.814,7259,260.933,770.814
Secondary motor area/ layer 1,MOs1,656,right,all,5918,231.143,684.924,5918,231.143,684.924
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,24236,208.085,740.558,24236,208.085,740.558
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,17928,198.972,673.833,17928,198.972,673.833
Secondary motor area/ layer 5,MOs5,767,left,all,42067,257.844,856.126,42067,257.844,856.126
Secondary motor area/ layer 5,MOs5,767,right,all,30053,237.833,791.839,30053,237.833,791.839
Secondary motor area/ layer 6a,MOs6a,1021,left,all,18440,202.229,732.259,18440,202.229,732.259
Secondary motor area/ layer 6a,MOs6a,1021,right,all,14123,189.552,682.509,14123,189.552,682.509
Secondary motor area/ layer 6b,MOs6b,1085,left,all,172,186.383,682.895,172,186.383,682.895
Secondary motor area/ layer 6b,MOs6b,1085,right,all,132,174.964,666.803,132,174.964,666.803
Somatosensory areas,SS,453,left,all,278252,232.043,827.684,278252,232.043,827.684
Somatosensory areas,SS,453,right,all,153963,198.013,713.091,153963,198.013,713.091
Primary somatosensory area,SSp,322,left,all,190746,234.739,838.757,190746,234.739,838.757
Primary somatosensory area,SSp,322,right,all,107115,197.957,717.779,107115,197.957,717.779
Primary somatosensory area/ nose,SSp-n,353,left,all,22368,217.114,783.254,22368,217.114,783.254
Primary somatosensory area/ nose,SSp-n,353,right,all,13331,189.786,687.84,13331,189.786,687.84
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,2743,205.604,656.617,2743,205.604,656.617
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,1266,165.794,565.728,1266,165.794,565.728
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,4914,197.064,793.704,4914,197.064,793.704
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,2203,164.847,681.628,2203,164.847,681.628
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,3955,241.334,894.539,3955,241.334,894.539
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,1796,195.739,756.192,1796,195.739,756.192
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,5215,257.382,859.476,5215,257.382,859.476
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,3286,235.92,782.868,3286,235.92,782.868
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,5258,187.732,688.046,5258,187.732,688.046
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,4357,171.069,632.364,4357,171.069,632.364
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,283,142.226,638.329,283,142.226,638.329
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,423,200.606,628.66,423,200.606,628.66
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,48815,248.857,855.392,48815,248.857,855.392
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,32342,208.474,764.832,32342,208.474,764.832
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,1812,255.55,744.682,1812,255.55,744.682
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,1895,218.145,694.896,1895,218.145,694.896
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,8043,242.149,810.607,8043,242.149,810.607
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,5454,186.649,727,5454,186.649,727
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,12138,241.588,897.561,12138,241.588,897.561
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,6401,194.411,782.784,6401,194.411,782.784
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,13992,270.801,910.67,13992,270.801,910.67
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,8858,244.209,846.074,8858,244.209,846.074
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,11894,235.543,799.325,11894,235.543,799.325
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,9184,195.794,714.909,9184,195.794,714.909
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,936,228.974,793.855,936,228.974,793.855
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,550,191.427,697.231,550,191.427,697.231
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,9733,235.765,798.146,9733,235.765,798.146
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,9451,215.643,761.976,9451,215.643,761.976
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,0,0,0,0,0,0
