Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,51139,350.675,1067.51,51139,350.675,1067.51
Outside,,0,right,all,89953,305.327,916.221,89953,305.327,916.221
root,root,997,left,all,3129702,321.31,1227.51,3129702,321.31,1227.51
root,root,997,right,all,2577042,289.806,1074.49,2577042,289.806,1074.49
Basic cell groups and regions,grey,8,left,all,2879038,323.522,1230.55,2879038,323.522,1230.55
Basic cell groups and regions,grey,8,right,all,2367598,291.342,1075.64,2367598,291.342,1075.64
Cerebrum,CH,567,left,all,2010362,327.217,1182,2010362,327.217,1182
Cerebrum,CH,567,right,all,1592310,291.803,1000.11,1592310,291.803,1000.11
Cerebral cortex,CTX,688,left,all,1718095,341.384,1180.3,1718095,341.384,1180.3
Cerebral cortex,CTX,688,right,all,1370776,301.781,994.714,1370776,301.781,994.714
Cortical plate,CTXpl,695,left,all,1648336,342.599,1182.3,1648336,342.599,1182.3
Cortical plate,CTXpl,695,right,all,1317667,302.051,998.494,1317667,302.051,998.494
Isocortex,Isocortex,315,left,all,1014568,336.668,1164.43,1014568,336.668,1164.43
Isocortex,Isocortex,315,right,all,786842,291.628,975.513,786842,291.628,975.513
Frontal pole/ cerebral cortex,FRP,184,left,all,10465,341.33,950.994,10465,341.33,950.994
Frontal pole/ cerebral cortex,FRP,184,right,all,9643,300.486,878.993,9643,300.486,878.993
Frontal pole/ layer 1,FRP1,68,left,all,2003,293.705,857.616,2003,293.705,857.616
Frontal pole/ layer 1,FRP1,68,right,all,2208,314.72,863.398,2208,314.72,863.398
Frontal pole/ layer 2/3,FRP2/3,667,left,all,3015,312.657,912.04,3015,312.657,912.04
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2748,279.953,862.278,2748,279.953,862.278
Frontal pole/ layer 5,FRP5,526157192,left,all,4467,393.692,1030.71,4467,393.692,1030.71
Frontal pole/ layer 5,FRP5,526157192,right,all,3818,320.724,920.788,3818,320.724,920.788
Frontal pole/ layer 6a,FRP6a,526157196,left,all,979,288.307,898.235,979,288.307,898.235
Frontal pole/ layer 6a,FRP6a,526157196,right,all,868,240.337,787.766,868,240.337,787.766
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,185.59,1008,1,185.59,1008
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,238.15,851,1,238.15,851
Somatomotor areas,MO,500,left,all,213171,364.106,1191.72,213171,364.106,1191.72
Somatomotor areas,MO,500,right,all,171914,305.746,997.737,171914,305.746,997.737
Primary motor area,MOp,985,left,all,104520,369.076,1278.67,104520,369.076,1278.67
Primary motor area,MOp,985,right,all,82027,310.095,1040.14,82027,310.095,1040.14
Primary motor area/ Layer 1,MOp1,320,left,all,7128,364.955,1170.48,7128,364.955,1170.48
Primary motor area/ Layer 1,MOp1,320,right,all,4816,278.678,913.813,4816,278.678,913.813
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,34921,361.983,1261.41,34921,361.983,1261.41
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,26810,290.858,993.534,26810,290.858,993.534
Primary motor area/ Layer 5,MOp5,648,left,all,36178,417.691,1368.59,36178,417.691,1368.59
Primary motor area/ Layer 5,MOp5,648,right,all,27700,351.085,1121.77,27700,351.085,1121.77
