Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,140117,106.711,411.166,140117,106.711,411.166
Outside,,0,right,all,174156,103.008,384.137,174156,103.008,384.137
root,root,997,left,all,2911874,110.678,535.883,2911874,110.678,535.883
root,root,997,right,all,2554179,102.992,493.929,2554179,102.992,493.929
Basic cell groups and regions,grey,8,left,all,2650371,111.251,535.92,2650371,111.251,535.92
Basic cell groups and regions,grey,8,right,all,2337464,103.566,494.247,2337464,103.566,494.247
Cerebrum,CH,567,left,all,1880087,112.725,522.5,1880087,112.725,522.5
Cerebrum,CH,567,right,all,1623583,104.707,475.693,1623583,104.707,475.693
Cerebral cortex,CTX,688,left,all,1652394,116.187,520.107,1652394,116.187,520.107
Cerebral cortex,CTX,688,right,all,1426520,107.851,473.14,1426520,107.851,473.14
Cortical plate,CTXpl,695,left,all,1617872,116.274,520.265,1617872,116.274,520.265
Cortical plate,CTXpl,695,right,all,1394508,107.915,473.257,1394508,107.915,473.257
Isocortex,Isocortex,315,left,all,1150049,117.562,520.708,1150049,117.562,520.708
Isocortex,Isocortex,315,right,all,1005614,109.327,474.747,1005614,109.327,474.747
Frontal pole/ cerebral cortex,FRP,184,left,all,8607,103.723,440.731,8607,103.723,440.731
Frontal pole/ cerebral cortex,FRP,184,right,all,8927,100.941,412.175,8927,100.941,412.175
Frontal pole/ layer 1,FRP1,68,left,all,1557,101.518,421.529,1557,101.518,421.529
Frontal pole/ layer 1,FRP1,68,right,all,1442,99.9421,405.218,1442,99.9421,405.218
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2273,94.2857,437.725,2273,94.2857,437.725
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2418,92.3312,405.263,2418,92.3312,405.263
Frontal pole/ layer 5,FRP5,526157192,left,all,3771,113.732,453.095,3771,113.732,453.095
Frontal pole/ layer 5,FRP5,526157192,right,all,4050,110.14,417.568,4050,110.14,417.568
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1006,90.937,430.896,1006,90.937,430.896
Frontal pole/ layer 6a,FRP6a,526157196,right,all,1016,86.2239,417.007,1016,86.2239,417.007
Frontal pole/ layer 6b,FRP6b,526322264,left,all,0,0,0,0,0,0
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,57.95,405,1,57.95,405
Somatomotor areas,MO,500,left,all,212357,123.157,521.272,212357,123.157,521.272
Somatomotor areas,MO,500,right,all,196318,116.797,485.64,196318,116.797,485.64
Primary motor area,MOp,985,left,all,104284,129.912,549.185,104284,129.912,549.185
Primary motor area,MOp,985,right,all,88530,117.231,501.867,88530,117.231,501.867
Primary motor area/ Layer 1,MOp1,320,left,all,7408,119.293,460.451,7408,119.293,460.451
Primary motor area/ Layer 1,MOp1,320,right,all,6633,101.772,422.785,6633,101.772,422.785
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,37754,122.701,528.822,37754,122.701,528.822
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,33234,111.644,482.423,33234,111.644,482.423
Primary motor area/ Layer 5,MOp5,648,left,all,35533,158.817,591.122,35533,158.817,591.122
Primary motor area/ Layer 5,MOp5,648,right,all,29405,141.283,543.146,29405,141.283,543.146
Primary motor area/ Layer 6a,MOp6a,844,left,all,22391,102.474,544.952,22391,102.474,544.952
Primary motor area/ Layer 6a,MOp6a,844,right,all,18265,96.8001,499.693,18265,96.8001,499.693
Primary motor area/ Layer 6b,MOp6b,882,left,all,1198,78.3378,574.852,1198,78.3378,574.852
Primary motor area/ Layer 6b,MOp6b,882,right,all,993,71.0671,498.522,993,71.0671,498.522
Secondary motor area,MOs,993,left,all,108073,116.638,494.337,108073,116.638,494.337
Secondary motor area,MOs,993,right,all,107788,116.44,472.312,107788,116.44,472.312
Secondary motor area/ layer 1,MOs1,656,left,all,9632,108.107,434.742,9632,108.107,434.742
Secondary motor area/ layer 1,MOs1,656,right,all,10774,101.773,404.652,10774,101.773,404.652
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,34398,102.998,462.348,34398,102.998,462.348
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,35119,101.581,436.667,35119,101.581,436.667
Secondary motor area/ layer 5,MOs5,767,left,all,44085,137.05,526.793,44085,137.05,526.793
Secondary motor area/ layer 5,MOs5,767,right,all,44139,139.923,511.324,44139,139.923,511.324
Secondary motor area/ layer 6a,MOs6a,1021,left,all,19736,99.515,506.535,19736,99.515,506.535
Secondary motor area/ layer 6a,MOs6a,1021,right,all,17511,96.8158,486.728,17511,96.8158,486.728
Secondary motor area/ layer 6b,MOs6b,1085,left,all,222,69.2736,506.995,222,69.2736,506.995
Secondary motor area/ layer 6b,MOs6b,1085,right,all,245,63.3701,498.543,245,63.3701,498.543
Somatosensory areas,SS,453,left,all,348323,118.281,535.109,348323,118.281,535.109
Somatosensory areas,SS,453,right,all,275046,109.701,477.412,275046,109.701,477.412
Primary somatosensory area,SSp,322,left,all,245643,119.962,544.069,245643,119.962,544.069
Primary somatosensory area,SSp,322,right,all,193182,110.884,487.753,193182,110.884,487.753
Primary somatosensory area/ nose,SSp-n,353,left,all,34037,114.278,539.212,34037,114.278,539.212
Primary somatosensory area/ nose,SSp-n,353,right,all,26331,112.086,487.38,26331,112.086,487.38
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,3826,119.23,446.033,3826,119.23,446.033
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,3170,100.429,412.675,3170,100.429,412.675
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,7174,102.231,520.949,7174,102.231,520.949
