Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,130684,137.394,438.938,130684,137.394,438.938
Outside,,0,right,all,137570,127.637,419.4,137570,127.637,419.4
root,root,997,left,all,3705499,112.703,559.808,3705499,112.703,559.808
root,root,997,right,all,2954951,103.446,509.726,2954951,103.446,509.726
Basic cell groups and regions,grey,8,left,all,3375711,113.813,562.408,3375711,113.813,562.408
Basic cell groups and regions,grey,8,right,all,2709767,104.399,512.815,2709767,104.399,512.815
Cerebrum,CH,567,left,all,2246128,112.583,529.085,2246128,112.583,529.085
Cerebrum,CH,567,right,all,1740947,103.764,473.305,1740947,103.764,473.305
Cerebral cortex,CTX,688,left,all,1969367,117.267,534.195,1969367,117.267,534.195
Cerebral cortex,CTX,688,right,all,1491682,108.275,477.753,1491682,108.275,477.753
Cortical plate,CTXpl,695,left,all,1886276,117.539,534.55,1886276,117.539,534.55
Cortical plate,CTXpl,695,right,all,1427415,108.949,479.331,1427415,108.949,479.331
Isocortex,Isocortex,315,left,all,1135637,113.285,522.398,1135637,113.285,522.398
Isocortex,Isocortex,315,right,all,878447,103.772,467.63,878447,103.772,467.63
Frontal pole/ cerebral cortex,FRP,184,left,all,7566,90.2457,414.993,7566,90.2457,414.993
Frontal pole/ cerebral cortex,FRP,184,right,all,7068,105.626,441.376,7068,105.626,441.376
Frontal pole/ layer 1,FRP1,68,left,all,1297,81.6008,337.214,1297,81.6008,337.214
Frontal pole/ layer 1,FRP1,68,right,all,1140,93.2803,370.162,1140,93.2803,370.162
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2167,85.3767,408.854,2167,85.3767,408.854
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1966,89.644,402.642,1966,89.644,402.642
Frontal pole/ layer 5,FRP5,526157192,left,all,3181,99.1984,444.58,3181,99.1984,444.58
Frontal pole/ layer 5,FRP5,526157192,right,all,3117,123.373,486.934,3117,123.373,486.934
Frontal pole/ layer 6a,FRP6a,526157196,left,all,919,82.7735,436.74,919,82.7735,436.74
