Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,122178,240.791,899.903,122178,240.791,899.903
Outside,,0,right,all,178331,283.566,953.269,178331,283.566,953.269
root,root,997,left,all,4294318,205.823,1088.29,4294318,205.823,1088.29
root,root,997,right,all,3910469,198.157,962.524,3910469,198.157,962.524
Basic cell groups and regions,grey,8,left,all,3753799,209.617,1097.9,3753799,209.617,1097.9
Basic cell groups and regions,grey,8,right,all,3438784,201.952,969.412,3438784,201.952,969.412
Cerebrum,CH,567,left,all,1980365,216.91,1001.28,1980365,216.91,1001.28
Cerebrum,CH,567,right,all,1735030,210.204,868.014,1735030,210.204,868.014
Cerebral cortex,CTX,688,left,all,1557497,227.495,1000.58,1557497,227.495,1000.58
Cerebral cortex,CTX,688,right,all,1347440,222.236,866.507,1347440,222.236,866.507
Cortical plate,CTXpl,695,left,all,1513660,228.863,1008.48,1513660,228.863,1008.48
Cortical plate,CTXpl,695,right,all,1303923,223.847,874.734,1303923,223.847,874.734
Isocortex,Isocortex,315,left,all,960695,240.473,1047.96,960695,240.473,1047.96
Isocortex,Isocortex,315,right,all,755786,244.161,942.675,755786,244.161,942.675
Frontal pole/ cerebral cortex,FRP,184,left,all,8676,290.883,1078.34,8676,290.883,1078.34
Frontal pole/ cerebral cortex,FRP,184,right,all,8427,248.037,899.714,8427,248.037,899.714
Frontal pole/ layer 1,FRP1,68,left,all,2764,522.882,1700.97,2764,522.882,1700.97
Frontal pole/ layer 1,FRP1,68,right,all,2168,390.641,1338.76,2168,390.641,1338.76
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1872,162.824,790.114,1872,162.824,790.114
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1925,167.351,718.993,1925,167.351,718.993
Frontal pole/ layer 5,FRP5,526157192,left,all,3305,196.137,800.814,3305,196.137,800.814
Frontal pole/ layer 5,FRP5,526157192,right,all,3593,222.035,782.588,3593,222.035,782.588
Frontal pole/ layer 6a,FRP6a,526157196,left,all,731,170.847,718.709,731,170.847,718.709
Frontal pole/ layer 6a,FRP6a,526157196,right,all,737,166.504,652.598,737,166.504,652.598
Frontal pole/ layer 6b,FRP6b,526322264,left,all,4,131.845,758.25,4,131.845,758.25
Frontal pole/ layer 6b,FRP6b,526322264,right,all,4,166.429,648.5,4,166.429,648.5
Somatomotor areas,MO,500,left,all,204596,240.09,1058.98,204596,240.09,1058.98
Somatomotor areas,MO,500,right,all,155890,230.519,933.677,155890,230.519,933.677
Primary motor area,MOp,985,left,all,105413,229.361,1070.46,105413,229.361,1070.46
Primary motor area,MOp,985,right,all,68558,215.536,906.983,68558,215.536,906.983
Primary motor area/ Layer 1,MOp1,320,left,all,12591,543.122,1776.7,12591,543.122,1776.7
Primary motor area/ Layer 1,MOp1,320,right,all,9568,459.106,1488.85,9568,459.106,1488.85
