Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,94497,307.23,909.559,94497,307.23,909.559
Outside,,0,right,all,119009,272.807,781.069,119009,272.807,781.069
root,root,997,left,all,2291641,311.667,1162.77,2291641,311.667,1162.77
root,root,997,right,all,1824762,279.343,1026.24,1824762,279.343,1026.24
Basic cell groups and regions,grey,8,left,all,2150057,313.915,1170.07,2150057,313.915,1170.07
Basic cell groups and regions,grey,8,right,all,1698899,280.968,1033.42,1698899,280.968,1033.42
Cerebrum,CH,567,left,all,1520769,321.849,1136.87,1520769,321.849,1136.87
Cerebrum,CH,567,right,all,1170085,283.622,975.102,1170085,283.622,975.102
Cerebral cortex,CTX,688,left,all,1324935,331.751,1119.2,1324935,331.751,1119.2
Cerebral cortex,CTX,688,right,all,1025945,290.223,960.788,1025945,290.223,960.788
Cortical plate,CTXpl,695,left,all,1279317,332.784,1123.8,1279317,332.784,1123.8
Cortical plate,CTXpl,695,right,all,993079,290.985,965.145,993079,290.985,965.145
Isocortex,Isocortex,315,left,all,832492,323.709,1104.39,832492,323.709,1104.39
Isocortex,Isocortex,315,right,all,630275,282.662,948.64,630275,282.662,948.64
Frontal pole/ cerebral cortex,FRP,184,left,all,6336,312.396,989.886,6336,312.396,989.886
Frontal pole/ cerebral cortex,FRP,184,right,all,6485,286.629,900.07,6485,286.629,900.07
Frontal pole/ layer 1,FRP1,68,left,all,1105,230.019,765.457,1105,230.019,765.457
Frontal pole/ layer 1,FRP1,68,right,all,1107,200.175,673.579,1107,200.175,673.579
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1619,343.054,1050.71,1619,343.054,1050.71
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1885,301.827,934.9,1885,301.827,934.9
Frontal pole/ layer 5,FRP5,526157192,left,all,2893,337.734,1059.86,2893,337.734,1059.86
Frontal pole/ layer 5,FRP5,526157192,right,all,2852,321.931,986.849,2852,321.931,986.849
Frontal pole/ layer 6a,FRP6a,526157196,left,all,716,268.455,916.719,716,268.455,916.719
Frontal pole/ layer 6a,FRP6a,526157196,right,all,638,234.382,803.223,638,234.382,803.223
Frontal pole/ layer 6b,FRP6b,526322264,left,all,3,163.737,814,3,163.737,814
Frontal pole/ layer 6b,FRP6b,526322264,right,all,3,188.95,689.667,3,188.95,689.667
Somatomotor areas,MO,500,left,all,174013,330.529,1096.21,174013,330.529,1096.21
Somatomotor areas,MO,500,right,all,138817,291.878,966.764,138817,291.878,966.764
Primary motor area,MOp,985,left,all,81346,330.396,1132.16,81346,330.396,1132.16
Primary motor area,MOp,985,right,all,59648,288.994,992.837,59648,288.994,992.837
Primary motor area/ Layer 1,MOp1,320,left,all,6276,344.166,1101.93,6276,344.166,1101.93
Primary motor area/ Layer 1,MOp1,320,right,all,2854,243.342,802.7,2854,243.342,802.7
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,29944,302.454,1061.35,29944,302.454,1061.35
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,21991,267.875,934.578,21991,267.875,934.578
Primary motor area/ Layer 5,MOp5,648,left,all,27214,389.83,1249.88,27214,389.83,1249.88
Primary motor area/ Layer 5,MOp5,648,right,all,20236,342.916,1108.56,20236,342.916,1108.56
Primary motor area/ Layer 6a,MOp6a,844,left,all,17550,283.013,1081.37,17550,283.013,1081.37
Primary motor area/ Layer 6a,MOp6a,844,right,all,14352,254.907,957.4,14352,254.907,957.4
Primary motor area/ Layer 6b,MOp6b,882,left,all,362,231.961,1125.9,362,231.961,1125.9
Primary motor area/ Layer 6b,MOp6b,882,right,all,215,255.309,949.051,215,255.309,949.051
Secondary motor area,MOs,993,left,all,92667,330.645,1064.65,92667,330.645,1064.65
Secondary motor area,MOs,993,right,all,79169,294.05,947.119,79169,294.05,947.119
Secondary motor area/ layer 1,MOs1,656,left,all,8950,339.274,1057.47,8950,339.274,1057.47
Secondary motor area/ layer 1,MOs1,656,right,all,6917,274.849,859.341,6917,274.849,859.341
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,30914,303.612,1014.56,30914,303.612,1014.56
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,27913,271.222,894.646,27913,271.222,894.646
Secondary motor area/ layer 5,MOs5,767,left,all,36629,375.592,1136.64,36629,375.592,1136.64
Secondary motor area/ layer 5,MOs5,767,right,all,31489,334.811,1026.88,31489,334.811,1026.88
Secondary motor area/ layer 6a,MOs6a,1021,left,all,16000,275.984,1001.33,16000,275.984,1001.33
Secondary motor area/ layer 6a,MOs6a,1021,right,all,12682,254.314,912.929,12682,254.314,912.929
Secondary motor area/ layer 6b,MOs6b,1085,left,all,174,254.082,1001.27,174,254.082,1001.27
Secondary motor area/ layer 6b,MOs6b,1085,right,all,168,237.216,911.101,168,237.216,911.101
Somatosensory areas,SS,453,left,all,250045,337.032,1228.15,250045,337.032,1228.15
Somatosensory areas,SS,453,right,all,155178,279.464,1005.98,155178,279.464,1005.98
Primary somatosensory area,SSp,322,left,all,179915,339.946,1244.04,179915,339.946,1244.04
Primary somatosensory area,SSp,322,right,all,113336,282.864,1024.03,113336,282.864,1024.03
Primary somatosensory area/ nose,SSp-n,353,left,all,26220,376.68,1392.74,26220,376.68,1392.74
Primary somatosensory area/ nose,SSp-n,353,right,all,14988,287.119,1090.05,14988,287.119,1090.05
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,3034,440.196,1342.63,3034,440.196,1342.63
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,1158,258.534,882.234,1158,258.534,882.234
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,5959,337.122,1325.68,5959,337.122,1325.68
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,3322,258.5,1040.05,3322,258.5,1040.05
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,5043,404.389,1526.89,5043,404.389,1526.89
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,2436,303.729,1201.5,2436,303.729,1201.5
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,5940,433.641,1527.74,5940,433.641,1527.74
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,3289,358.033,1238.8,3289,358.033,1238.8
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,6020,310.035,1243.5,6020,310.035,1243.5
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,4529,255.658,1018.81,4529,255.658,1018.81
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,224,225.493,1266.6,224,225.493,1266.6
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,254,275.128,966.98,254,275.128,966.98
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,42097,317.899,1114.35,42097,317.899,1114.35
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,23751,266.215,909.378,23751,266.215,909.378
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,4673,327.996,1075.94,4673,327.996,1075.94
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2377,229.102,747.129,2377,229.102,747.129
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,9933,274.741,1052.3,9933,274.741,1052.3
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,5072,248.508,901.43,5072,248.508,901.43
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,7886,348.544,1226.52,7886,348.544,1226.52
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,4457,293.37,989.484,4457,293.37,989.484
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,9452,397.488,1257.16,9452,397.488,1257.16
