Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,126920,425.216,1294.12,126920,425.216,1294.12
Outside,,0,right,all,164580,367.889,1080.06,164580,367.889,1080.06
root,root,997,left,all,2776655,268.873,1009.16,2776655,268.873,1009.16
root,root,997,right,all,2396783,246.421,890.869,2396783,246.421,890.869
Basic cell groups and regions,grey,8,left,all,2503555,272.837,1012.54,2503555,272.837,1012.54
Basic cell groups and regions,grey,8,right,all,2140759,246.965,889.272,2140759,246.965,889.272
Cerebrum,CH,567,left,all,1591266,293.653,981.256,1591266,293.653,981.256
Cerebrum,CH,567,right,all,1247242,264.076,838.2,1247242,264.076,838.2
Cerebral cortex,CTX,688,left,all,1355188,304.839,976.129,1355188,304.839,976.129
Cerebral cortex,CTX,688,right,all,1020262,276.584,829.991,1020262,276.584,829.991
Cortical plate,CTXpl,695,left,all,1305639,304.76,975.607,1305639,304.76,975.607
Cortical plate,CTXpl,695,right,all,998794,277.527,834.041,998794,277.527,834.041
Isocortex,Isocortex,315,left,all,891394,296.909,948.077,891394,296.909,948.077
Isocortex,Isocortex,315,right,all,618047,267.876,808.364,618047,267.876,808.364
Frontal pole/ cerebral cortex,FRP,184,left,all,5835,244.731,766.796,5835,244.731,766.796
Frontal pole/ cerebral cortex,FRP,184,right,all,3500,211.628,669.995,3500,211.628,669.995
Frontal pole/ layer 1,FRP1,68,left,all,1365,243.436,881.048,1365,243.436,881.048
Frontal pole/ layer 1,FRP1,68,right,all,1097,217.077,786.788,1097,217.077,786.788
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1397,218.023,732.971,1397,218.023,732.971
Frontal pole/ layer 2/3,FRP2/3,667,right,all,728,198.96,632.626,728,198.96,632.626
Frontal pole/ layer 5,FRP5,526157192,left,all,2606,260.147,738.15,2606,260.147,738.15
Frontal pole/ layer 5,FRP5,526157192,right,all,1366,213.551,618.051,1366,213.551,618.051
Frontal pole/ layer 6a,FRP6a,526157196,left,all,461,242.999,694.106,461,242.999,694.106
Frontal pole/ layer 6a,FRP6a,526157196,right,all,308,213.81,573.104,308,213.81,573.104
Frontal pole/ layer 6b,FRP6b,526322264,left,all,6,195.064,676.833,6,195.064,676.833
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,156.771,550,1,156.771,550
Somatomotor areas,MO,500,left,all,157214,277.145,912.642,157214,277.145,912.642
Somatomotor areas,MO,500,right,all,107622,236.916,758.493,107622,236.916,758.493
Primary motor area,MOp,985,left,all,80534,288.201,959.773,80534,288.201,959.773
Primary motor area,MOp,985,right,all,54371,247.075,775.978,54371,247.075,775.978
Primary motor area/ Layer 1,MOp1,320,left,all,10749,467.265,1301.77,10749,467.265,1301.77
Primary motor area/ Layer 1,MOp1,320,right,all,6592,320.922,949.31,6592,320.922,949.31
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,22295,232.696,862.965,22295,232.696,862.965
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,14829,212.874,712.731,14829,212.874,712.731
Primary motor area/ Layer 5,MOp5,648,left,all,29985,302.468,959.648,29985,302.468,959.648
Primary motor area/ Layer 5,MOp5,648,right,all,19854,268.401,796.771,19854,268.401,796.771
Primary motor area/ Layer 6a,MOp6a,844,left,all,16126,228.046,865.168,16126,228.046,865.168
Primary motor area/ Layer 6a,MOp6a,844,right,all,12545,218.463,728.062,12545,218.463,728.062
Primary motor area/ Layer 6b,MOp6b,882,left,all,1379,183.039,968.134,1379,183.039,968.134
Primary motor area/ Layer 6b,MOp6b,882,right,all,551,167.03,746.131,551,167.03,746.131
Secondary motor area,MOs,993,left,all,76680,265.533,863.142,76680,265.533,863.142
Secondary motor area,MOs,993,right,all,53251,226.544,740.641,53251,226.544,740.641
Secondary motor area/ layer 1,MOs1,656,left,all,14176,385.413,1163.55,14176,385.413,1163.55
Secondary motor area/ layer 1,MOs1,656,right,all,10976,247.264,896.11,10976,247.264,896.11
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,19373,212.117,752.717,19373,212.117,752.717
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,13390,201.37,666.312,13390,201.37,666.312
Secondary motor area/ layer 5,MOs5,767,left,all,30782,258.247,819.144,30782,258.247,819.144
Secondary motor area/ layer 5,MOs5,767,right,all,19891,237.505,722.273,19891,237.505,722.273
Secondary motor area/ layer 6a,MOs6a,1021,left,all,12085,230.744,800.876,12085,230.744,800.876
Secondary motor area/ layer 6a,MOs6a,1021,right,all,8635,216.025,699.6,8635,216.025,699.6
Secondary motor area/ layer 6b,MOs6b,1085,left,all,264,190.044,815.769,264,190.044,815.769
Secondary motor area/ layer 6b,MOs6b,1085,right,all,359,177.634,764.641,359,177.634,764.641
Somatosensory areas,SS,453,left,all,294451,293.225,1001.58,294451,293.225,1001.58
Somatosensory areas,SS,453,right,all,183066,271.519,849.718,183066,271.519,849.718
Primary somatosensory area,SSp,322,left,all,218370,282.953,1011.48,218370,282.953,1011.48
Primary somatosensory area,SSp,322,right,all,129782,256.988,837.111,129782,256.988,837.111
Primary somatosensory area/ nose,SSp-n,353,left,all,28967,284.892,1000.76,28967,284.892,1000.76
Primary somatosensory area/ nose,SSp-n,353,right,all,14929,245.246,817.451,14929,245.246,817.451
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,4510,449.108,1304.74,4510,449.108,1304.74
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,3157,278.62,867.535,3157,278.62,867.535
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,4888,237.167,923.786,4888,237.167,923.786
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,2526,214.714,778.223,2526,214.714,778.223
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,5130,274.836,1023.19,5130,274.836,1023.19
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,2161,255.874,897.509,2161,255.874,897.509
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,6812,294.702,996.443,6812,294.702,996.443
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,3948,257.806,838.178,3948,257.806,838.178
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,6978,217.434,855.144,6978,217.434,855.144
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,2921,213.024,723.64,2921,213.024,723.64
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,649,205.027,901.958,649,205.027,901.958
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,216,214.362,632.991,216,214.362,632.991
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,61883,264.722,965.773,61883,264.722,965.773
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,33994,255.53,841.073,33994,255.53,841.073
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,9080,317.087,1121.68,9080,317.087,1121.68
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,7244,304.334,1008.67,7244,304.334,1008.67
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,10858,229.631,873.072,10858,229.631,873.072
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,4959,216.87,741.418,4959,216.87,741.418
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,12459,266.778,985.886,12459,266.778,985.886
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,6153,256.035,843.485,6153,256.035,843.485
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,13409,313.148,1007.11,13409,313.148,1007.11
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,7965,279.522,849.297,7965,279.522,849.297
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,12725,224.402,866.007,12725,224.402,866.007
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,5903,212.675,708.995,5903,212.675,708.995
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,3352,188.245,982.334,3352,188.245,982.334
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1770,197.312,829.425,1770,197.312,829.425
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,11097,234.523,835.628,11097,234.523,835.628
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,9583,244.932,721.079,9583,244.932,721.079
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,1746,255.488,919.245,1746,255.488,919.245
