Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,7806,224.138,613.605,7806,224.138,613.605
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,817,132.993,709.282,817,132.993,709.282
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,558,157.676,529.011,558,157.676,529.011
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,80268,179.344,708.769,80268,179.344,708.769
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,31153,173.107,638.544,31153,173.107,638.544
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,6938,196.672,381.109,6938,196.672,381.109
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,0,0,0,0,0,0
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,18298,196.45,586.33,18298,196.45,586.33
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,1593,162.201,669.303,1593,162.201,669.303
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,20165,215.679,833.854,20165,215.679,833.854
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,7010,151.239,677.697,7010,151.239,677.697
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,20386,148.329,834.287,20386,148.329,834.287
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,9428,160.616,656.321,9428,160.616,656.321
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,13433,142.006,674.52,13433,142.006,674.52
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,11680,198.375,608.23,11680,198.375,608.23
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,1048,148.765,606.256,1048,148.765,606.256
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1442,168.472,543.537,1442,168.472,543.537
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,21340,174.136,642.786,21340,174.136,642.786
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,9921,161.623,621.862,9921,161.623,621.862
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,104,173.521,192.192,104,173.521,192.192
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,1953,147.176,367.031,1953,147.176,367.031
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,4,291.852,401.25,4,291.852,401.25
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,9015,180.497,606.83,9015,180.497,606.83
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,2808,138.869,548.004,2808,138.869,548.004
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,9535,176.681,732.973,9535,176.681,732.973
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,6476,170.137,649.997,6476,170.137,649.997
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,733,134.7,710.472,733,134.7,710.472
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,633,174.633,663.044,633,174.633,663.044
Primary somatosensory area/ mouth,SSp-m,345,left,all,74620,170.783,692.698,74620,170.783,692.698
Primary somatosensory area/ mouth,SSp-m,345,right,all,45671,179.302,600.62,45671,179.302,600.62
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,9228,225.73,500.606,9228,225.73,500.606
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,864,185.2,485.392,864,185.2,485.392
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,19039,231.797,706.639,19039,231.797,706.639
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,10521,149.003,606.193,10521,149.003,606.193
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,14182,170.964,815.171,14182,170.964,815.171
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,7731,163.872,669.851,7731,163.872,669.851
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,15735,133.847,781.359,15735,133.847,781.359
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,9351,210.729,668.944,9351,210.729,668.944
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,15566,104.712,594.838,15566,104.712,594.838
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,16077,191.259,540.684,16077,191.259,540.684
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,870,99.992,576.039,870,99.992,576.039
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,1127,132.137,450.134,1127,132.137,450.134
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,44151,164.44,611.695,44151,164.44,611.695
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,23508,161.991,583.385,23508,161.991,583.385
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,1830,148.212,304.634,1830,148.212,304.634
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,0,0,0,0,0,0
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,9265,150.532,446.667,9265,150.532,446.667
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,596,130.343,407.471,596,130.343,407.471
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,8135,203.847,637.312,8135,203.847,637.312
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,2901,137.049,487.124,2901,137.049,487.124
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,13115,190.783,728.093,13115,190.783,728.093
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,8479,142.926,599.936,8479,142.926,599.936
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,11198,120.959,645.332,11198,120.959,645.332
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,10765,187.339,609.196,10765,187.339,609.196
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,608,130.516,577.62,608,130.516,577.62
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,767,135.905,538.937,767,135.905,538.937
Primary somatosensory area/ trunk,SSp-tr,361,left,all,8046,154.675,529.393,8046,154.675,529.393
Primary somatosensory area/ trunk,SSp-tr,361,right,all,1972,154.649,480.126,1972,154.649,480.126
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,0,0,0,0,0,0
