Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,54390,371.579,1064.19,54390,371.579,1064.19
Outside,,0,right,all,116479,349.737,941.216,116479,349.737,941.216
root,root,997,left,all,2399077,252.037,1022.08,2399077,252.037,1022.08
root,root,997,right,all,1907322,236.034,881.55,1907322,236.034,881.55
Basic cell groups and regions,grey,8,left,all,2122253,255.212,1024.62,2122253,255.212,1024.62
Basic cell groups and regions,grey,8,right,all,1705729,239.286,883.448,1705729,239.286,883.448
Cerebrum,CH,567,left,all,1324861,266.276,965.47,1324861,266.276,965.47
Cerebrum,CH,567,right,all,1061300,246.405,814.852,1061300,246.405,814.852
Cerebral cortex,CTX,688,left,all,1089159,277.992,945.489,1089159,277.992,945.489
Cerebral cortex,CTX,688,right,all,877243,256.476,796.584,877243,256.476,796.584
Cortical plate,CTXpl,695,left,all,1058376,279.789,950.261,1058376,279.789,950.261
Cortical plate,CTXpl,695,right,all,850760,257.927,800.665,850760,257.927,800.665
Isocortex,Isocortex,315,left,all,698198,263.973,929.23,698198,263.973,929.23
Isocortex,Isocortex,315,right,all,550757,245.62,788.657,550757,245.62,788.657
Frontal pole/ cerebral cortex,FRP,184,left,all,6675,207.81,667.464,6675,207.81,667.464
Frontal pole/ cerebral cortex,FRP,184,right,all,3785,213.459,664.007,3785,213.459,664.007
Frontal pole/ layer 1,FRP1,68,left,all,1663,195.717,688.926,1663,195.717,688.926
Frontal pole/ layer 1,FRP1,68,right,all,1283,240.866,750.61,1283,240.866,750.61
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1602,200.923,652.64,1602,200.923,652.64
Frontal pole/ layer 2/3,FRP2/3,667,right,all,927,195.893,626.647,927,195.893,626.647
Frontal pole/ layer 5,FRP5,526157192,left,all,2830,219.444,663.944,2830,219.444,663.944
