Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,3912,187.495,771.814,3912,187.495,771.814
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,1761,168.455,593.004,1761,168.455,593.004
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,336,160.422,770.792,336,160.422,770.792
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,85,165.853,538.024,85,165.853,538.024
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,42459,303.69,1129.18,42459,303.69,1129.18
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,25668,324.83,1016.23,25668,324.83,1016.23
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,8757,651.482,2081.12,8757,651.482,2081.12
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,8523,589.017,1651.77,8523,589.017,1651.77
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,6370,204.974,874.954,6370,204.974,874.954
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,3075,178.537,668.467,3075,178.537,668.467
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,8329,229.363,937.841,8329,229.363,937.841
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,3604,198.824,744.9,3604,198.824,744.9
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,9247,243.559,926.032,9247,243.559,926.032
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,5949,217.793,737.681,5949,217.793,737.681
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,7812,181.804,790.251,7812,181.804,790.251
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,4062,168.269,642.514,4062,168.269,642.514
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,1944,154.763,822.282,1944,154.763,822.282
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,455,160.046,588.98,455,160.046,588.98
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,10971,269.277,1027.02,10971,269.277,1027.02
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,7397,277.121,959.396,7397,277.121,959.396
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,2394,476.722,1916.09,2394,476.722,1916.09
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,2424,428.174,1590.57,2424,428.174,1590.57
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,1199,187.414,729.355,1199,187.414,729.355
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,718,173.409,603.405,718,173.409,603.405
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,869,192.006,756.464,869,192.006,756.464
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,429,188.633,639.219,429,188.633,639.219
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,3699,261.378,839.076,3699,261.378,839.076
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,2459,236.191,696.055,2459,236.191,696.055
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,2382,164.08,715.251,2382,164.08,715.251
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,1225,166.928,605.876,1225,166.928,605.876
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,428,148.897,796.692,428,148.897,796.692
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,142,149.705,562.261,142,149.705,562.261
Primary somatosensory area/ mouth,SSp-m,345,left,all,40560,346.945,1107.13,40560,346.945,1107.13
Primary somatosensory area/ mouth,SSp-m,345,right,all,30893,346.113,981.936,30893,346.113,981.936
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,9380,803.251,2021.91,9380,803.251,2021.91
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,9056,717.761,1619.79,9056,717.761,1619.79
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,7696,205.404,881.974,7696,205.404,881.974
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,4452,179.192,717.506,4452,179.192,717.506
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,6468,226.922,871.174,6468,226.922,871.174
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,3580,201.598,772.175,3580,201.598,772.175
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,9162,227.475,848.097,9162,227.475,848.097
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,6988,213.375,751.129,6988,213.375,751.129
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,7316,181.057,728.12,7316,181.057,728.12
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,6320,173.096,659.205,6320,173.096,659.205
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,538,149.322,780.556,538,149.322,780.556
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,497,176.863,588.278,497,176.863,588.278
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,19569,290.652,1065.77,19569,290.652,1065.77
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,13348,296.687,990.768,13348,296.687,990.768
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,4436,567.542,1973.2,4436,567.542,1973.2
