Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,80951,443.611,1483.48,80951,443.611,1483.48
Outside,,0,right,all,120362,431.43,1343.6,120362,431.43,1343.6
root,root,997,left,all,1471300,310.556,1234.17,1471300,310.556,1234.17
root,root,997,right,all,1158262,314.942,1124.07,1158262,314.942,1124.07
Basic cell groups and regions,grey,8,left,all,1312908,313.221,1240.59,1312908,313.221,1240.59
Basic cell groups and regions,grey,8,right,all,1037797,321.219,1140.23,1037797,321.219,1140.23
Cerebrum,CH,567,left,all,808760,321.502,1200.74,808760,321.502,1200.74
Cerebrum,CH,567,right,all,647105,335.686,1102.48,647105,335.686,1102.48
Cerebral cortex,CTX,688,left,all,688341,335.193,1206.58,688341,335.193,1206.58
Cerebral cortex,CTX,688,right,all,527384,357.007,1115.37,527384,357.007,1115.37
Cortical plate,CTXpl,695,left,all,672627,337.079,1213.63,672627,337.079,1213.63
Cortical plate,CTXpl,695,right,all,509608,359.229,1118.52,509608,359.229,1118.52
Isocortex,Isocortex,315,left,all,423446,316.734,1158.52,423446,316.734,1158.52
Isocortex,Isocortex,315,right,all,302419,328.919,1034.75,302419,328.919,1034.75
Frontal pole/ cerebral cortex,FRP,184,left,all,1889,247.352,857.948,1889,247.352,857.948
Frontal pole/ cerebral cortex,FRP,184,right,all,1324,238.033,757.242,1324,238.033,757.242
Frontal pole/ layer 1,FRP1,68,left,all,508,226.385,863.699,508,226.385,863.699
Frontal pole/ layer 1,FRP1,68,right,all,225,216.996,745.902,225,216.996,745.902
Frontal pole/ layer 2/3,FRP2/3,667,left,all,157,203.945,746.682,157,203.945,746.682
Frontal pole/ layer 2/3,FRP2/3,667,right,all,166,224.46,667.825,166,224.46,667.825
Frontal pole/ layer 5,FRP5,526157192,left,all,1005,267.713,865.298,1005,267.713,865.298
Frontal pole/ layer 5,FRP5,526157192,right,all,805,248.663,775.042,805,248.663,775.042
Frontal pole/ layer 6a,FRP6a,526157196,left,all,217,234.283,890.585,217,234.283,890.585
Frontal pole/ layer 6a,FRP6a,526157196,right,all,127,223.935,781.283,127,223.935,781.283
Frontal pole/ layer 6b,FRP6b,526322264,left,all,2,166.834,897.5,2,166.834,897.5
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,457.424,770,1,457.424,770
Somatomotor areas,MO,500,left,all,87442,295.197,1093.79,87442,295.197,1093.79
Somatomotor areas,MO,500,right,all,58294,296.175,981.509,58294,296.175,981.509
Primary motor area,MOp,985,left,all,43289,314.398,1187.48,43289,314.398,1187.48
Primary motor area,MOp,985,right,all,26343,332.598,1059.19,26343,332.598,1059.19
Primary motor area/ Layer 1,MOp1,320,left,all,7984,488.637,1629.62,7984,488.637,1629.62
Primary motor area/ Layer 1,MOp1,320,right,all,5533,575.54,1618.97,5533,575.54,1618.97
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,11844,268.924,1068.21,11844,268.924,1068.21
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,6207,260.813,884.505,6207,260.813,884.505
Primary motor area/ Layer 5,MOp5,648,left,all,16230,295.991,1139.67,16230,295.991,1139.67
Primary motor area/ Layer 5,MOp5,648,right,all,10025,283.412,953.515,10025,283.412,953.515
Primary motor area/ Layer 6a,MOp6a,844,left,all,6681,239.662,994.138,6681,239.662,994.138
Primary motor area/ Layer 6a,MOp6a,844,right,all,4436,245.285,850.806,4436,245.285,850.806
Primary motor area/ Layer 6b,MOp6b,882,left,all,550,215.373,1096.75,550,215.373,1096.75
Primary motor area/ Layer 6b,MOp6b,882,right,all,142,204.179,854.359,142,204.179,854.359
Secondary motor area,MOs,993,left,all,44153,276.371,1001.95,44153,276.371,1001.95
Secondary motor area,MOs,993,right,all,31951,266.145,917.459,31951,266.145,917.459
Secondary motor area/ layer 1,MOs1,656,left,all,10399,320.889,1155.72,10399,320.889,1155.72
Secondary motor area/ layer 1,MOs1,656,right,all,5641,298.845,1077.54,5641,298.845,1077.54
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,9844,243.377,902.074,9844,243.377,902.074
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,6631,235.608,806.906,6631,235.608,806.906
Secondary motor area/ layer 5,MOs5,767,left,all,18875,280.001,987.762,18875,280.001,987.762
Secondary motor area/ layer 5,MOs5,767,right,all,15791,273.491,918.836,15791,273.491,918.836
Secondary motor area/ layer 6a,MOs6a,1021,left,all,4971,235.626,932.226,4971,235.626,932.226
Secondary motor area/ layer 6a,MOs6a,1021,right,all,3861,241.204,868.455,3861,241.204,868.455
