Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,161587,348.73,1214.89,161587,348.73,1214.89
Outside,,0,right,all,154773,298.234,1010.01,154773,298.234,1010.01
root,root,997,left,all,5312151,162.243,894.171,5312151,162.243,894.171
root,root,997,right,all,4585588,159.902,782.755,4585588,159.902,782.755
Basic cell groups and regions,grey,8,left,all,4581065,164.68,897.27,4581065,164.68,897.27
Basic cell groups and regions,grey,8,right,all,3989328,161.516,783.981,3989328,161.516,783.981
Cerebrum,CH,567,left,all,2654144,173.809,857.72,2654144,173.809,857.72
Cerebrum,CH,567,right,all,2271404,166.873,723.778,2271404,166.873,723.778
Cerebral cortex,CTX,688,left,all,2090786,181.111,844.621,2090786,181.111,844.621
Cerebral cortex,CTX,688,right,all,1802334,173.379,706.746,1802334,173.379,706.746
Cortical plate,CTXpl,695,left,all,2006992,181.417,848.827,2006992,181.417,848.827
Cortical plate,CTXpl,695,right,all,1715875,173.985,711.776,1715875,173.985,711.776
Isocortex,Isocortex,315,left,all,1238863,174.857,843.986,1238863,174.857,843.986
Isocortex,Isocortex,315,right,all,915112,170.387,716.515,915112,170.387,716.515
Frontal pole/ cerebral cortex,FRP,184,left,all,11055,174.928,734.083,11055,174.928,734.083
Frontal pole/ cerebral cortex,FRP,184,right,all,9633,164.68,696.039,9633,164.68,696.039
Frontal pole/ layer 1,FRP1,68,left,all,2666,208.129,819.014,2666,208.129,819.014
Frontal pole/ layer 1,FRP1,68,right,all,2389,187.101,798.642,2389,187.101,798.642
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2463,154.167,711.266,2463,154.167,711.266
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2372,142.721,658.556,2372,142.721,658.556
Frontal pole/ layer 5,FRP5,526157192,left,all,4530,175.051,719.511,4530,175.051,719.511
Frontal pole/ layer 5,FRP5,526157192,right,all,3815,172.886,683.595,3815,172.886,683.595
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1387,147.646,659.071,1387,147.646,659.071
Frontal pole/ layer 6a,FRP6a,526157196,right,all,1048,133.912,593.659,1048,133.912,593.659
Frontal pole/ layer 6b,FRP6b,526322264,left,all,9,163.619,714.889,9,163.619,714.889
Frontal pole/ layer 6b,FRP6b,526322264,right,all,9,105.328,535.778,9,105.328,535.778
Somatomotor areas,MO,500,left,all,274026,168.19,800.02,274026,168.19,800.02
Somatomotor areas,MO,500,right,all,201727,171.236,716.558,201727,171.236,716.558
Primary motor area,MOp,985,left,all,138632,170.628,852.544,138632,170.628,852.544
Primary motor area,MOp,985,right,all,88729,169.04,718.793,88729,169.04,718.793
Primary motor area/ Layer 1,MOp1,320,left,all,8994,237.847,973.213,8994,237.847,973.213
Primary motor area/ Layer 1,MOp1,320,right,all,7838,273.644,966.062,7838,273.644,966.062
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,42551,154.375,812.081,42551,154.375,812.081
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,26620,144.566,661.584,26620,144.566,661.584
Primary motor area/ Layer 5,MOp5,648,left,all,43749,191.174,880.164,43749,191.174,880.164
Primary motor area/ Layer 5,MOp5,648,right,all,28260,182.751,730.663,28260,182.751,730.663
Primary motor area/ Layer 6a,MOp6a,844,left,all,39672,154.943,835.719,39672,154.943,835.719
Primary motor area/ Layer 6a,MOp6a,844,right,all,24462,149.893,690.252,24462,149.893,690.252
Primary motor area/ Layer 6b,MOp6b,882,left,all,3666,118.911,878.607,3666,118.911,878.607
Primary motor area/ Layer 6b,MOp6b,882,right,all,1549,112.564,684.917,1549,112.564,684.917
Secondary motor area,MOs,993,left,all,135394,165.693,746.241,135394,165.693,746.241
Secondary motor area,MOs,993,right,all,112998,172.961,714.804,112998,172.961,714.804
Secondary motor area/ layer 1,MOs1,656,left,all,15757,219.023,914.784,15757,219.023,914.784
Secondary motor area/ layer 1,MOs1,656,right,all,16560,265.845,988.723,16560,265.845,988.723
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,39946,143.291,699.097,39946,143.291,699.097
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,30585,138.042,640.686,30585,138.042,640.686
Secondary motor area/ layer 5,MOs5,767,left,all,51009,176.984,743.818,51009,176.984,743.818
Secondary motor area/ layer 5,MOs5,767,right,all,44362,175.393,687.797,44362,175.393,687.797
Secondary motor area/ layer 6a,MOs6a,1021,left,all,27798,148.523,723.108,27798,148.523,723.108
Secondary motor area/ layer 6a,MOs6a,1021,right,all,20831,146.71,663.777,20831,146.71,663.777
Secondary motor area/ layer 6b,MOs6b,1085,left,all,884,115.858,739.531,884,115.858,739.531
Secondary motor area/ layer 6b,MOs6b,1085,right,all,660,125.594,702.412,660,125.594,702.412
Somatosensory areas,SS,453,left,all,416918,173.907,928.454,416918,173.907,928.454
Somatosensory areas,SS,453,right,all,242089,180.238,766.322,242089,180.238,766.322
Primary somatosensory area,SSp,322,left,all,302133,168.847,933.93,302133,168.847,933.93
Primary somatosensory area,SSp,322,right,all,159642,178.159,780.599,159642,178.159,780.599
Primary somatosensory area/ nose,SSp-n,353,left,all,39476,151.888,893.185,39476,151.888,893.185
Primary somatosensory area/ nose,SSp-n,353,right,all,23808,190.099,823.589,23808,190.099,823.589
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,4892,229.956,993.377,4892,229.956,993.377
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,4447,302.918,1068.24,4447,302.918,1068.24
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,8226,131.291,876.914,8226,131.291,876.914
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,4384,146.463,764.653,4384,146.463,764.653
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,8247,141.6,958.46,8247,141.6,958.46
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,3876,160.154,834.835,3876,160.154,834.835
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,7607,171.749,939.385,7607,171.749,939.385
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,4350,206.64,827.376,4350,206.64,827.376
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,9177,126.406,775.01,9177,126.406,775.01
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,6381,151.277,695.793,6381,151.277,695.793
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,1327,118.07,771.439,1327,118.07,771.439
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,370,139.894,623.154,370,139.894,623.154
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,76558,162.707,948.471,76558,162.707,948.471
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,33825,172.457,747.418,33825,172.457,747.418
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,5505,257.443,1069.07,5505,257.443,1069.07
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2374,271.763,976.15,2374,271.763,976.15
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,15495,171.546,963.807,15495,171.546,963.807
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,6704,186.93,780.409,6704,186.93,780.409
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,18593,132.832,968.579,18593,132.832,968.579
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,7357,172.622,757.203,7357,172.622,757.203
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,16724,175.958,969.399,16724,175.958,969.399
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,7448,148.073,697.588,7448,148.073,697.588
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,17651,146.141,868.209,17651,146.141,868.209
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,8895,155.927,699.143,8895,155.927,699.143
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,2590,150.266,867.905,2590,150.266,867.905
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1047,167.342,713.383,1047,167.342,713.383
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,18868,178.911,820.591,18868,178.911,820.591
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,15928,180.775,754.342,15928,180.775,754.342
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,22,238.812,1154.09,22,238.812,1154.09
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,76,307.865,1212.41,76,307.865,1212.41
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,3264,202.509,923.161,3264,202.509,923.161
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,2733,220.222,957.579,2733,220.222,957.579
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,3070,140.77,757.141,3070,140.77,757.141
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,1815,142.831,697.412,1815,142.831,697.412
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,6243,176.836,813.819,6243,176.836,813.819
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,4581,177.903,717.54,4581,177.903,717.54
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,5822,191.443,811.979,5822,191.443,811.979
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,6134,179.302,714.305,6134,179.302,714.305
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,447,131.369,697.72,447,131.369,697.72
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,589,135.957,630.818,589,135.957,630.818
Primary somatosensory area/ mouth,SSp-m,345,left,all,96296,180.53,985.719,96296,180.53,985.719
Primary somatosensory area/ mouth,SSp-m,345,right,all,45549,180.845,798.639,45549,180.845,798.639
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,10042,349.355,1234.5,10042,349.355,1234.5
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,6960,312.936,1037.93,6960,312.936,1037.93
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,21141,151.085,954.031,21141,151.085,954.031
