Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,125023,175.498,637.899,125023,175.498,637.899
Outside,,0,right,all,158551,173.063,606.407,158551,173.063,606.407
root,root,997,left,all,2170405,136.467,847.31,2170405,136.467,847.31
root,root,997,right,all,1710455,116.961,746.532,1710455,116.961,746.532
Basic cell groups and regions,grey,8,left,all,1902323,138.772,860.052,1902323,138.772,860.052
Basic cell groups and regions,grey,8,right,all,1461077,118.7,762.334,1461077,118.7,762.334
Cerebrum,CH,567,left,all,1114843,139.3,823.252,1114843,139.3,823.252
Cerebrum,CH,567,right,all,776090,113.151,694.242,776090,113.151,694.242
Cerebral cortex,CTX,688,left,all,886893,147.192,821.505,886893,147.192,821.505
Cerebral cortex,CTX,688,right,all,629290,117.209,695.113,629290,117.209,695.113
Cortical plate,CTXpl,695,left,all,855965,147.837,824.35,855965,147.837,824.35
Cortical plate,CTXpl,695,right,all,604974,117.612,698.703,604974,117.612,698.703
Isocortex,Isocortex,315,left,all,540070,144.432,816.427,540070,144.432,816.427
Isocortex,Isocortex,315,right,all,355185,112.069,691.517,355185,112.069,691.517
Frontal pole/ cerebral cortex,FRP,184,left,all,4217,176.957,805.918,4217,176.957,805.918
Frontal pole/ cerebral cortex,FRP,184,right,all,2981,127.881,702.072,2981,127.881,702.072
Frontal pole/ layer 1,FRP1,68,left,all,741,191.55,663.104,741,191.55,663.104
Frontal pole/ layer 1,FRP1,68,right,all,604,128.696,633.465,604,128.696,633.465
Frontal pole/ layer 2/3,FRP2/3,667,left,all,991,161.434,764.166,991,161.434,764.166
Frontal pole/ layer 2/3,FRP2/3,667,right,all,786,123.126,674.567,786,123.126,674.567
Frontal pole/ layer 5,FRP5,526157192,left,all,1825,186.172,873.652,1825,186.172,873.652
Frontal pole/ layer 5,FRP5,526157192,right,all,1254,135.624,769.565,1254,135.624,769.565
Frontal pole/ layer 6a,FRP6a,526157196,left,all,656,158.968,842.387,656,158.968,842.387
Frontal pole/ layer 6a,FRP6a,526157196,right,all,337,108.699,638.045,337,108.699,638.045
Frontal pole/ layer 6b,FRP6b,526322264,left,all,4,65.6475,722.25,4,65.6475,722.25
Frontal pole/ layer 6b,FRP6b,526322264,right,all,0,0,0,0,0,0
Somatomotor areas,MO,500,left,all,105413,147.07,792.151,105413,147.07,792.151
Somatomotor areas,MO,500,right,all,68321,115.672,688.165,68321,115.672,688.165
Primary motor area,MOp,985,left,all,48447,135.004,803.448,48447,135.004,803.448
Primary motor area,MOp,985,right,all,31361,110.734,678.487,31361,110.734,678.487
Primary motor area/ Layer 1,MOp1,320,left,all,2847,133.278,641.488,2847,133.278,641.488
Primary motor area/ Layer 1,MOp1,320,right,all,2130,104.181,581.085,2130,104.181,581.085
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,15320,126.634,772.772,15320,126.634,772.772
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,9337,110.666,671.471,9337,110.666,671.471
Primary motor area/ Layer 5,MOp5,648,left,all,14698,176.963,924.046,14698,176.963,924.046
Primary motor area/ Layer 5,MOp5,648,right,all,8764,136.438,774.417,8764,136.438,774.417
Primary motor area/ Layer 6a,MOp6a,844,left,all,13776,106.98,753.553,13776,106.98,753.553
Primary motor area/ Layer 6a,MOp6a,844,right,all,9779,94.0693,632.327,9779,94.0693,632.327
Primary motor area/ Layer 6b,MOp6b,882,left,all,1806,81.0139,718.105,1806,81.0139,718.105
Primary motor area/ Layer 6b,MOp6b,882,right,all,1351,75.4164,592.369,1351,75.4164,592.369
Secondary motor area,MOs,993,left,all,56966,157.331,782.543,56966,157.331,782.543
Secondary motor area,MOs,993,right,all,36960,119.862,696.377,36960,119.862,696.377
Secondary motor area/ layer 1,MOs1,656,left,all,6153,173.865,706.168,6153,173.865,706.168
Secondary motor area/ layer 1,MOs1,656,right,all,4213,132.521,629.691,4213,132.521,629.691
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,16259,128.232,716.72,16259,128.232,716.72
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,11462,107.82,661.662,11462,107.82,661.662
Secondary motor area/ layer 5,MOs5,767,left,all,22673,182.332,858.326,22673,182.332,858.326
Secondary motor area/ layer 5,MOs5,767,right,all,14250,135.879,765.659,14250,135.879,765.659
Secondary motor area/ layer 6a,MOs6a,1021,left,all,11600,142.353,770.354,11600,142.353,770.354
Secondary motor area/ layer 6a,MOs6a,1021,right,all,6841,100.159,654.265,6841,100.159,654.265
Secondary motor area/ layer 6b,MOs6b,1085,left,all,281,80.0168,652.046,281,80.0168,652.046
Secondary motor area/ layer 6b,MOs6b,1085,right,all,194,74.763,591.706,194,74.763,591.706
Somatosensory areas,SS,453,left,all,161852,148.038,877.605,161852,148.038,877.605
Somatosensory areas,SS,453,right,all,92404,113.52,722.395,92404,113.52,722.395
Primary somatosensory area,SSp,322,left,all,116495,147.49,885.2,116495,147.49,885.2
Primary somatosensory area,SSp,322,right,all,66809,112.655,722.943,66809,112.655,722.943
Primary somatosensory area/ nose,SSp-n,353,left,all,17947,163.088,980.857,17947,163.088,980.857
Primary somatosensory area/ nose,SSp-n,353,right,all,8811,127.303,812.649,8811,127.303,812.649
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,1888,195.051,795.916,1888,195.051,795.916
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,869,158.023,700.974,869,158.023,700.974
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,3102,153.782,975.088,3102,153.782,975.088
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,1559,123.638,813.275,1559,123.638,813.275
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,3252,178.673,1148.98,3252,178.673,1148.98
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,1549,131.787,919.662,1549,131.787,919.662
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,3414,210.005,1138.89,3414,210.005,1138.89
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,1711,158.463,946.765,1711,158.463,946.765
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,5716,125.459,867.456,5716,125.459,867.456
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,2727,104.867,732.636,2727,104.867,732.636
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,575,115.702,857.412,575,115.702,857.412
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,396,76.6351,608.169,396,76.6351,608.169
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,27711,143.848,824.352,27711,143.848,824.352
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,16156,114.018,697.985,16156,114.018,697.985
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,2330,142.629,678.681,2330,142.629,678.681
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,1344,112.37,593.167,1344,112.37,593.167
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,6138,142.224,809.971,6138,142.224,809.971
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,3084,115.201,709.68,3084,115.201,709.68
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,5768,165.919,941.475,5768,165.919,941.475
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,2768,118.859,792.889,2768,118.859,792.889
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,5652,176.677,924.823,5652,176.677,924.823
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,3172,149.798,827.415,3172,149.798,827.415
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,6850,108.693,726.65,6850,108.693,726.65
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,4613,96.3122,618.432,4613,96.3122,618.432
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,973,82.9688,673.799,973,82.9688,673.799
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1175,74.3207,526.524,1175,74.3207,526.524
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,11296,142.497,795.399,11296,142.497,795.399
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,7927,104.303,706.854,7927,104.303,706.854
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,720,148.538,688.572,720,148.538,688.572
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,243,124.017,642.761,243,124.017,642.761
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,2622,117.098,724.371,2622,117.098,724.371
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,1389,96.8906,667.356,1389,96.8906,667.356
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,1318,130.927,836.021,1318,130.927,836.021
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,678,108.305,766.441,678,108.305,766.441
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,2977,222.283,979.372,2977,222.283,979.372
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,1745,155.034,892.279,1745,155.034,892.279
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,3085,103.53,711.395,3085,103.53,711.395
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,3133,83.6089,639.65,3133,83.6089,639.65
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,574,73.1352,657.899,574,73.1352,657.899
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,739,76.0283,594.567,739,76.0283,594.567
Primary somatosensory area/ mouth,SSp-m,345,left,all,28399,149.971,960.352,28399,149.971,960.352
Primary somatosensory area/ mouth,SSp-m,345,right,all,14455,115.066,733.125,14455,115.066,733.125
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,2340,174.231,739.695,2340,174.231,739.695
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,1399,107.36,582.167,1399,107.36,582.167
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,6080,137.613,920.239,6080,137.613,920.239
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,3011,110.052,720.642,3011,110.052,720.642
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,4571,168.584,1106.67,4571,168.584,1106.67
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,2212,121.701,797.306,2212,121.701,797.306
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,5671,185.648,1105.92,5671,185.648,1105.92
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,2995,136.813,837.208,2995,136.813,837.208
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,9053,124.149,882.974,9053,124.149,882.974
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,4338,107.143,701.418,4338,107.143,701.418
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,684,98.3872,911.225,684,98.3872,911.225
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,500,75.9376,598.39,500,75.9376,598.39
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,19383,142.49,886.15,19383,142.49,886.15
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,12557,104.658,711.681,12557,104.658,711.681
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,1465,163.555,737.974,1465,163.555,737.974
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,571,99.0434,596.72,571,99.0434,596.72
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,4053,138.189,863.092,4053,138.189,863.092
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,2353,105.754,719.232,2353,105.754,719.232
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,2762,163.432,1015.93,2762,163.432,1015.93
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,1485,122.188,811.998,1485,122.188,811.998
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,4102,192.614,1030.51,4102,192.614,1030.51
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,2360,150.696,873.291,2360,150.696,873.291
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,6328,104.628,796.846,6328,104.628,796.846
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,4840,83.6335,633.294,4840,83.6335,633.294
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,673,87.0815,774.753,673,87.0815,774.753
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,948,70.596,602.924,948,70.596,602.924
Primary somatosensory area/ trunk,SSp-tr,361,left,all,5542,127.174,678.522,5542,127.174,678.522
Primary somatosensory area/ trunk,SSp-tr,361,right,all,3039,106.882,649.736,3039,106.882,649.736
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,381,105.251,533.1,381,105.251,533.1
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,214,89.3277,540.509,214,89.3277,540.509
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,1825,110.361,622.559,1825,110.361,622.559
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,787,96.8625,606.235,787,96.8625,606.235
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,651,124.615,698.891,651,124.615,698.891
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,297,93.1681,632.071,297,93.1681,632.071
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,1576,172.682,791.339,1576,172.682,791.339
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,1014,130.582,744.848,1014,130.582,744.848
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,978,101.258,645.582,978,101.258,645.582
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,585,97.7294,602.142,585,97.7294,602.142
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,131,83.8901,668.565,131,83.8901,668.565
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,142,86.0054,609.282,142,86.0054,609.282
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,6217,150.131,881.423,6217,150.131,881.423
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,3864,112.2,711.835,3864,112.2,711.835
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,589,172.143,738.902,589,172.143,738.902
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,230,121.988,664.122,230,121.988,664.122
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,1342,133.649,841.048,1342,133.649,841.048
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,701,105.464,708.29,701,105.464,708.29
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,999,158.88,988.325,999,158.88,988.325
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,516,117.385,781.174,516,117.385,781.174
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,1364,206.553,1038.08,1364,206.553,1038.08
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,771,157.572,861.132,771,157.572,861.132
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,1736,112.963,790.033,1736,112.963,790.033
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,1397,94.5347,637.958,1397,94.5347,637.958
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,187,85.8401,754.679,187,85.8401,754.679
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,249,70.0035,574.406,249,70.0035,574.406
Supplemental somatosensory area,SSs,378,left,all,45357,149.445,858.1,45357,149.445,858.1
Supplemental somatosensory area,SSs,378,right,all,25595,115.778,720.966,25595,115.778,720.966
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,4059,185.466,710.858,4059,185.466,710.858
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,2445,122.458,615.566,2445,122.458,615.566
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,9321,133.05,841.339,9321,133.05,841.339
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,right,all,5201,105.868,717.275,5201,105.868,717.275
Supplemental somatosensory area/ layer 4,SSs4,1035,left,all,5447,147.093,959.964,5447,147.093,959.964
Supplemental somatosensory area/ layer 4,SSs4,1035,right,all,3070,116.931,786.204,3070,116.931,786.204
Supplemental somatosensory area/ layer 5,SSs5,1090,left,all,11429,175.707,935.629,11429,175.707,935.629
Supplemental somatosensory area/ layer 5,SSs5,1090,right,all,6341,135.007,798.493,6341,135.007,798.493
Supplemental somatosensory area/ layer 6a,SSs6a,862,left,all,13020,134.902,820.183,13020,134.902,820.183
