Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,2039,128.421,1165.85,2039,128.421,1165.85
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,6315,103.155,980.809,6315,103.155,980.809
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,4147,90.3761,948.843,4147,90.3761,948.843
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,859,103.478,983.774,859,103.478,983.774
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,734,79.5375,914.544,734,79.5375,914.544
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,45013,134.363,1143.67,45013,134.363,1143.67
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,32450,99.7025,989.071,32450,99.7025,989.071
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,3585,150.233,875.815,3585,150.233,875.815
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2486,103.898,826.142,2486,103.898,826.142
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,8608,117.472,1097.42,8608,117.472,1097.42
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,6509,89.4181,1010.32,6509,89.4181,1010.32
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,9568,141.865,1336.54,9568,141.865,1336.54
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,5854,110.048,1144.76,5854,110.048,1144.76
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,7903,178.602,1326.49,7903,178.602,1326.49
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,4682,121.338,1139.56,4682,121.338,1139.56
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,13643,111.5,1021.97,13643,111.5,1021.97
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,10364,89.806,897.428,10364,89.806,897.428
