Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,152174,323.822,991.604,152174,323.822,991.604
Outside,,0,right,all,166673,261.545,837.751,166673,261.545,837.751
root,root,997,left,all,3035773,271.095,1118.19,3035773,271.095,1118.19
root,root,997,right,all,2228842,246.169,976.83,2228842,246.169,976.83
Basic cell groups and regions,grey,8,left,all,2813013,273.136,1120.27,2813013,273.136,1120.27
Basic cell groups and regions,grey,8,right,all,2053272,247.064,979.869,2053272,247.064,979.869
Cerebrum,CH,567,left,all,1874550,280.082,1075.55,1874550,280.082,1075.55
Cerebrum,CH,567,right,all,1362253,250.784,923.923,1362253,250.784,923.923
Cerebral cortex,CTX,688,left,all,1697860,286.732,1084.82,1697860,286.732,1084.82
Cerebral cortex,CTX,688,right,all,1251467,254.899,931.38,1251467,254.899,931.38
Cortical plate,CTXpl,695,left,all,1641400,287.882,1089.31,1641400,287.882,1089.31
Cortical plate,CTXpl,695,right,all,1206463,255.973,934.204,1206463,255.973,934.204
Isocortex,Isocortex,315,left,all,1154055,294.038,1111.16,1154055,294.038,1111.16
Isocortex,Isocortex,315,right,all,828947,257.765,944.356,828947,257.765,944.356
Frontal pole/ cerebral cortex,FRP,184,left,all,7202,272.867,940.046,7202,272.867,940.046
Frontal pole/ cerebral cortex,FRP,184,right,all,6511,236.317,825.287,6511,236.317,825.287
Frontal pole/ layer 1,FRP1,68,left,all,1730,310.717,951.831,1730,310.717,951.831
Frontal pole/ layer 1,FRP1,68,right,all,1882,260.929,879.439,1882,260.929,879.439
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1733,245.984,876.519,1733,245.984,876.519
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1480,211.489,769.259,1480,211.489,769.259
Frontal pole/ layer 5,FRP5,526157192,left,all,2947,281.601,995.092,2947,281.601,995.092
Frontal pole/ layer 5,FRP5,526157192,right,all,2473,236.794,830.31,2473,236.794,830.31
Frontal pole/ layer 6a,FRP6a,526157196,left,all,790,216.709,848.586,790,216.709,848.586
Frontal pole/ layer 6a,FRP6a,526157196,right,all,666,220.185,779.392,666,220.185,779.392
Frontal pole/ layer 6b,FRP6b,526322264,left,all,2,141.737,808.5,2,141.737,808.5
Frontal pole/ layer 6b,FRP6b,526322264,right,all,10,235.383,740.2,10,235.383,740.2
Somatomotor areas,MO,500,left,all,227850,305.056,1138.45,227850,305.056,1138.45
Somatomotor areas,MO,500,right,all,163049,268.786,981.632,163049,268.786,981.632
Primary motor area,MOp,985,left,all,116686,318.868,1205.72,116686,318.868,1205.72
Primary motor area,MOp,985,right,all,76515,281.49,1026.84,76515,281.49,1026.84
Primary motor area/ Layer 1,MOp1,320,left,all,11801,408.01,1234.07,11801,408.01,1234.07
Primary motor area/ Layer 1,MOp1,320,right,all,9305,301.483,1001.11,9305,301.483,1001.11
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,42960,298.559,1152.58,42960,298.559,1152.58
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,25694,267.361,996.269,25694,267.361,996.269
Primary motor area/ Layer 5,MOp5,648,left,all,39937,362.571,1358.51,39937,362.571,1358.51
Primary motor area/ Layer 5,MOp5,648,right,all,23865,327.97,1171.3,23865,327.97,1171.3
Primary motor area/ Layer 6a,MOp6a,844,left,all,21186,232.96,1018.01,21186,232.96,1018.01
Primary motor area/ Layer 6a,MOp6a,844,right,all,17462,229.034,891.155,17462,229.034,891.155
Primary motor area/ Layer 6b,MOp6b,882,left,all,802,188.112,984.665,802,188.112,984.665
Primary motor area/ Layer 6b,MOp6b,882,right,all,189,195.634,744.026,189,195.634,744.026
Secondary motor area,MOs,993,left,all,111164,290.558,1067.84,111164,290.558,1067.84
Secondary motor area,MOs,993,right,all,86534,257.552,941.658,86534,257.552,941.658
Secondary motor area/ layer 1,MOs1,656,left,all,18779,339.852,1082.32,18779,339.852,1082.32
Secondary motor area/ layer 1,MOs1,656,right,all,15080,283.737,961.833,15080,283.737,961.833
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,33970,267.041,1007.16,33970,267.041,1007.16
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,25332,228.564,870.068,25332,228.564,870.068
Secondary motor area/ layer 5,MOs5,767,left,all,40808,310.856,1149.62,40808,310.856,1149.62
Secondary motor area/ layer 5,MOs5,767,right,all,30805,283.003,1022.85,30805,283.003,1022.85
Secondary motor area/ layer 6a,MOs6a,1021,left,all,17469,236.903,980.794,17469,236.903,980.794
Secondary motor area/ layer 6a,MOs6a,1021,right,all,15223,228.652,877.72,15223,228.652,877.72
Secondary motor area/ layer 6b,MOs6b,1085,left,all,138,161.31,870.986,138,161.31,870.986
Secondary motor area/ layer 6b,MOs6b,1085,right,all,94,208.896,746.149,94,208.896,746.149
Somatosensory areas,SS,453,left,all,351368,304.699,1184.73,351368,304.699,1184.73
Somatosensory areas,SS,453,right,all,225792,261.08,959.093,225792,261.08,959.093
Primary somatosensory area,SSp,322,left,all,259880,313.085,1232.4,259880,313.085,1232.4
Primary somatosensory area,SSp,322,right,all,163902,266.015,981.861,163902,266.015,981.861
Primary somatosensory area/ nose,SSp-n,353,left,all,31703,308.525,1282.58,31703,308.525,1282.58
Primary somatosensory area/ nose,SSp-n,353,right,all,19782,258.308,937.802,19782,258.308,937.802
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,4428,416.058,1214.79,4428,416.058,1214.79
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,2732,214.198,721.224,2732,214.198,721.224
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,7079,266.656,1224.52,7079,266.656,1224.52
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,4371,249.42,960.599,4371,249.42,960.599
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,6434,302.787,1438.7,6434,302.787,1438.7
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,3530,283.062,1053.19,3530,283.062,1053.19
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,6494,360.769,1463.26,6494,360.769,1463.26
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,3810,340.417,1119.71,3810,340.417,1119.71
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,6998,245.087,1083.29,6998,245.087,1083.29
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,4918,212.549,831.957,4918,212.549,831.957
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,270,167.18,1016.26,270,167.18,1016.26
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,421,220.75,729.302,421,220.75,729.302
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,64871,308.06,1110.34,64871,308.06,1110.34
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,40762,266.245,972.872,40762,266.245,972.872
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,10855,357.48,1099.83,10855,357.48,1099.83
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,4625,249.04,804.299,4625,249.04,804.299
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,15302,270.187,1053.73,15302,270.187,1053.73
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,9294,253.728,967.349,9294,253.728,967.349
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,13812,375.076,1293.84,13812,375.076,1293.84
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,8462,317.026,1139.75,8462,317.026,1139.75
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,13352,307.357,1157.17,13352,307.357,1157.17
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,8002,305.5,1096.73,8002,305.5,1096.73
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,10490,237.415,929.771,10490,237.415,929.771
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,9668,215.33,826.47,9668,215.33,826.47
