Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,122367,177.829,577.492,122367,177.829,577.492
Outside,,0,right,all,163222,180.404,559.734,163222,180.404,559.734
root,root,997,left,all,4872843,148.547,768.509,4872843,148.547,768.509
root,root,997,right,all,4292967,137.129,684.983,4292967,137.129,684.983
Basic cell groups and regions,grey,8,left,all,4403377,150.666,774.772,4403377,150.666,774.772
Basic cell groups and regions,grey,8,right,all,3862173,138.842,692.374,3862173,138.842,692.374
Cerebrum,CH,567,left,all,2732749,153.818,733.518,2732749,153.818,733.518
Cerebrum,CH,567,right,all,2334483,139.521,642.787,2334483,139.521,642.787
Cerebral cortex,CTX,688,left,all,2278442,163.15,743.396,2278442,163.15,743.396
Cerebral cortex,CTX,688,right,all,1924981,148.666,653.066,1924981,148.666,653.066
Cortical plate,CTXpl,695,left,all,2184489,163.943,745.01,2184489,163.943,745.01
Cortical plate,CTXpl,695,right,all,1843382,149.368,655.968,1843382,149.368,655.968
Isocortex,Isocortex,315,left,all,1300334,166.339,748.851,1300334,166.339,748.851
Isocortex,Isocortex,315,right,all,1047982,149.752,659.105,1047982,149.752,659.105
Frontal pole/ cerebral cortex,FRP,184,left,all,8935,147.393,621.575,8935,147.393,621.575
Frontal pole/ cerebral cortex,FRP,184,right,all,9011,146.734,620.187,9011,146.734,620.187
Frontal pole/ layer 1,FRP1,68,left,all,1351,153.666,486.583,1351,153.666,486.583
Frontal pole/ layer 1,FRP1,68,right,all,1440,130.536,490.501,1440,130.536,490.501
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2478,136.879,574.708,2478,136.879,574.708
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2678,135.142,576.844,2678,135.142,576.844
Frontal pole/ layer 5,FRP5,526157192,left,all,3794,148.529,657.844,3794,148.529,657.844
Frontal pole/ layer 5,FRP5,526157192,right,all,3830,164.359,685.431,3830,164.359,685.431
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1305,157.721,744.775,1305,157.721,744.775
Frontal pole/ layer 6a,FRP6a,526157196,right,all,1063,134.374,669.988,1063,134.374,669.988
Frontal pole/ layer 6b,FRP6b,526322264,left,all,7,117.814,640.143,7,117.814,640.143
Frontal pole/ layer 6b,FRP6b,526322264,right,all,0,0,0,0,0,0
Somatomotor areas,MO,500,left,all,273880,181.87,751.952,273880,181.87,751.952
Somatomotor areas,MO,500,right,all,220177,162.762,687.638,220177,162.762,687.638
Primary motor area,MOp,985,left,all,139723,184.193,778.717,139723,184.193,778.717
Primary motor area,MOp,985,right,all,100470,158.763,683.608,100470,158.763,683.608
Primary motor area/ Layer 1,MOp1,320,left,all,9509,150.195,620.082,9509,150.195,620.082
Primary motor area/ Layer 1,MOp1,320,right,all,8938,132.047,570.291,8938,132.047,570.291
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,50705,176.728,764.849,50705,176.728,764.849
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,34411,152.612,674.591,34411,152.612,674.591
Primary motor area/ Layer 5,MOp5,648,left,all,46874,229.449,880.804,46874,229.449,880.804
Primary motor area/ Layer 5,MOp5,648,right,all,28922,189.373,759.338,28922,189.373,759.338
Primary motor area/ Layer 6a,MOp6a,844,left,all,30940,142.548,699.922,30940,142.548,699.922
Primary motor area/ Layer 6a,MOp6a,844,right,all,27273,143.957,654.698,27273,143.957,654.698
Primary motor area/ Layer 6b,MOp6b,882,left,all,1695,106.904,698.651,1695,106.904,698.651
