Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,82872,195.038,564.158,82872,195.038,564.158
Outside,,0,right,all,96210,168.464,506.499,96210,168.464,506.499
root,root,997,left,all,3259924,157.382,687.842,3259924,157.382,687.842
root,root,997,right,all,2755809,147.204,622.468,2755809,147.204,622.468
Basic cell groups and regions,grey,8,left,all,2992220,158.531,688.161,2992220,158.531,688.161
Basic cell groups and regions,grey,8,right,all,2523457,148.297,623.711,2523457,148.297,623.711
Cerebrum,CH,567,left,all,1999010,157.995,642.788,1999010,157.995,642.788
Cerebrum,CH,567,right,all,1656743,149.064,577.829,1656743,149.064,577.829
Cerebral cortex,CTX,688,left,all,1782345,163.008,645.563,1782345,163.008,645.563
Cerebral cortex,CTX,688,right,all,1474747,153.791,580.305,1474747,153.791,580.305
Cortical plate,CTXpl,695,left,all,1724270,164.031,646.249,1724270,164.031,646.249
Cortical plate,CTXpl,695,right,all,1413134,154.821,581.056,1413134,154.821,581.056
Isocortex,Isocortex,315,left,all,1179940,165.673,638.782,1179940,165.673,638.782
Isocortex,Isocortex,315,right,all,861682,153.062,568.796,861682,153.062,568.796
Frontal pole/ cerebral cortex,FRP,184,left,all,9599,142.341,518.699,9599,142.341,518.699
Frontal pole/ cerebral cortex,FRP,184,right,all,7358,139.891,489.235,7358,139.891,489.235
Frontal pole/ layer 1,FRP1,68,left,all,1967,136.199,454.915,1967,136.199,454.915
Frontal pole/ layer 1,FRP1,68,right,all,1545,144.774,436.574,1545,144.774,436.574
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2740,131.27,501.975,2740,131.27,501.975
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1983,118.306,453.107,1983,118.306,453.107
Frontal pole/ layer 5,FRP5,526157192,left,all,3918,155.926,561.091,3918,155.926,561.091
Frontal pole/ layer 5,FRP5,526157192,right,all,2990,154.635,530.384,2990,154.635,530.384
Frontal pole/ layer 6a,FRP6a,526157196,left,all,971,131.276,524.161,971,131.276,524.161
Frontal pole/ layer 6a,FRP6a,526157196,right,all,838,129.425,524.951,838,129.425,524.951
