Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,102313,311.611,846.382,102313,311.611,846.382
Outside,,0,right,all,96596,297.242,820.218,96596,297.242,820.218
root,root,997,left,all,1874983,309.302,1120.51,1874983,309.302,1120.51
root,root,997,right,all,1347432,291.454,1013.8,1347432,291.454,1013.8
Basic cell groups and regions,grey,8,left,all,1747367,311.736,1124.18,1747367,311.736,1124.18
Basic cell groups and regions,grey,8,right,all,1251862,293.671,1018.77,1251862,293.671,1018.77
Cerebrum,CH,567,left,all,1133636,311.831,1025.06,1133636,311.831,1025.06
Cerebrum,CH,567,right,all,802285,292.814,913.137,802285,292.814,913.137
Cerebral cortex,CTX,688,left,all,1033633,316.801,1028.58,1033633,316.801,1028.58
Cerebral cortex,CTX,688,right,all,735290,296.712,913.632,735290,296.712,913.632
Cortical plate,CTXpl,695,left,all,993085,317.585,1027.83,993085,317.585,1027.83
Cortical plate,CTXpl,695,right,all,715335,297.302,914.915,715335,297.302,914.915
Isocortex,Isocortex,315,left,all,684336,316.466,1022.62,684336,316.466,1022.62
Isocortex,Isocortex,315,right,all,498791,292.508,903.241,498791,292.508,903.241
Frontal pole/ cerebral cortex,FRP,184,left,all,5468,281.149,797.316,5468,281.149,797.316
Frontal pole/ cerebral cortex,FRP,184,right,all,4001,261.588,737.736,4001,261.588,737.736
Frontal pole/ layer 1,FRP1,68,left,all,776,270.321,676.653,776,270.321,676.653
Frontal pole/ layer 1,FRP1,68,right,all,1047,241.66,623.036,1047,241.66,623.036
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1569,264.325,740.488,1569,264.325,740.488
Frontal pole/ layer 2/3,FRP2/3,667,right,all,837,254.081,688.655,837,254.081,688.655
Frontal pole/ layer 5,FRP5,526157192,left,all,2618,300.23,856.605,2618,300.23,856.605
Frontal pole/ layer 5,FRP5,526157192,right,all,1748,279.656,813.452,1748,279.656,813.452
Frontal pole/ layer 6a,FRP6a,526157196,left,all,505,251.14,851.929,505,251.14,851.929
Frontal pole/ layer 6a,FRP6a,526157196,right,all,368,249.27,816.255,368,249.27,816.255
Frontal pole/ layer 6b,FRP6b,526322264,left,all,0,0,0,0,0,0
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,358.756,662,1,358.756,662
Somatomotor areas,MO,500,left,all,146425,326.296,1010.3,146425,326.296,1010.3
Somatomotor areas,MO,500,right,all,109094,300.333,926.109,109094,300.333,926.109
