Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,87340,4983.01,508.662,87340,4983.01,508.662
Outside,,0,right,all,178063,5616.82,522.816,178063,5616.82,522.816
root,root,997,left,all,1929685,4107.7,513.655,1929685,4107.7,513.655
root,root,997,right,all,1579358,4126.11,473.832,1579358,4126.11,473.832
Basic cell groups and regions,grey,8,left,all,1756189,4120.21,513.319,1756189,4120.21,513.319
Basic cell groups and regions,grey,8,right,all,1418872,4117.26,471.563,1418872,4117.26,471.563
Cerebrum,CH,567,left,all,1022805,4081.69,466.017,1022805,4081.69,466.017
Cerebrum,CH,567,right,all,772539,4111.11,428.622,772539,4111.11,428.622
Cerebral cortex,CTX,688,left,all,893567,4145.91,463.206,893567,4145.91,463.206
Cerebral cortex,CTX,688,right,all,662623,4165.51,425.63,662623,4165.51,425.63
Cortical plate,CTXpl,695,left,all,869828,4162.35,464.655,869828,4162.35,464.655
Cortical plate,CTXpl,695,right,all,640297,4177.59,427.191,640297,4177.59,427.191
Isocortex,Isocortex,315,left,all,537407,4115.17,458.152,537407,4115.17,458.152
Isocortex,Isocortex,315,right,all,359148,4104.87,409.312,359148,4104.87,409.312
Frontal pole/ cerebral cortex,FRP,184,left,all,2403,3262.79,354.743,2403,3262.79,354.743
Frontal pole/ cerebral cortex,FRP,184,right,all,1856,3240.07,358.653,1856,3240.07,358.653
Frontal pole/ layer 1,FRP1,68,left,all,617,3152.79,362.12,617,3152.79,362.12
Frontal pole/ layer 1,FRP1,68,right,all,690,3358.26,404.562,690,3358.26,404.562
Frontal pole/ layer 2/3,FRP2/3,667,left,all,377,2957.19,348.016,377,2957.19,348.016
Frontal pole/ layer 2/3,FRP2/3,667,right,all,388,3103.71,341.647,388,3103.71,341.647
Frontal pole/ layer 5,FRP5,526157192,left,all,1027,3370.37,352.891,1027,3370.37,352.891
Frontal pole/ layer 5,FRP5,526157192,right,all,665,3222.7,329.466,665,3222.7,329.466
Frontal pole/ layer 6a,FRP6a,526157196,left,all,378,3455.77,354.042,378,3455.77,354.042
Frontal pole/ layer 6a,FRP6a,526157196,right,all,107,3082.65,306.841,107,3082.65,306.841
Frontal pole/ layer 6b,FRP6b,526322264,left,all,4,3174.36,392.5,4,3174.36,392.5
Frontal pole/ layer 6b,FRP6b,526322264,right,all,6,3199.95,337.667,6,3199.95,337.667
Somatomotor areas,MO,500,left,all,115768,4032.49,447.678,115768,4032.49,447.678
Somatomotor areas,MO,500,right,all,65709,3836.04,405.282,65709,3836.04,405.282
Primary motor area,MOp,985,left,all,54019,4222.4,471.689,54019,4222.4,471.689
Primary motor area,MOp,985,right,all,29132,3931.15,400.486,29132,3931.15,400.486
Primary motor area/ Layer 1,MOp1,320,left,all,9693,5517.39,594.08,9693,5517.39,594.08
Primary motor area/ Layer 1,MOp1,320,right,all,4338,4056.43,486.289,4338,4056.43,486.289
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,13579,3628.1,431.122,13579,3628.1,431.122
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,7552,3800.34,375.468,7552,3800.34,375.468
Primary motor area/ Layer 5,MOp5,648,left,all,22672,4302.42,458.779,22672,4302.42,458.779
Primary motor area/ Layer 5,MOp5,648,right,all,11484,4152.63,399.095,11484,4152.63,399.095
Primary motor area/ Layer 6a,MOp6a,844,left,all,7755,3440.21,426.779,7755,3440.21,426.779
Primary motor area/ Layer 6a,MOp6a,844,right,all,5584,3557.59,369.866,5584,3557.59,369.866
Primary motor area/ Layer 6b,MOp6b,882,left,all,320,3501.73,488.834,320,3501.73,488.834
Primary motor area/ Layer 6b,MOp6b,882,right,all,174,3856.2,421.586,174,3856.2,421.586
Secondary motor area,MOs,993,left,all,61749,3866.35,426.673,61749,3866.35,426.673
Secondary motor area,MOs,993,right,all,36577,3760.28,409.102,36577,3760.28,409.102
Secondary motor area/ layer 1,MOs1,656,left,all,12203,4254.21,526.957,12203,4254.21,526.957
Secondary motor area/ layer 1,MOs1,656,right,all,11633,4055,484.767,11633,4055,484.767
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,11695,3332.17,375.83,11695,3332.17,375.83
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,6451,3327.86,359.675,6451,3327.86,359.675
Secondary motor area/ layer 5,MOs5,767,left,all,28768,4025.05,412.23,28768,4025.05,412.23
Secondary motor area/ layer 5,MOs5,767,right,all,13591,3796.39,381.882,13591,3796.39,381.882
Secondary motor area/ layer 6a,MOs6a,1021,left,all,8967,3528.88,402.67,8967,3528.88,402.67
Secondary motor area/ layer 6a,MOs6a,1021,right,all,4815,3525.91,369.978,4815,3525.91,369.978
Secondary motor area/ layer 6b,MOs6b,1085,left,all,116,3650.69,440.112,116,3650.69,440.112
Secondary motor area/ layer 6b,MOs6b,1085,right,all,87,3747.84,374.057,87,3747.84,374.057
Somatosensory areas,SS,453,left,all,161940,4230.83,482.617,161940,4230.83,482.617
Somatosensory areas,SS,453,right,all,102814,4335.25,419.282,102814,4335.25,419.282
Primary somatosensory area,SSp,322,left,all,113843,4145.58,488.545,113843,4145.58,488.545
Primary somatosensory area,SSp,322,right,all,70596,4342.51,427.015,70596,4342.51,427.015
Primary somatosensory area/ nose,SSp-n,353,left,all,14394,4067.13,449.479,14394,4067.13,449.479
Primary somatosensory area/ nose,SSp-n,353,right,all,9182,4304.58,425.27,9182,4304.58,425.27
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,2657,4351.41,488.884,2657,4351.41,488.884
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,2271,4989.97,509.201,2271,4989.97,509.201
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,1774,4045.11,425.554,1774,4045.11,425.554
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,1124,4294.94,398.508,1124,4294.94,398.508
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,3360,4235.41,459.13,3360,4235.41,459.13
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,1642,4183.35,425.249,1642,4183.35,425.249
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,3411,4309.96,457.099,3411,4309.96,457.099
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,2396,4245.46,410.235,2396,4245.46,410.235
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,2743,3423.09,404.718,2743,3423.09,404.718
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,1611,3639.7,357.338,1611,3639.7,357.338
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,449,3302.47,454.171,449,3302.47,454.171
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,138,3334.38,316.384,138,3334.38,316.384
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,30627,4056.47,500.634,30627,4056.47,500.634
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,15272,4033.61,382.385,15272,4033.61,382.385
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,6254,4603.53,605.116,6254,4603.53,605.116
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,1540,4330.01,453.847,1540,4330.01,453.847
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,4443,3958.69,461.18,4443,3958.69,461.18
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,2449,3881.48,361.944,2449,3881.48,361.944
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,8880,4157.39,486.827,8880,4157.39,486.827
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,4695,4221.69,391.247,4695,4221.69,391.247
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,5761,4062.61,475.911,5761,4062.61,475.911
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,3605,4130.01,376.397,3605,4130.01,376.397
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,4508,3289.23,451.994,4508,3289.23,451.994
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,2753,3574.65,352.293,2753,3574.65,352.293
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,781,3467.99,508.52,781,3467.99,508.52
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,230,3812.47,394.678,230,3812.47,394.678
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,7838,4056.47,455.218,7838,4056.47,455.218
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,4838,3980.42,406.098,4838,3980.42,406.098
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,1794,4067.46,576.604,1794,4067.46,576.604
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,1285,3677.94,494.3,1285,3677.94,494.3
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,1166,3836.21,394.16,1166,3836.21,394.16
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,642,4071.26,353.399,642,4071.26,353.399
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,1130,4213.95,422.998,1130,4213.95,422.998
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,862,4455.35,387.59,862,4455.35,387.59
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,2301,4367.67,428.32,2301,4367.67,428.32
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,1334,4294.83,378.665,1334,4294.83,378.665
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,1329,3537.94,419.907,1329,3537.94,419.907
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,641,3206.22,364.145,641,3206.22,364.145
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,118,4329.72,443.797,118,4329.72,443.797
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,74,3950.89,405.189,74,3950.89,405.189
Primary somatosensory area/ mouth,SSp-m,345,left,all,37284,4466.12,516.103,37284,4466.12,516.103
Primary somatosensory area/ mouth,SSp-m,345,right,all,25596,4769.3,464.181,25596,4769.3,464.181
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,8482,6439.38,605.116,8482,6439.38,605.116
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,7154,6113.84,554.081,7154,6113.84,554.081
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,5807,3679.87,482.589,5807,3679.87,482.589
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,3223,4026.65,418.81,3223,4026.65,418.81
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,7571,3960.26,509.736,7571,3960.26,509.736
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,4019,4446.42,454.344,4019,4446.42,454.344
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,9740,4115.63,506.022,9740,4115.63,506.022
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,6151,4497.49,450.879,6151,4497.49,450.879
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,5431,3594.13,441.005,5431,3594.13,441.005
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,4825,3952.69,389.356,4825,3952.69,389.356
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,253,3707.64,491.866,253,3707.64,491.866
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,224,3360.19,399.353,224,3360.19,399.353
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,13091,3813.88,459.924,13091,3813.88,459.924
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,9129,4173.74,424.624,9129,4173.74,424.624
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,2273,3907.66,566.3,2273,3907.66,566.3
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,1914,4413.31,528.941,1914,4413.31,528.941
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,2255,3734.8,432.085,2255,3734.8,432.085
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,1487,4008.38,389.51,1487,4008.38,389.51
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,2487,3896.9,450.184,2487,3896.9,450.184
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,1553,4090.16,402.836,1553,4090.16,402.836
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,3645,4058.6,455.409,3645,4058.6,455.409
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,2650,4563.74,422.381,2650,4563.74,422.381
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,2153,3356.38,401.225,2153,3356.38,401.225
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,1446,3442.08,352.804,1446,3442.08,352.804
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,278,3280.19,416.932,278,3280.19,416.932
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,79,3434.66,376.38,79,3434.66,376.38
Primary somatosensory area/ trunk,SSp-tr,361,left,all,5723,3862.37,479.747,5723,3862.37,479.747
Primary somatosensory area/ trunk,SSp-tr,361,right,all,4199,3947.92,423.707,4199,3947.92,423.707
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,1111,4298.11,624.859,1111,4298.11,624.859
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,1024,4275.44,545.041,1024,4275.44,545.041
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,1013,3611.06,445.716,1013,3611.06,445.716
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,844,3630.14,402.762,844,3630.14,402.762
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,785,3836.29,438.101,785,3836.29,438.101
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,641,4217.3,371.144,641,4217.3,371.144
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,1910,3922.1,427.81,1910,3922.1,427.81
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,1057,3902.78,365.005,1057,3902.78,365.005
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,807,3422.63,482.985,807,3422.63,482.985
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,578,3564.43,403.375,578,3564.43,403.375
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,97,4189.35,505.866,97,4189.35,505.866
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,55,4484.48,440.491,55,4484.48,440.491
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,4886,3852.69,458.016,4886,3852.69,458.016
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,2380,3960.5,377.94,2380,3960.5,377.94
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,850,4012,555.891,850,4012,555.891
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,297,4160.18,469.973,297,4160.18,469.973
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,779,3917.21,437.332,779,3917.21,437.332
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,422,3944.38,361.948,422,3944.38,361.948
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,1026,3991.02,449.69,1026,3991.02,449.69
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,494,4106.28,374.883,494,4106.28,374.883
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,1223,4036.35,447.878,1223,4036.35,447.878
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,722,4091.44,378.698,722,4091.44,378.698
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,819,3279.26,406.162,819,3279.26,406.162
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,416,3460.94,332.166,416,3460.94,332.166
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,189,3415.87,438.577,189,3415.87,438.577
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,29,3572.46,357.966,29,3572.46,357.966
Supplemental somatosensory area,SSs,378,left,all,48097,4432.61,468.587,48097,4432.61,468.587
Supplemental somatosensory area,SSs,378,right,all,32218,4319.34,402.338,32218,4319.34,402.338
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,11718,6595.19,570.219,11718,6595.19,570.219
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,5939,6349.34,536.595,5939,6349.34,536.595
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,6403,3585.24,431.445,6403,3585.24,431.445
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,right,all,3974,3573.06,365.276,3974,3573.06,365.276
Supplemental somatosensory area/ layer 4,SSs4,1035,left,all,7026,3687.86,437.253,7026,3687.86,437.253
Supplemental somatosensory area/ layer 4,SSs4,1035,right,all,4792,3847.4,381.361,4792,3847.4,381.361
Supplemental somatosensory area/ layer 5,SSs5,1090,left,all,12597,3972.6,445.097,12597,3972.6,445.097
Supplemental somatosensory area/ layer 5,SSs5,1090,right,all,9845,4134.15,385.283,9845,4134.15,385.283
Supplemental somatosensory area/ layer 6a,SSs6a,862,left,all,9210,3559.79,421.486,9210,3559.79,421.486
Supplemental somatosensory area/ layer 6a,SSs6a,862,right,all,7109,3686.5,351.058,7109,3686.5,351.058
Supplemental somatosensory area/ layer 6b,SSs6b,893,left,all,1143,3689.37,465.745,1143,3689.37,465.745
Supplemental somatosensory area/ layer 6b,SSs6b,893,right,all,559,3412.31,371.75,559,3412.31,371.75
Gustatory areas,GU,1057,left,all,7452,4835.01,498.665,7452,4835.01,498.665
Gustatory areas,GU,1057,right,all,7600,4758.22,433.907,7600,4758.22,433.907
Gustatory areas/ layer 1,GU1,36,left,all,2493,7396.43,636.416,2493,7396.43,636.416
Gustatory areas/ layer 1,GU1,36,right,all,1965,7444.14,604.444,1965,7444.14,604.444
Gustatory areas/ layer 2/3,GU2/3,180,left,all,839,3279.12,422.574,839,3279.12,422.574
Gustatory areas/ layer 2/3,GU2/3,180,right,all,935,3603.88,373.68,935,3603.88,373.68
Gustatory areas/ layer 4,GU4,148,left,all,414,3632.65,428.56,414,3632.65,428.56
Gustatory areas/ layer 4,GU4,148,right,all,530,3689.1,382.847,530,3689.1,382.847
Gustatory areas/ layer 5,GU5,187,left,all,2290,3620.66,437.095,2290,3620.66,437.095
Gustatory areas/ layer 5,GU5,187,right,all,2240,3795.06,376.529,2240,3795.06,376.529
Gustatory areas/ layer 6a,GU6a,638,left,all,1355,3489.75,418.469,1355,3489.75,418.469
Gustatory areas/ layer 6a,GU6a,638,right,all,1865,3920.32,366.819,1865,3920.32,366.819
Gustatory areas/ layer 6b,GU6b,662,left,all,61,5183.34,484.115,61,5183.34,484.115
Gustatory areas/ layer 6b,GU6b,662,right,all,65,6116.66,463.4,65,6116.66,463.4
Visceral area,VISC,677,left,all,10164,4745.89,456.166,10164,4745.89,456.166
Visceral area,VISC,677,right,all,7027,4217.34,372.211,7027,4217.34,372.211
Visceral area/ layer 1,VISC1,897,left,all,2014,7631.88,612.181,2014,7631.88,612.181
